frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
140,3,0,0,3,,c8|c9|c11,0.569
141,3,0,0,3,,c8|c9|c11,0.569
142,3,0,0,3,,c8|c9|c11,0.569
143,3,0,0,3,,c8|c9|c11,0.569
144,3,0,0,3,,c8|c9|c11,0.569
145,3,0,0,3,,c8|c9|c11,0.569
146,3,0,0,3,,c8|c9|c11,0.569
147,3,0,0,3,,c8|c9|c11,0.569
148,3,0,0,3,,c8|c9|c11,0.569
149,3,0,0,3,,c8|c9|c11,0.569
150,1,0,0,1,,c8,0.849
151,1,0,0,1,,c8,0.849
152,1,0,0,1,,c8,0.849
153,1,0,0,1,,c8,0.849
154,1,0,0,1,,c8,0.849
155,1,0,0,1,,c8,0.849
156,1,0,0,1,,c8,0.849
157,2,0,0,2,,c8|c12,0.639
158,2,0,0,2,,c8|c12,0.639
159,2,0,0,2,,c8|c12,0.639
160,2,0,0,2,,c8|c12,0.639
161,1,0,0,1,,c12,0.429
162,1,0,0,1,,c12,0.429
163,1,0,0,1,,c12,0.429
164,1,0,0,1,,c12,0.429
165,2,0,0,2,,c12|c13,0.363
166,3,0,0,3,,c12|c13|c14,0.385
167,2,0,0,2,,c13|c14,0.363
168,2,0,0,2,,c13|c14,0.363
169,2,0,0,2,,c13|c14,0.363
170,2,0,0,2,,c13|c14,0.363
171,2,0,0,2,,c13|c14,0.363
172,2,0,0,2,,c13|c14,0.363
173,2,0,0,2,,c13|c14,0.363
174,3,0,0,3,,c13|c14|c15,0.400
175,3,0,0,3,,c13|c14|c15,0.400
176,3,0,0,3,,c13|c14|c15,0.400
177,3,0,0,3,,c13|c14|c15,0.400
178,3,0,0,3,,c13|c14|c15,0.400
179,3,0,0,3,,c13|c14|c15,0.400
180,3,0,0,3,,c13|c14|c15,0.400
181,3,0,0,3,,c13|c14|c15,0.400
182,3,0,0,3,,c13|c14|c15,0.400
183,3,0,0,3,,c13|c14|c15,0.400
184,3,0,0,3,,c13|c14|c15,0.400
185,3,0,0,3,,c13|c14|c15,0.400
186,3,0,0,3,,c13|c14|c15,0.400
187,3,0,0,3,,c13|c14|c15,0.400
188,3,0,0,3,,c13|c14|c15,0.400
189,3,0,0,3,,c13|c14|c15,0.400
190,3,0,0,3,,c13|c14|c15,0.400
191,3,0,0,3,,c13|c14|c15,0.400
192,3,0,0,3,,c13|c14|c15,0.400
193,3,0,0,3,,c13|c14|c15,0.400
194,3,0,0,3,,c13|c14|c15,0.400
195,3,0,0,3,,c13|c14|c15,0.400
196,2,0,0,2,,c13|c14,0.363
197,2,0,0,2,,c13|c14,0.363
198,2,0,0,2,,c13|c14,0.363
199,2,0,0,2,,c13|c14,0.363
200,2,0,0,2,,c13|c14,0.363
201,2,0,0,2,,c13|c14,0.363
202,3,0,0,3,,c13|c14|c15,0.400
203,3,0,0,3,,c13|c14|c15,0.400
204,3,0,0,3,,c13|c14|c15,0.400
205,3,0,0,3,,c13|c14|c15,0.400
206,3,0,0,3,,c13|c14|c15,0.400
207,2,0,0,2,,c13|c15,0.385
208,1,0,0,1,,c15,0.473
209,0,0,0,0,,,0.000
210,0,0,0,0,,,0.000
211,0,0,0,0,,,0.000
212,1,0,0,1,,c16,0.488
213,1,0,0,1,,c16,0.488
214,0,0,0,0,,,0.000
