frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
53,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
54,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
55,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
56,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
57,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
58,6,0,0,6,0.658,MIXED_3+_UNCONFIRMED,0.329,2,3,1,1,0.0,0.0
59,6,0,0,6,0.658,MIXED_3+_UNCONFIRMED,0.329,2,3,1,1,0.0,0.0
60,6,0,0,6,0.658,MIXED_3+_UNCONFIRMED,0.329,2,3,1,1,0.0,0.0
61,6,0,0,6,0.658,MIXED_3+_UNCONFIRMED,0.329,2,3,1,1,0.0,0.0
62,6,0,0,6,0.658,MIXED_3+_UNCONFIRMED,0.329,2,3,1,1,0.0,0.0
63,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
64,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,3,1,1,0.0,0.0
65,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
66,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
67,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
68,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
69,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
70,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
71,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.332,2,2,1,1,0.0,0.0
72,5,0,0,5,0.663,CASCADE_3+,0.663,3,3,1,2,0.5,1.2
73,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
74,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
75,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
76,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
77,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
78,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
79,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
80,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
81,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
82,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,2,0.5,1.2
83,5,0,0,5,0.663,MIXED_3+,0.663,4,3,2,2,0.333,1.2
84,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
85,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
86,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
87,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
88,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
89,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
90,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
91,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
92,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
93,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
94,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
95,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
96,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
97,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,2,0.333,1.2
98,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,2,0.333,1.2
99,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,2,0.333,1.2
100,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,2,0.333,1.2
101,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,2,0.333,1.2
102,4,0,0,4,0.684,CASCADE_3+,0.684,4,4,1,2,0.667,2.0
103,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
104,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
105,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
106,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
107,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
108,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
109,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
110,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
111,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
112,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
113,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,2,0.667,2.0
114,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,2,0.333,2.0
115,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,2,0.333,2.0
116,4,0,0,4,0.684,MIXED_3+,0.684,4,2,2,2,0.333,2.0
117,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
118,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
119,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
120,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
121,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
122,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
123,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
124,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
125,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
126,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
127,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
128,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
129,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
130,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
131,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
132,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
133,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
134,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
135,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
136,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
137,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
138,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
139,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
140,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
141,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
142,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
143,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
144,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
145,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
146,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
147,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
148,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
149,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
150,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
151,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
152,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
153,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
154,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
155,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
156,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
157,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
158,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
159,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
160,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
161,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
162,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
163,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
164,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
165,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
166,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
167,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
168,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
169,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
170,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
171,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
172,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
173,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
174,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
175,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
176,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
177,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
178,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
179,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
180,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
181,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
182,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
183,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
184,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
185,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
186,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
187,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
188,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
189,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
190,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
191,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
192,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
193,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
194,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
195,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
196,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
197,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
198,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
199,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
200,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
201,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
202,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
203,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
204,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
205,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
206,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
207,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,2,0.333,2.0
208,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
209,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
210,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
211,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
212,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
213,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
214,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
215,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
216,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
217,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
218,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
219,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
220,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
221,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
222,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
223,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
224,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,2,0.333,2.0
225,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,2,0.333,2.0
226,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,2,0.333,2.0
227,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,2,0.333,2.0
228,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,2,0.333,2.0
229,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
230,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
231,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
232,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
233,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
234,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
235,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
236,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,2,0.333,2.0
237,4,0,0,4,0.695,MIXED_3+,0.695,4,4,2,2,0.333,2.0
238,4,0,1,4,0.695,MIXED_3+,0.695,4,4,1,2,0.667,0.44
239,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
240,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
241,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
242,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
243,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
244,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
245,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
246,3,0,0,3,0.647,MIXED_3+,0.647,4,4,1,2,0.667,0.44
247,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
248,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
249,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
250,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
251,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
252,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
253,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
254,4,0,0,4,0.639,MIXED_3+,0.639,4,4,1,2,0.667,0.44
255,5,0,1,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,0.44
256,5,0,0,5,0.679,CASCADE_3+,0.679,4,4,1,2,0.667,3.33
257,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
258,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
259,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
260,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
261,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
262,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
263,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
264,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
265,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
266,4,0,0,4,0.681,CASCADE_3+,0.681,4,4,1,2,0.667,3.33
267,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
268,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
269,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
270,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
271,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
272,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
273,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
274,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
275,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
276,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
277,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
278,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
279,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
280,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
281,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
282,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
283,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
284,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
285,5,0,0,5,0.679,MIXED_3+,0.679,4,5,2,2,0.333,3.33
286,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
287,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
288,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
289,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
290,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
291,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
292,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
293,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
294,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
295,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
296,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
297,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,3.33
298,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,3.33
299,5,0,0,5,0.679,CASCADE_3+,0.679,4,3,1,2,0.667,1.4
300,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
301,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
302,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
303,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
304,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
305,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
306,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
307,4,0,0,4,0.695,CASCADE_3+,0.695,4,3,1,2,0.667,1.4
308,5,0,0,5,0.679,MIXED_3+,0.679,4,3,2,2,0.333,1.4
309,5,0,0,5,0.679,MIXED_3+,0.679,4,4,2,2,0.333,1.4
310,4,0,0,4,0.639,MIXED_3+,0.639,4,4,2,2,0.333,1.4
311,4,0,0,4,0.639,MIXED_3+,0.639,4,4,2,2,0.333,1.4
312,4,0,0,4,0.639,MIXED_3+,0.639,4,4,2,2,0.333,1.4
