frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
96,5,0,0,5,0.665,MIXED_3+,0.665
97,5,0,0,5,0.665,MIXED_3+,0.665
98,4,0,0,4,0.687,MIXED_3+,0.687
99,4,0,0,4,0.687,MIXED_3+,0.687
100,4,0,0,4,0.687,MIXED_3+,0.687
101,4,0,0,4,0.687,MIXED_3+,0.687
102,4,1,0,4,0.687,CASCADE_3+,0.687
103,3,0,0,3,0.688,CASCADE_3+,0.688
104,3,0,0,3,0.688,CASCADE_3+,0.688
105,3,0,0,3,0.688,CASCADE_3+,0.688
106,3,0,0,3,0.688,CASCADE_3+,0.688
107,3,0,0,3,0.688,CASCADE_3+,0.688
108,3,0,0,3,0.688,CASCADE_3+,0.688
109,3,0,0,3,0.688,CASCADE_3+,0.688
110,3,0,0,3,0.688,CASCADE_3+,0.688
111,3,0,0,3,0.688,CASCADE_3+,0.688
112,3,0,0,3,0.688,CASCADE_3+,0.688
113,3,0,0,3,0.688,CASCADE_3+,0.688
114,4,1,0,4,0.687,MIXED_3+,0.687
115,4,0,0,4,0.687,MIXED_3+,0.687
116,4,0,0,4,0.687,MIXED_3+,0.687
117,5,0,0,5,0.718,MIXED_3+,0.718
118,5,0,0,5,0.718,MIXED_3+,0.718
119,5,0,0,5,0.718,MIXED_3+,0.718
120,5,0,0,5,0.718,MIXED_3+,0.718
121,5,0,0,5,0.718,MIXED_3+,0.718
122,5,0,0,5,0.718,MIXED_3+,0.718
123,5,0,0,5,0.718,MIXED_3+,0.718
124,5,0,0,5,0.718,MIXED_3+,0.718
125,5,0,0,5,0.718,MIXED_3+,0.718
126,5,0,0,5,0.718,MIXED_3+,0.718
127,5,0,0,5,0.718,MIXED_3+,0.718
128,5,0,0,5,0.718,MIXED_3+,0.718
129,5,0,0,5,0.718,MIXED_3+,0.718
130,5,0,0,5,0.718,MIXED_3+,0.718
131,5,0,0,5,0.718,MIXED_3+,0.718
132,5,0,0,5,0.718,MIXED_3+,0.718
133,5,0,0,5,0.718,MIXED_3+,0.718
134,5,0,0,5,0.718,MIXED_3+,0.718
135,5,0,0,5,0.718,MIXED_3+,0.718
136,5,0,0,5,0.718,MIXED_3+,0.718
137,5,0,0,5,0.718,MIXED_3+,0.718
138,5,0,0,5,0.718,MIXED_3+,0.718
139,5,0,0,5,0.718,MIXED_3+,0.718
140,5,0,0,5,0.718,MIXED_3+,0.718
141,5,0,0,5,0.718,MIXED_3+,0.718
142,5,0,0,5,0.718,MIXED_3+,0.718
143,5,0,0,5,0.718,MIXED_3+,0.718
144,5,0,0,5,0.718,MIXED_3+,0.718
145,5,0,0,5,0.718,MIXED_3+,0.718
146,5,0,0,5,0.718,MIXED_3+,0.718
147,5,0,0,5,0.718,MIXED_3+,0.718
148,5,0,0,5,0.718,MIXED_3+,0.718
149,5,0,0,5,0.718,MIXED_3+,0.718
150,5,0,0,5,0.718,MIXED_3+,0.718
151,5,0,0,5,0.718,MIXED_3+,0.718
152,5,0,0,5,0.718,MIXED_3+,0.718
153,5,0,0,5,0.718,MIXED_3+,0.718
154,5,0,0,5,0.718,MIXED_3+,0.718
155,5,0,0,5,0.718,MIXED_3+,0.718
156,5,0,0,5,0.718,MIXED_3+,0.718
157,5,0,0,5,0.718,MIXED_3+,0.718
158,5,0,0,5,0.718,MIXED_3+,0.718
159,5,0,0,5,0.718,MIXED_3+,0.718
160,5,0,0,5,0.718,MIXED_3+,0.718
161,5,0,0,5,0.718,MIXED_3+,0.718
162,5,0,0,5,0.718,MIXED_3+,0.718
163,5,0,0,5,0.718,MIXED_3+,0.718
164,5,0,0,5,0.718,MIXED_3+,0.718
165,5,0,0,5,0.718,MIXED_3+,0.718
166,5,0,0,5,0.718,MIXED_3+,0.718
167,5,0,0,5,0.718,MIXED_3+,0.718
168,5,0,0,5,0.718,MIXED_3+,0.718
169,5,0,0,5,0.718,MIXED_3+,0.718
170,5,0,0,5,0.718,MIXED_3+,0.718
171,5,0,0,5,0.718,MIXED_3+,0.718
172,5,0,0,5,0.718,MIXED_3+,0.718
173,5,0,0,5,0.718,MIXED_3+,0.718
