frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
107,3,0,0,3,0.469,UNKNOWN,0.469,2
108,3,0,0,3,0.469,UNKNOWN,0.469,2
109,3,0,0,3,0.469,UNKNOWN,0.469,2
110,3,0,0,3,0.469,UNKNOWN,0.469,2
111,3,0,0,3,0.469,UNKNOWN,0.469,2
112,3,0,0,3,0.469,UNKNOWN,0.469,2
113,3,0,0,3,0.469,UNKNOWN,0.469,2
114,3,0,0,3,0.469,UNKNOWN,0.469,2
115,3,0,0,3,0.469,UNKNOWN,0.469,2
116,3,0,0,3,0.469,UNKNOWN,0.469,2
117,3,0,0,3,0.469,UNKNOWN,0.469,2
118,3,0,0,3,0.469,UNKNOWN,0.469,2
119,3,0,0,3,0.469,UNKNOWN,0.469,2
120,3,0,0,3,0.469,UNKNOWN,0.469,2
121,3,0,0,3,0.469,UNKNOWN,0.469,2
122,3,0,0,3,0.469,UNKNOWN,0.469,2
123,2,0,0,2,0.429,UNKNOWN,0.429,2
124,2,0,0,2,0.429,UNKNOWN,0.429,2
125,2,0,0,2,0.429,UNKNOWN,0.429,2
126,2,0,1,3,0.569,FOUNTAIN_3+,0.569,2
127,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
128,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
129,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
130,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
131,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
132,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
133,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
134,2,0,0,2,0.639,TWO_BALL,0.639,2
135,2,0,0,2,0.639,TWO_BALL,0.639,2
136,2,0,0,2,0.639,TWO_BALL,0.639,2
137,2,0,0,2,0.639,TWO_BALL,0.639,2
138,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
139,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
140,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
141,3,0,0,3,0.569,FOUNTAIN_3+,0.569,2
142,3,0,0,3,0.569,CASCADE_3+,0.569,0
143,3,0,0,3,0.569,CASCADE_3+,0.569,0
144,3,0,0,3,0.569,CASCADE_3+,0.569,0
145,3,0,0,3,0.569,CASCADE_3+,0.569,0
146,3,0,0,3,0.569,CASCADE_3+,0.569,0
147,3,0,0,3,0.569,CASCADE_3+,0.569,0
148,3,0,0,3,0.569,CASCADE_3+,0.569,0
149,3,0,0,3,0.569,CASCADE_3+,0.569,0
150,1,0,0,1,0.849,SINGLE_BALL,0.849,0
151,1,0,0,1,0.849,SINGLE_BALL,0.849,0
152,1,0,0,1,0.849,SINGLE_BALL,0.849,0
153,1,0,0,1,0.849,SINGLE_BALL,0.849,0
154,1,0,0,1,0.849,SINGLE_BALL,0.849,0
155,1,0,0,1,0.849,SINGLE_BALL,0.849,0
156,1,0,0,1,0.849,SINGLE_BALL,0.849,0
157,2,0,0,2,0.639,TWO_BALL,0.639,0
158,2,0,0,2,0.639,TWO_BALL,0.639,0
159,2,0,0,2,0.639,TWO_BALL,0.639,0
160,2,0,0,2,0.639,TWO_BALL,0.639,0
161,1,0,0,1,0.429,UNKNOWN,0.429,0
162,1,0,0,1,0.429,UNKNOWN,0.429,0
163,1,0,0,1,0.429,UNKNOWN,0.429,0
164,1,0,0,1,0.429,UNKNOWN,0.429,0
165,2,0,0,2,0.363,UNKNOWN,0.363,0
166,3,0,0,3,0.385,UNKNOWN,0.385,0
167,2,0,0,2,0.363,UNKNOWN,0.363,0
168,2,0,0,2,0.363,UNKNOWN,0.363,0
169,2,0,0,2,0.363,UNKNOWN,0.363,0
170,2,0,0,2,0.363,UNKNOWN,0.363,0
171,2,0,0,2,0.363,UNKNOWN,0.363,0
172,2,0,0,2,0.363,UNKNOWN,0.363,0
173,2,0,0,2,0.363,UNKNOWN,0.363,0
174,3,0,0,3,0.4,UNKNOWN,0.4,0
175,3,0,0,3,0.4,UNKNOWN,0.4,0
176,3,0,0,3,0.4,UNKNOWN,0.4,0
177,3,0,0,3,0.4,UNKNOWN,0.4,0
178,3,0,0,3,0.4,UNKNOWN,0.4,0
179,3,0,0,3,0.4,UNKNOWN,0.4,0
180,3,0,0,3,0.4,UNKNOWN,0.4,0
181,3,0,0,3,0.4,UNKNOWN,0.4,0
182,3,0,0,3,0.4,UNKNOWN,0.4,0
183,3,0,0,3,0.4,UNKNOWN,0.4,0
184,3,0,0,3,0.4,UNKNOWN,0.4,0
185,3,0,0,3,0.4,UNKNOWN,0.4,0
186,3,0,0,3,0.4,UNKNOWN,0.4,0
187,3,0,0,3,0.4,UNKNOWN,0.4,0
188,3,0,0,3,0.4,UNKNOWN,0.4,0
189,3,0,0,3,0.4,UNKNOWN,0.4,0
190,3,0,0,3,0.4,UNKNOWN,0.4,0
191,3,0,0,3,0.4,UNKNOWN,0.4,0
192,3,0,0,3,0.4,UNKNOWN,0.4,0
193,3,0,0,3,0.4,UNKNOWN,0.4,0
194,3,0,0,3,0.4,UNKNOWN,0.4,0
195,3,0,0,3,0.4,UNKNOWN,0.4,0
196,2,0,0,2,0.363,UNKNOWN,0.363,0
197,2,0,0,2,0.363,UNKNOWN,0.363,0
198,2,0,0,2,0.363,UNKNOWN,0.363,0
199,2,0,0,2,0.363,UNKNOWN,0.363,0
200,2,0,0,2,0.363,UNKNOWN,0.363,0
201,2,0,0,2,0.363,UNKNOWN,0.363,0
202,3,0,0,3,0.4,UNKNOWN,0.4,0
203,3,0,0,3,0.4,UNKNOWN,0.4,0
204,3,0,0,3,0.4,UNKNOWN,0.4,0
205,3,0,0,3,0.4,UNKNOWN,0.4,0
206,3,0,0,3,0.4,UNKNOWN,0.4,0
207,2,0,0,2,0.385,UNKNOWN,0.385,0
208,1,0,0,1,0.473,UNKNOWN,0.473,0
209,0,0,0,0,0.0,NO_BALL,1.0,0
210,0,0,0,0,0.0,NO_BALL,1.0,0
211,0,0,0,0,0.0,NO_BALL,1.0,0
212,1,0,0,1,0.488,UNKNOWN,0.488,0
213,1,0,0,1,0.488,UNKNOWN,0.488,0
214,0,0,0,0,0.0,NO_BALL,1.0,0
215,0,0,0,0,0.0,NO_BALL,1.0,0
216,0,0,0,0,0.0,NO_BALL,1.0,0
217,0,0,0,0,0.0,NO_BALL,1.0,0
218,0,0,0,0,0.0,NO_BALL,1.0,0
219,0,0,0,0,0.0,NO_BALL,1.0,0
220,1,0,0,1,0.488,UNKNOWN,0.488,0
221,1,0,0,1,0.488,UNKNOWN,0.488,0
222,1,0,0,1,0.488,UNKNOWN,0.488,0
223,1,0,0,1,0.488,UNKNOWN,0.488,0
224,1,0,0,1,0.488,UNKNOWN,0.488,0
225,1,0,0,1,0.488,UNKNOWN,0.488,0
226,1,0,0,1,0.488,UNKNOWN,0.488,0
227,1,0,0,1,0.488,UNKNOWN,0.488,0
228,1,0,0,1,0.488,UNKNOWN,0.488,0
229,1,0,0,1,0.488,UNKNOWN,0.488,0
230,1,0,0,1,0.488,UNKNOWN,0.488,0
231,1,0,0,1,0.488,UNKNOWN,0.488,0
232,3,0,0,3,0.405,UNKNOWN,0.405,0
233,3,0,0,3,0.405,UNKNOWN,0.405,0
234,3,0,0,3,0.405,UNKNOWN,0.405,0
235,3,0,0,3,0.405,UNKNOWN,0.405,0
236,2,0,0,2,0.458,UNKNOWN,0.458,0
237,2,0,0,2,0.458,UNKNOWN,0.458,0
238,2,0,0,2,0.458,UNKNOWN,0.458,0
239,2,0,0,2,0.458,UNKNOWN,0.458,0
240,2,0,0,2,0.458,UNKNOWN,0.458,0
241,2,0,0,2,0.458,UNKNOWN,0.458,0
242,2,0,0,2,0.458,UNKNOWN,0.458,0
243,3,0,0,3,0.405,UNKNOWN,0.405,0
244,3,0,0,3,0.405,UNKNOWN,0.405,0
245,3,0,0,3,0.405,UNKNOWN,0.405,0
246,3,0,0,3,0.405,UNKNOWN,0.405,0
247,3,0,0,3,0.405,UNKNOWN,0.405,0
248,3,0,0,3,0.405,UNKNOWN,0.405,0
249,3,0,0,3,0.405,UNKNOWN,0.405,0
250,3,0,0,3,0.405,UNKNOWN,0.405,0
251,3,0,0,3,0.405,UNKNOWN,0.405,0
252,3,0,0,3,0.405,UNKNOWN,0.405,0
253,2,0,0,2,0.363,UNKNOWN,0.363,0
254,2,0,0,2,0.363,UNKNOWN,0.363,0
255,2,0,0,2,0.363,UNKNOWN,0.363,0
256,1,0,0,1,0.429,UNKNOWN,0.429,0
257,2,0,0,2,0.429,UNKNOWN,0.429,0
258,2,0,0,2,0.429,UNKNOWN,0.429,0
259,2,0,0,2,0.429,UNKNOWN,0.429,0
260,2,0,0,2,0.429,UNKNOWN,0.429,0
261,2,0,0,2,0.429,UNKNOWN,0.429,0
262,2,0,0,2,0.429,UNKNOWN,0.429,0
263,3,0,0,3,0.385,UNKNOWN,0.385,0
264,3,0,0,3,0.385,UNKNOWN,0.385,0
265,3,0,0,3,0.385,UNKNOWN,0.385,0
266,3,0,0,3,0.385,UNKNOWN,0.385,0
267,3,0,0,3,0.385,UNKNOWN,0.385,0
268,3,0,0,3,0.385,UNKNOWN,0.385,0
269,3,0,0,3,0.385,UNKNOWN,0.385,0
270,3,0,0,3,0.385,UNKNOWN,0.385,0
271,3,0,0,3,0.385,UNKNOWN,0.385,0
272,3,0,0,3,0.385,UNKNOWN,0.385,0
273,3,0,0,3,0.385,UNKNOWN,0.385,0
274,3,0,0,3,0.385,UNKNOWN,0.385,0
275,3,0,0,3,0.385,UNKNOWN,0.385,0
276,3,0,0,3,0.385,UNKNOWN,0.385,0
277,3,0,0,3,0.385,UNKNOWN,0.385,0
278,3,0,0,3,0.385,UNKNOWN,0.385,0
279,3,0,0,3,0.385,UNKNOWN,0.385,0
280,3,0,0,3,0.385,UNKNOWN,0.385,0
281,3,0,0,3,0.385,UNKNOWN,0.385,0
282,3,0,0,3,0.385,UNKNOWN,0.385,0
283,3,0,0,3,0.385,UNKNOWN,0.385,0
284,3,0,0,3,0.385,UNKNOWN,0.385,0
285,3,0,0,3,0.385,UNKNOWN,0.385,0
286,3,0,0,3,0.385,UNKNOWN,0.385,0
287,3,0,0,3,0.385,UNKNOWN,0.385,0
288,3,0,0,3,0.385,UNKNOWN,0.385,0
289,3,0,0,3,0.385,UNKNOWN,0.385,0
290,3,0,0,3,0.385,UNKNOWN,0.385,0
291,3,0,0,3,0.385,UNKNOWN,0.385,0
292,3,0,0,3,0.385,UNKNOWN,0.385,0
293,3,0,0,3,0.385,UNKNOWN,0.385,0
294,3,0,0,3,0.385,UNKNOWN,0.385,0
295,3,0,0,3,0.385,UNKNOWN,0.385,0
296,3,0,0,3,0.385,UNKNOWN,0.385,0
297,3,0,0,3,0.385,UNKNOWN,0.385,0
298,3,0,0,3,0.385,UNKNOWN,0.385,0
299,3,0,0,3,0.385,UNKNOWN,0.385,0
300,3,0,0,3,0.385,UNKNOWN,0.385,0
301,3,0,0,3,0.385,UNKNOWN,0.385,0
302,3,0,0,3,0.385,UNKNOWN,0.385,0
303,3,0,0,3,0.385,UNKNOWN,0.385,0
304,3,0,0,3,0.385,UNKNOWN,0.385,0
305,3,0,0,3,0.385,UNKNOWN,0.385,0
306,3,0,0,3,0.385,UNKNOWN,0.385,0
307,3,0,0,3,0.385,UNKNOWN,0.385,0
308,3,0,0,3,0.385,UNKNOWN,0.385,0
309,3,0,0,3,0.385,UNKNOWN,0.385,0
310,3,0,0,3,0.385,UNKNOWN,0.385,0
311,3,0,0,3,0.385,UNKNOWN,0.385,0
312,3,0,0,3,0.385,UNKNOWN,0.385,0
313,2,0,0,2,0.429,UNKNOWN,0.429,0
314,2,0,0,2,0.429,UNKNOWN,0.429,0
315,2,0,0,2,0.429,UNKNOWN,0.429,0
316,2,0,0,2,0.429,UNKNOWN,0.429,0
317,2,0,0,2,0.429,UNKNOWN,0.429,0
318,2,0,0,2,0.429,UNKNOWN,0.429,0
319,2,0,0,2,0.429,UNKNOWN,0.429,0
320,2,0,0,2,0.429,UNKNOWN,0.429,0
321,2,0,0,2,0.429,UNKNOWN,0.429,0
322,2,0,0,2,0.429,UNKNOWN,0.429,0
323,2,0,0,2,0.429,UNKNOWN,0.429,0
