frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
80,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
81,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
82,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
83,0,0,5,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
84,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
85,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
86,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
87,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
88,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
89,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
90,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
91,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
92,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
93,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
94,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
95,0,0,5,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
96,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
97,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
98,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
99,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
100,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
101,0,0,4,1,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
102,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
103,0,0,3,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
