chain_id,n_tracklets,first_frame,last_frame,tids
0,4,2,468,"1,9,13,16"
1,2,2,426,"2,8"
2,2,2,97,"3,6"
3,4,2,899,"4,18,30,37"
4,1,2,228,5
5,1,58,62,7
6,2,117,309,"10,12"
7,4,247,653,"11,14,17,24"
8,4,329,899,"15,25,33,36"
9,6,445,899,"19,22,26,31,35,38"
10,4,466,899,"20,21,29,34"
11,1,578,578,23
12,3,670,878,"27,28,32"
13,1,878,882,39
14,1,883,899,40
