kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
adjacent_vshape,identical_balls_trick_000_018,28,31,29,32.61,10.196,V_DEEP,332.27,68.38,488.52,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,31,39,23,66.15,7.404,V_SHALLOW,468.66,62.73,342.0,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,31,40,27,94.49,5.004,V_SHALLOW,468.66,93.97,377.31,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,39,46,3,51.9,3.355,V_SHALLOW,174.1,89.36,237.68,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,44,54,17,51.67,8.242,V_SHALLOW,32.2,39.11,309.22,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,45,48,21,82.32,6.904,V_SHALLOW,81.89,508.87,620.79,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,47,53,25,20.33,4.164,V_DEEP,30.51,69.51,257.72,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,60,66,21,48.31,11.215,V_DEEP,436.11,56.26,489.28,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,63,67,23,64.92,3.57,V_SHALLOW,63.06,228.42,346.63,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,63,68,25,34.83,8.014,V_DEEP,63.06,36.23,181.87,left,right,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,64,67,4,59.71,6.364,V_SHALLOW,59.03,228.42,465.97,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,66,67,3,38.32,6.048,V_DEEP,32.65,228.42,210.32,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,70,73,4,21.49,8.735,V_DEEP,33.94,51.71,199.1,left,right,False,,False,False,False,True,False,True
adjacent_vshape,identical_balls_trick_000_018,72,75,20,7.19,42.643,V_DEEP,53.17,71.05,466.09,right,left,False,,True,True,True,True,False,True
