frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
72,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
73,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
74,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
75,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
76,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
77,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
78,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
79,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
80,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
81,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
82,MIXED_3+_UNCONFIRMED,0.25,3,0,0,3,False,low_slope_ratio=1.00
83,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
84,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
85,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
86,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
87,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
88,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
89,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
90,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
91,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
92,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
93,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
94,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
95,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
96,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
97,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
98,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
99,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
100,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
101,MIXED_3+_UNCONFIRMED,0.25,4,0,0,4,False,low_slope_ratio=1.00
102,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
103,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
104,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
105,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
106,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
107,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
108,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
109,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
110,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
111,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
112,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
113,MIXED_3+_UNCONFIRMED,0.25,4,0,0,3,False,low_slope_ratio=0.75
114,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
115,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
116,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
117,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
118,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
119,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
120,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
121,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
122,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
123,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
124,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
125,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
126,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
127,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
128,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
129,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
130,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
131,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
132,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
133,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
134,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
135,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
136,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
137,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
138,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
139,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
140,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
141,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
142,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
143,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
144,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
