frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
78,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
79,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
80,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
81,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
82,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
83,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
84,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
85,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
86,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
87,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
88,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
89,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
90,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
91,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
92,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
93,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
94,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
95,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
96,3,0,0,3,0.822,MIXED_3+,0.822,MIXED_3+
97,3,0,1,3,0.822,CASCADE_3+,0.822,CASCADE_3+
98,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
99,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
100,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
101,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
102,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
103,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
104,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
105,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
106,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
107,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
108,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
109,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
110,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
111,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
112,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
113,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
114,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
115,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
116,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
117,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
118,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
119,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
120,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
121,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
122,3,0,0,3,0.844,CASCADE_3+,0.844,CASCADE_3+
123,2,0,0,2,0.932,TWO_BALL,0.932,TWO_BALL
124,2,0,0,2,0.932,TWO_BALL,0.932,TWO_BALL
125,2,0,0,2,0.932,TWO_BALL,0.932,TWO_BALL
126,3,0,1,3,0.9,MIXED_3+,0.9,MIXED_3+
127,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
128,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
129,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
130,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
131,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
132,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
133,3,0,0,3,0.9,MIXED_3+,0.9,MIXED_3+
134,2,0,0,2,0.899,TWO_BALL,0.899,TWO_BALL
135,2,0,0,2,0.899,TWO_BALL,0.899,TWO_BALL
136,2,0,0,2,0.899,TWO_BALL,0.899,TWO_BALL
137,2,0,0,2,0.899,TWO_BALL,0.899,TWO_BALL
138,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
139,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
140,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
141,3,0,0,3,0.932,MIXED_3+,0.932,MIXED_3+
