frame,pattern,confidence,new_pattern
125,TWO_BALL,0.932,TWO_BALL
126,MIXED_3+,0.9,MIXED_3+
127,MIXED_3+,0.9,MIXED_3+
128,MIXED_3+,0.9,MIXED_3+
129,MIXED_3+,0.9,MIXED_3+
130,MIXED_3+,0.9,MIXED_3+
131,MIXED_3+,0.9,MIXED_3+
132,MIXED_3+,0.9,MIXED_3+
133,MIXED_3+,0.9,MIXED_3+
134,TWO_BALL,0.899,TWO_BALL
135,TWO_BALL,0.899,TWO_BALL
136,TWO_BALL,0.899,TWO_BALL
137,TWO_BALL,0.899,TWO_BALL
138,MIXED_3+,0.933,MIXED_3+
139,MIXED_3+,0.933,MIXED_3+
140,MIXED_3+,0.933,MIXED_3+
141,MIXED_3+,0.933,MIXED_3+
142,MIXED_3+,0.933,MIXED_3+
143,MIXED_3+,0.933,MIXED_3+
144,MIXED_3+,0.933,MIXED_3+
145,MIXED_3+,0.933,MIXED_3+
146,MIXED_3+,0.933,MIXED_3+
147,MIXED_3+,0.933,MIXED_3+
148,MIXED_3+,0.933,MIXED_3+
149,MIXED_3+,0.933,MIXED_3+
150,SINGLE_BALL,0.836,SINGLE_BALL
151,SINGLE_BALL,0.836,SINGLE_BALL
152,SINGLE_BALL,0.836,SINGLE_BALL
153,SINGLE_BALL,0.836,SINGLE_BALL
154,SINGLE_BALL,0.836,SINGLE_BALL
155,SINGLE_BALL,0.836,SINGLE_BALL
156,SINGLE_BALL,0.836,SINGLE_BALL
157,TWO_BALL,0.886,TWO_BALL
158,TWO_BALL,0.886,TWO_BALL
159,TWO_BALL,0.886,TWO_BALL
160,TWO_BALL,0.886,TWO_BALL
161,SINGLE_BALL,0.937,SINGLE_BALL
162,SINGLE_BALL,0.937,SINGLE_BALL
163,SINGLE_BALL,0.937,SINGLE_BALL
164,SINGLE_BALL,0.937,SINGLE_BALL
165,TWO_BALL,0.72,TWO_BALL
166,MIXED_3+,0.804,MIXED_3+
167,TWO_BALL,0.738,TWO_BALL
168,TWO_BALL,0.738,TWO_BALL
169,TWO_BALL,0.738,TWO_BALL
170,TWO_BALL,0.738,TWO_BALL
171,TWO_BALL,0.738,TWO_BALL
172,TWO_BALL,0.738,TWO_BALL
173,TWO_BALL,0.738,TWO_BALL
174,MIXED_3+,0.643,MIXED_3+
175,MIXED_3+,0.643,MIXED_3+
176,MIXED_3+,0.643,MIXED_3+
177,MIXED_3+,0.643,MIXED_3+
178,MIXED_3+,0.643,MIXED_3+
179,MIXED_3+,0.643,MIXED_3+
180,MIXED_3+,0.643,MIXED_3+
181,MIXED_3+,0.643,MIXED_3+
182,MIXED_3+,0.643,MIXED_3+
183,MIXED_3+,0.643,MIXED_3+
184,MIXED_3+,0.643,MIXED_3+
185,MIXED_3+,0.643,MIXED_3+
186,MIXED_3+,0.643,MIXED_3+
187,MIXED_3+,0.643,MIXED_3+
188,MIXED_3+,0.643,MIXED_3+
189,MIXED_3+,0.643,MIXED_3+
190,MIXED_3+,0.643,MIXED_3+
191,MIXED_3+,0.643,MIXED_3+
192,MIXED_3+,0.643,MIXED_3+
193,MIXED_3+,0.643,MIXED_3+
194,MIXED_3+,0.643,MIXED_3+
195,MIXED_3+,0.643,MIXED_3+
196,TWO_BALL,0.738,TWO_BALL
197,TWO_BALL,0.738,TWO_BALL
198,TWO_BALL,0.738,TWO_BALL
199,TWO_BALL,0.738,TWO_BALL
200,TWO_BALL,0.738,TWO_BALL
201,TWO_BALL,0.738,TWO_BALL
202,MIXED_3+,0.643,MIXED_3+
203,MIXED_3+,0.643,MIXED_3+
204,MIXED_3+,0.643,MIXED_3+
205,MIXED_3+,0.643,MIXED_3+
206,MIXED_3+,0.643,MIXED_3+
207,TWO_BALL_ONE_HAND,0.479,TWO_BALL_ONE_HAND
208,SINGLE_BALL,0.454,SINGLE_BALL
212,SINGLE_BALL,0.316,SINGLE_BALL
213,SINGLE_BALL,0.316,SINGLE_BALL
220,SINGLE_BALL,0.316,SINGLE_BALL
221,SINGLE_BALL,0.316,SINGLE_BALL
222,SINGLE_BALL,0.316,SINGLE_BALL
223,SINGLE_BALL,0.316,SINGLE_BALL
