frame,L42,R42,A42,source,L36,R36,A36,L40v2,R40v2,h12_pattern,h12_conf
74,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
75,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
76,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
77,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
78,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
79,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
80,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
81,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
82,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.684
83,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
84,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
85,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
86,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.665
87,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.665
88,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.665
89,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.665
90,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
91,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
92,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
93,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
94,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
95,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
96,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
97,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.665
98,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.687
99,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.687
100,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.687
101,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.687
102,1,0,4,h36,1,0,4,1,0,CASCADE_3+,0.687
103,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
104,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
105,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
106,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
107,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
108,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
109,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.688
110,1,0,4,h36,1,0,4,0,0,CASCADE_3+,0.688
111,1,0,4,h36,1,0,4,0,1,CASCADE_3+,0.688
112,1,0,4,h36,1,0,4,0,1,CASCADE_3+,0.688
113,1,0,4,h36,1,0,4,0,1,CASCADE_3+,0.688
114,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.687
115,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.687
116,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.687
117,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
118,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
119,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
120,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
121,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
122,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
123,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
124,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
125,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
126,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
127,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
128,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
129,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
130,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
131,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
132,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
133,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.718
134,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
135,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
136,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
137,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
138,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
139,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
140,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
141,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.718
142,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
143,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
144,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
145,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
146,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
147,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
148,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
149,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
150,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
151,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
