kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
e6c_not_in_h7v2,identical_balls_trick_000_018,50,56,9,8.9,30.147,V_DEEP,258.74,12.71,302.31,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,52,53,11,29.65,9.219,V_DEEP,40.48,69.51,298.87,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,53,58,16,40.78,2.724,V_DEEP,56.97,,97.7,right,,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,54,57,9,8.51,38.118,V_DEEP,9.61,202.48,320.83,right,right,False,REAL,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,56,57,10,7.11,65.473,V_DEEP,7.01,202.48,346.47,left,right,False,REAL,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,10,42.64,7.894,V_DEEP,64.07,37.24,285.27,right,right,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,59,61,11,18.94,5.303,V_DEEP,46.08,31.32,71.39,right,right,True,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,59,62,13,12.52,12.529,V_DEEP,46.08,1.78,58.34,right,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,62,65,8,32.58,11.688,V_DEEP,22.19,98.22,174.14,right,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,63,66,12,16.74,9.664,V_DEEP,63.06,56.26,149.36,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,63,65,11,39.9,5.315,V_DEEP,63.06,98.22,187.99,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,64,69,13,38.12,4.665,V_DEEP,59.03,75.57,248.49,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,65,69,7,38.12,9.652,V_DEEP,242.74,75.57,230.64,left,left,False,,True,True,True,False,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,66,69,12,18.3,9.55,V_DEEP,32.65,75.57,116.43,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,5,10.86,19.129,V_DEEP,32.65,36.23,238.91,left,right,False,FALSE,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,67,72,9,26.14,11.886,V_DEEP,272.56,16.95,244.29,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,67,71,9,20.36,19.756,V_DEEP,272.56,18.59,343.23,left,right,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,68,72,14,12.95,16.569,V_DEEP,12.16,16.95,223.32,right,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,68,70,14,12.95,21.896,V_DEEP,12.16,197.05,315.44,right,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,6,30.89,9.946,V_DEEP,53.17,101.84,317.03,right,left,False,,True,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,73,75,10,35.2,3.474,V_DEEP,34.05,71.05,142.01,left,left,False,,False,False,False,False,False,False
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,8.19,19.604,V_DEEP,28.96,117.14,73.6,left,right,False,FALSE,False,False,False,False,False,False
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,4.69,38.56,V_DEEP,2.24,120.71,175.18,right,left,False,FALSE,False,False,False,False,False,False
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,5.32,17.308,V_DEEP,5.56,35.34,71.18,right,right,True,REAL,False,False,False,False,False,False
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,7.8,4.276,V_DEEP,,13.87,65.99,,right,False,PARTIAL,False,False,False,False,False,False
