kind,stem,src,tgt,vshape,gap,min_hand_dist,ratio,in_h7v2,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict
adjacent,identical_balls_trick_000_018,1,6,V_DEEP,10,41.88,4.792,False,77.85,96.15,248.50,right,right,False,
adjacent,identical_balls_trick_000_018,1,7,V_DEEP,22,45.58,3.698,False,77.85,66.22,248.30,right,right,False,
adjacent,identical_balls_trick_000_018,2,7,V_DEEP,22,14.34,26.331,False,91.93,66.22,491.14,left,right,False,
adjacent,identical_balls_trick_000_018,3,7,V_DEEP,8,22.33,10.255,False,106.16,66.22,310.07,left,right,False,
adjacent,identical_balls_trick_000_018,3,9,V_DEEP,20,31.58,4.93,False,106.16,31.19,77.09,left,left,False,
adjacent,identical_balls_trick_000_018,4,7,V_SHALLOW,6,58.18,2.59,False,55.99,66.22,87.61,right,right,False,
adjacent,identical_balls_trick_000_018,4,8,V_DEEP,10,2.97,96.221,False,55.99,71.47,306.00,right,left,False,FALSE
adjacent,identical_balls_trick_000_018,4,9,V_DEEP,18,35.31,11.539,False,55.99,31.19,254.05,right,left,False,
adjacent,identical_balls_trick_000_018,5,7,V_DEEP,17,10.3,8.173,False,,66.22,186.43,,right,False,
adjacent,identical_balls_trick_000_018,5,9,V_DEEP,29,35.31,6.236,False,,31.19,189.84,,left,False,
adjacent,identical_balls_trick_000_018,6,14,V_SHALLOW,4,54.75,2.998,False,47.25,51.55,127.44,right,right,False,
adjacent,identical_balls_trick_000_018,6,15,V_DEEP,16,2.1,46.6,False,47.25,15.21,101.09,right,right,False,REAL
adjacent,identical_balls_trick_000_018,7,10,V_SHALLOW,8,57.35,2.239,False,50.14,71.95,156.10,left,left,True,
adjacent,identical_balls_trick_000_018,8,9,V_DEEP,5,10.13,15.36,False,50.30,31.19,127.54,left,left,False,
adjacent,identical_balls_trick_000_018,8,10,V_DEEP,18,41.25,2.177,False,50.30,71.95,141.61,left,left,False,
adjacent,identical_balls_trick_000_018,9,12,V_DEEP,6,15.43,14.396,False,13.75,119.40,161.76,left,left,False,
adjacent,identical_balls_trick_000_018,9,13,V_DEEP,6,15.43,8.169,False,13.75,121.59,127.54,left,left,False,
adjacent,identical_balls_trick_000_018,9,14,V_DEEP,28,15.43,17.167,False,13.75,51.55,160.28,left,right,False,
adjacent,identical_balls_trick_000_018,10,11,V_DEEP,8,34.72,2.714,False,87.39,29.53,155.76,right,right,False,
adjacent,identical_balls_trick_000_018,11,12,V_DEEP,7,40.62,8.78,False,48.43,119.40,320.21,right,left,False,
adjacent,identical_balls_trick_000_018,11,13,V_DEEP,7,34.51,8.073,False,48.43,121.59,201.84,right,left,False,
