kind,stem,from_tid,to_tid,gap,min_hand_dist,max_hand_dist,ratio,which_hand,classification,apex_frame,apex_x,apex_y
e6c_not_in_h7v2,identical_balls_trick_000_018,63,65,11,39.9,212.03,5.315,left,V_DEEP,954,748.2,542.8
e6c_not_in_h7v2,identical_balls_trick_000_018,64,69,13,38.12,177.84,4.665,right,V_DEEP,982,527.9,527.8
e6c_not_in_h7v2,identical_balls_trick_000_018,65,69,7,38.12,367.9,9.652,right,V_DEEP,982,527.9,527.8
e6c_not_in_h7v2,identical_balls_trick_000_018,66,69,12,18.3,174.78,9.55,left,V_DEEP,975,689.9,500.1
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,5,10.86,207.71,19.129,left,V_DEEP,970,725.3,531.5
e6c_not_in_h7v2,identical_balls_trick_000_018,67,72,9,26.14,310.67,11.886,left,V_DEEP,1029,704.7,473.7
e6c_not_in_h7v2,identical_balls_trick_000_018,67,71,9,20.36,402.19,19.756,right,V_DEEP,1030,520.3,513.4
e6c_not_in_h7v2,identical_balls_trick_000_018,68,72,14,12.95,214.49,16.569,right,V_DEEP,1015,507.2,578.0
e6c_not_in_h7v2,identical_balls_trick_000_018,68,70,14,12.95,283.46,21.896,right,V_DEEP,1015,507.2,578.0
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,6,30.89,307.19,9.946,right,V_DEEP,1056,497.9,466.5
e6c_not_in_h7v2,identical_balls_trick_000_018,73,75,10,35.2,122.3,3.474,left,V_DEEP,1060,749.5,453.6
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,8.19,160.51,19.604,left,V_DEEP,107,638.3,432.7
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,4.69,180.78,38.56,right,V_DEEP,236,554.0,439.7
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,5.32,92.11,17.308,right,V_DEEP,469,539.5,455.1
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,7.8,33.36,4.276,right,V_DEEP,589,561.8,453.3
adjacent_vshape,identical_balls_trick_000_018,1,4,4,36.29,283.55,7.814,left,V_DEEP,25,737.7,454.1
adjacent_vshape,identical_balls_trick_000_018,1,5,4,36.05,168.55,4.676,right,V_DEEP,24,565.3,514.0
adjacent_vshape,identical_balls_trick_000_018,1,6,10,41.88,200.68,4.792,right,V_DEEP,26,561.3,492.9
adjacent_vshape,identical_balls_trick_000_018,1,7,22,45.58,168.55,3.698,right,V_DEEP,37,425.9,495.5
adjacent_vshape,identical_balls_trick_000_018,1,8,26,62.68,283.55,4.524,left,V_SHALLOW,48,742.3,560.9
adjacent_vshape,identical_balls_trick_000_018,2,4,4,36.29,152.23,4.195,left,V_DEEP,25,737.7,454.1
adjacent_vshape,identical_balls_trick_000_018,2,5,4,36.05,377.69,10.478,right,V_DEEP,24,565.3,514.0
adjacent_vshape,identical_balls_trick_000_018,2,6,10,9.98,265.28,26.594,left,V_DEEP,25,732.5,482.9
adjacent_vshape,identical_balls_trick_000_018,2,7,22,14.34,377.69,26.331,right,V_DEEP,37,482.5,476.3
adjacent_vshape,identical_balls_trick_000_018,2,8,26,62.68,165.79,2.645,left,V_SHALLOW,48,742.3,560.9
adjacent_vshape,identical_balls_trick_000_018,3,7,8,22.33,229.04,10.255,right,V_DEEP,41,446.8,462.3
adjacent_vshape,identical_balls_trick_000_018,3,9,20,31.58,155.67,4.93,left,V_DEEP,51,724.5,452.2
adjacent_vshape,identical_balls_trick_000_018,4,7,6,58.18,150.67,2.59,right,V_SHALLOW,33,477.9,422.8
adjacent_vshape,identical_balls_trick_000_018,4,8,10,2.97,285.32,96.221,right,V_DEEP,40,462.1,476.7
adjacent_vshape,identical_balls_trick_000_018,4,9,18,35.31,407.45,11.539,left,V_DEEP,51,730.9,446.0
adjacent_vshape,identical_balls_trick_000_018,5,7,17,10.3,84.16,8.173,right,V_DEEP,32,481.4,473.4
adjacent_vshape,identical_balls_trick_000_018,5,8,21,36.05,285.32,7.915,right,V_DEEP,24,565.3,514.0
adjacent_vshape,identical_balls_trick_000_018,5,9,29,35.31,220.18,6.236,left,V_DEEP,51,730.9,446.0
adjacent_vshape,identical_balls_trick_000_018,6,14,4,54.75,164.11,2.998,right,V_SHALLOW,126,577.0,447.6
adjacent_vshape,identical_balls_trick_000_018,6,15,16,2.1,97.7,46.6,right,V_DEEP,140,527.2,527.2
adjacent_vshape,identical_balls_trick_000_018,7,10,8,57.35,128.38,2.239,left,V_SHALLOW,56,735.0,425.1
adjacent_vshape,identical_balls_trick_000_018,8,9,5,10.13,155.67,15.36,left,V_DEEP,55,737.8,478.0
adjacent_vshape,identical_balls_trick_000_018,8,10,18,41.25,89.79,2.177,left,V_DEEP,63,826.6,522.6
adjacent_vshape,identical_balls_trick_000_018,9,12,6,15.43,222.1,14.396,left,V_DEEP,99,726.2,492.5
adjacent_vshape,identical_balls_trick_000_018,9,13,6,15.43,126.04,8.169,left,V_DEEP,99,726.2,492.5
adjacent_vshape,identical_balls_trick_000_018,9,14,28,15.43,264.87,17.167,left,V_DEEP,99,726.2,492.5
adjacent_vshape,identical_balls_trick_000_018,10,11,8,34.72,94.23,2.714,right,V_DEEP,89,442.2,464.6
adjacent_vshape,identical_balls_trick_000_018,10,12,25,60.62,356.65,5.883,right,V_SHALLOW,81,534.4,438.8
adjacent_vshape,identical_balls_trick_000_018,10,13,25,50.32,292.1,5.805,left,V_SHALLOW,109,767.9,423.9
adjacent_vshape,identical_balls_trick_000_018,11,12,7,40.62,356.65,8.78,right,V_DEEP,103,518.1,444.5
adjacent_vshape,identical_balls_trick_000_018,11,13,7,34.51,278.6,8.073,right,V_DEEP,103,501.6,456.7
adjacent_vshape,identical_balls_trick_000_018,12,16,8,38.25,338.71,8.854,left,V_DEEP,151,781.0,539.6
adjacent_vshape,identical_balls_trick_000_018,12,17,16,38.25,171.68,4.488,left,V_DEEP,151,781.0,539.6
adjacent_vshape,identical_balls_trick_000_018,12,18,17,38.25,430.25,11.247,left,V_DEEP,151,781.0,539.6
adjacent_vshape,identical_balls_trick_000_018,12,19,25,35.97,115.5,3.211,left,V_DEEP,170,565.2,528.2
adjacent_vshape,identical_balls_trick_000_018,13,15,5,2.1,118.75,56.641,right,V_DEEP,140,527.2,527.2
adjacent_vshape,identical_balls_trick_000_018,13,16,24,44.59,244.05,5.473,right,V_DEEP,134,526.2,438.2
adjacent_vshape,identical_balls_trick_000_018,14,17,5,18.24,175.26,9.61,right,V_DEEP,170,568.1,401.5
adjacent_vshape,identical_balls_trick_000_018,14,18,6,41.5,430.25,10.367,left,V_DEEP,166,514.5,510.5
adjacent_vshape,identical_balls_trick_000_018,14,19,14,54.08,175.26,3.241,right,V_SHALLOW,160,508.3,447.4
adjacent_vshape,identical_balls_trick_000_018,15,16,8,46.6,244.05,5.237,right,V_DEEP,157,599.0,416.8
adjacent_vshape,identical_balls_trick_000_018,15,17,16,27.68,93.33,3.371,right,V_DEEP,162,592.1,419.8
adjacent_vshape,identical_balls_trick_000_018,15,18,17,50.94,312.29,6.131,right,V_SHALLOW,150,588.6,554.8
adjacent_vshape,identical_balls_trick_000_018,15,19,25,11.49,174.74,15.207,left,V_DEEP,166,536.4,534.1
adjacent_vshape,identical_balls_trick_000_018,16,19,8,51.27,382.25,7.456,right,V_SHALLOW,175,502.3,369.9
adjacent_vshape,identical_balls_trick_000_018,17,21,5,22.44,178.55,7.957,right,V_DEEP,208,606.1,505.6
adjacent_vshape,identical_balls_trick_000_018,17,22,13,22.44,386.96,17.243,right,V_DEEP,208,606.1,505.6
adjacent_vshape,identical_balls_trick_000_018,17,24,25,22.44,163.4,7.281,right,V_DEEP,208,606.1,505.6
adjacent_vshape,identical_balls_trick_000_018,18,21,6,46.78,294.11,6.287,left,V_DEEP,208,745.9,548.6
adjacent_vshape,identical_balls_trick_000_018,18,22,14,46.78,507.22,10.843,left,V_DEEP,208,745.9,548.6
adjacent_vshape,identical_balls_trick_000_018,18,24,26,28.77,113.64,3.95,left,V_DEEP,231,494.9,524.0
adjacent_vshape,identical_balls_trick_000_018,18,23,26,46.78,179.72,3.842,left,V_DEEP,208,745.9,548.6
adjacent_vshape,identical_balls_trick_000_018,20,21,4,89.17,315.45,3.538,right,V_SHALLOW,218,584.1,333.2
adjacent_vshape,identical_balls_trick_000_018,20,24,24,51.79,315.45,6.091,right,V_SHALLOW,235,437.2,425.9
adjacent_vshape,identical_balls_trick_000_018,20,23,24,65.59,315.45,4.809,right,V_SHALLOW,229,565.3,337.2
adjacent_vshape,identical_balls_trick_000_018,21,24,19,44.96,294.11,6.541,left,V_DEEP,232,469.1,476.3
adjacent_vshape,identical_balls_trick_000_018,21,23,19,68.87,178.55,2.593,right,V_SHALLOW,232,602.1,366.1
adjacent_vshape,identical_balls_trick_000_018,21,25,30,18.39,178.55,9.709,right,V_DEEP,248,590.6,556.7
adjacent_vshape,identical_balls_trick_000_018,22,26,5,11.59,124.0,10.699,right,V_DEEP,258,590.1,594.3
adjacent_vshape,identical_balls_trick_000_018,24,28,5,59.53,261.23,4.388,right,V_SHALLOW,334,586.9,367.1
adjacent_vshape,identical_balls_trick_000_018,23,26,22,21.7,107.24,4.943,left,V_DEEP,252,629.0,480.0
adjacent_vshape,identical_balls_trick_000_018,23,27,28,16.59,161.02,9.708,right,V_DEEP,260,593.9,598.1
adjacent_vshape,identical_balls_trick_000_018,25,26,2,32.17,96.61,3.003,right,V_DEEP,251,591.3,601.8
adjacent_vshape,identical_balls_trick_000_018,25,27,8,32.17,77.74,2.417,right,V_DEEP,251,591.3,601.8
adjacent_vshape,identical_balls_trick_000_018,28,30,17,99.55,332.54,3.34,right,V_SHALLOW,400,664.0,263.5
adjacent_vshape,identical_balls_trick_000_018,28,31,29,32.61,332.54,10.196,right,V_DEEP,416,543.0,478.4
adjacent_vshape,identical_balls_trick_000_018,29,33,1,5.63,91.15,16.183,left,V_DEEP,469,699.7,489.7
adjacent_vshape,identical_balls_trick_000_018,30,34,21,15.7,66.01,4.203,left,V_DEEP,467,695.4,468.5
adjacent_vshape,identical_balls_trick_000_018,31,37,11,33.27,472.84,14.214,left,V_DEEP,533,716.8,480.9
adjacent_vshape,identical_balls_trick_000_018,31,38,11,28.35,489.77,17.275,right,V_DEEP,537,617.7,489.9
adjacent_vshape,identical_balls_trick_000_018,31,39,23,66.15,489.77,7.404,right,V_SHALLOW,545,614.8,400.4
adjacent_vshape,identical_balls_trick_000_018,31,40,27,94.49,472.84,5.004,left,V_SHALLOW,549,687.7,406.5
adjacent_vshape,identical_balls_trick_000_018,35,36,11,15.27,452.51,29.629,left,V_DEEP,527,725.7,507.5
adjacent_vshape,identical_balls_trick_000_018,35,38,11,6.99,95.13,13.619,left,V_DEEP,528,707.8,507.6
adjacent_vshape,identical_balls_trick_000_018,35,39,23,14.06,154.53,10.991,left,V_DEEP,530,707.2,489.6
adjacent_vshape,identical_balls_trick_000_018,35,40,27,15.27,114.33,7.486,left,V_DEEP,527,725.7,507.5
adjacent_vshape,identical_balls_trick_000_018,36,41,13,11.6,118.81,10.246,right,V_DEEP,589,580.7,383.4
adjacent_vshape,identical_balls_trick_000_018,36,42,15,41.34,138.28,3.345,left,V_DEEP,593,483.6,519.6
adjacent_vshape,identical_balls_trick_000_018,37,39,11,33.27,154.53,4.645,left,V_DEEP,533,716.8,480.9
adjacent_vshape,identical_balls_trick_000_018,38,40,15,28.35,118.23,4.17,right,V_DEEP,537,617.7,489.9
adjacent_vshape,identical_balls_trick_000_018,39,46,3,51.9,174.14,3.355,left,V_SHALLOW,685,590.2,363.4
adjacent_vshape,identical_balls_trick_000_018,39,48,15,99.48,568.28,5.712,left,V_SHALLOW,683,472.5,303.8
adjacent_vshape,identical_balls_trick_000_018,39,49,21,93.6,497.53,5.316,left,V_SHALLOW,684,484.4,301.8
adjacent_vshape,identical_balls_trick_000_018,40,42,11,19.22,190.06,9.886,right,V_DEEP,588,600.1,372.6
adjacent_vshape,identical_balls_trick_000_018,41,44,15,14.43,236.94,16.416,right,V_DEEP,615,589.5,366.2
adjacent_vshape,identical_balls_trick_000_018,41,45,23,43.62,71.81,1.646,right,V_DEEP,619,619.9,325.6
adjacent_vshape,identical_balls_trick_000_018,42,43,23,11.4,203.98,17.9,right,V_DEEP,617,598.9,358.2
adjacent_vshape,identical_balls_trick_000_018,42,44,25,43.11,68.23,1.583,left,V_DEEP,597,477.3,526.8
adjacent_vshape,identical_balls_trick_000_018,43,44,1,9.03,236.94,26.229,right,V_DEEP,627,592.6,356.4
adjacent_vshape,identical_balls_trick_000_018,44,53,11,55.9,194.92,3.487,left,V_SHALLOW,780,446.9,615.3
adjacent_vshape,identical_balls_trick_000_018,44,54,17,51.67,425.86,8.242,right,V_SHALLOW,797,588.0,340.1
adjacent_vshape,identical_balls_trick_000_018,45,47,15,55.01,112.12,2.038,left,V_SHALLOW,679,589.9,361.4
adjacent_vshape,identical_balls_trick_000_018,45,48,21,82.32,568.28,6.904,left,V_SHALLOW,673,608.6,399.9
adjacent_vshape,identical_balls_trick_000_018,45,49,27,77.57,497.53,6.414,left,V_SHALLOW,679,528.5,449.8
adjacent_vshape,identical_balls_trick_000_018,46,50,17,19.9,62.84,3.157,right,V_DEEP,718,581.9,600.8
adjacent_vshape,identical_balls_trick_000_018,47,52,9,32.83,227.91,6.943,left,V_DEEP,766,621.9,506.5
adjacent_vshape,identical_balls_trick_000_018,47,53,25,20.33,84.67,4.164,left,V_DEEP,787,469.0,579.3
adjacent_vshape,identical_balls_trick_000_018,50,56,9,8.9,268.26,30.147,left,V_DEEP,818,649.4,513.6
adjacent_vshape,identical_balls_trick_000_018,51,53,25,16.65,74.67,4.483,left,V_DEEP,786,470.0,587.1
adjacent_vshape,identical_balls_trick_000_018,52,53,11,29.65,273.36,9.219,left,V_DEEP,790,420.2,581.2
adjacent_vshape,identical_balls_trick_000_018,53,58,16,40.78,111.06,2.724,left,V_DEEP,842,524.9,550.6
adjacent_vshape,identical_balls_trick_000_018,53,59,17,40.78,201.94,4.952,left,V_DEEP,842,524.9,550.6
adjacent_vshape,identical_balls_trick_000_018,54,57,9,8.51,324.57,38.118,right,V_DEEP,831,576.4,496.7
adjacent_vshape,identical_balls_trick_000_018,54,58,25,8.51,199.17,23.391,right,V_DEEP,831,576.4,496.7
adjacent_vshape,identical_balls_trick_000_018,54,60,30,8.51,284.47,33.41,right,V_DEEP,831,576.4,496.7
adjacent_vshape,identical_balls_trick_000_018,55,56,3,8.9,140.05,15.739,left,V_DEEP,818,649.4,513.6
adjacent_vshape,identical_balls_trick_000_018,56,57,10,7.11,465.26,65.473,left,V_DEEP,830,684.7,521.5
adjacent_vshape,identical_balls_trick_000_018,56,58,26,7.11,97.04,13.656,left,V_DEEP,830,684.7,521.5
adjacent_vshape,identical_balls_trick_000_018,56,59,27,7.11,209.76,29.519,left,V_DEEP,830,684.7,521.5
adjacent_vshape,identical_balls_trick_000_018,57,61,3,31.47,336.56,10.695,right,V_DEEP,887,597.5,560.3
adjacent_vshape,identical_balls_trick_000_018,57,62,5,12.52,337.55,26.954,left,V_DEEP,885,679.3,543.8
adjacent_vshape,identical_balls_trick_000_018,57,63,10,42.64,336.56,7.894,right,V_DEEP,890,597.9,493.0
adjacent_vshape,identical_balls_trick_000_018,58,60,4,40.46,284.47,7.031,right,V_DEEP,861,449.8,464.2
adjacent_vshape,identical_balls_trick_000_018,58,61,27,25.57,199.17,7.789,right,V_DEEP,880,588.2,620.5
adjacent_vshape,identical_balls_trick_000_018,58,62,29,12.52,141.37,11.289,left,V_DEEP,885,679.3,543.8
adjacent_vshape,identical_balls_trick_000_018,59,61,11,18.94,100.44,5.303,right,V_DEEP,879,624.5,648.6
adjacent_vshape,identical_balls_trick_000_018,59,62,13,12.52,156.9,12.529,left,V_DEEP,885,679.3,543.8
adjacent_vshape,identical_balls_trick_000_018,60,66,21,48.31,541.72,11.215,left,V_DEEP,962,722.6,510.9
adjacent_vshape,identical_balls_trick_000_018,61,63,5,24.97,158.31,6.34,right,V_DEEP,895,587.1,429.6
adjacent_vshape,identical_balls_trick_000_018,62,65,8,32.58,380.76,11.688,right,V_DEEP,948,580.7,556.4
adjacent_vshape,identical_balls_trick_000_018,62,67,20,32.58,380.03,11.665,right,V_DEEP,948,580.7,556.4
adjacent_vshape,identical_balls_trick_000_018,62,68,22,24.72,115.37,4.667,right,V_DEEP,968,567.1,643.0
adjacent_vshape,identical_balls_trick_000_018,62,69,29,32.58,185.88,5.706,right,V_DEEP,948,580.7,556.4
adjacent_vshape,identical_balls_trick_000_018,63,65,11,39.9,212.03,5.315,left,V_DEEP,954,748.2,542.8
adjacent_vshape,identical_balls_trick_000_018,63,66,12,16.74,161.75,9.664,left,V_DEEP,958,722.6,575.3
adjacent_vshape,identical_balls_trick_000_018,63,67,23,64.92,231.76,3.57,left,V_SHALLOW,956,769.9,575.9
adjacent_vshape,identical_balls_trick_000_018,63,68,25,34.83,279.1,8.014,right,V_DEEP,973,561.3,572.4
adjacent_vshape,identical_balls_trick_000_018,64,67,4,59.71,380.03,6.364,right,V_SHALLOW,964,547.3,733.2
adjacent_vshape,identical_balls_trick_000_018,64,69,13,38.12,177.84,4.665,right,V_DEEP,982,527.9,527.8
adjacent_vshape,identical_balls_trick_000_018,65,69,7,38.12,367.9,9.652,right,V_DEEP,982,527.9,527.8
adjacent_vshape,identical_balls_trick_000_018,66,67,3,38.32,231.76,6.048,left,V_DEEP,966,742.7,506.6
adjacent_vshape,identical_balls_trick_000_018,66,68,5,10.86,207.71,19.129,left,V_DEEP,970,725.3,531.5
adjacent_vshape,identical_balls_trick_000_018,66,69,12,18.3,174.78,9.55,left,V_DEEP,975,689.9,500.1
adjacent_vshape,identical_balls_trick_000_018,67,72,9,26.14,310.67,11.886,left,V_DEEP,1029,704.7,473.7
adjacent_vshape,identical_balls_trick_000_018,67,71,9,20.36,402.19,19.756,right,V_DEEP,1030,520.3,513.4
