frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
106,0,0,CASCADE_3+,0.844,CASCADE_3+
107,0,0,CASCADE_3+,0.844,CASCADE_3+
108,0,0,CASCADE_3+,0.844,CASCADE_3+
109,0,0,CASCADE_3+,0.844,CASCADE_3+
110,0,0,CASCADE_3+,0.844,CASCADE_3+
111,0,1,CASCADE_3+,0.844,CASCADE_3+
112,1,1,CASCADE_3+,0.844,CASCADE_3+
113,1,1,CASCADE_3+,0.844,CASCADE_3+
114,1,1,CASCADE_3+,0.844,CASCADE_3+
115,1,1,CASCADE_3+,0.844,CASCADE_3+
116,0,1,CASCADE_3+,0.844,CASCADE_3+
117,0,1,CASCADE_3+,0.844,CASCADE_3+
118,0,1,CASCADE_3+,0.844,CASCADE_3+
119,0,1,CASCADE_3+,0.844,CASCADE_3+
120,0,0,CASCADE_3+,0.844,CASCADE_3+
121,0,0,CASCADE_3+,0.844,CASCADE_3+
122,0,0,CASCADE_3+,0.844,CASCADE_3+
123,0,0,TWO_BALL,0.932,TWO_BALL
124,1,0,TWO_BALL,0.932,TWO_BALL
126,1,0,MIXED_3+,0.9,MIXED_3+
127,1,0,MIXED_3+,0.9,MIXED_3+
128,1,0,MIXED_3+,0.9,MIXED_3+
129,0,0,MIXED_3+,0.9,MIXED_3+
130,0,0,MIXED_3+,0.9,MIXED_3+
131,0,0,MIXED_3+,0.9,MIXED_3+
132,1,0,MIXED_3+,0.9,MIXED_3+
133,1,1,MIXED_3+,0.9,MIXED_3+
134,1,1,TWO_BALL,0.899,TWO_BALL
135,1,1,TWO_BALL,0.899,TWO_BALL
136,1,1,TWO_BALL,0.899,TWO_BALL
137,1,1,TWO_BALL,0.899,TWO_BALL
138,0,0,MIXED_3+,0.932,MIXED_3+
139,0,1,MIXED_3+,0.932,MIXED_3+
140,0,1,MIXED_3+,0.932,MIXED_3+
141,0,1,MIXED_3+,0.932,MIXED_3+
142,0,1,MIXED_3+,0.932,MIXED_3+
143,0,1,MIXED_3+,0.932,MIXED_3+
144,0,1,MIXED_3+,0.932,MIXED_3+
145,0,1,MIXED_3+,0.932,MIXED_3+
146,0,1,MIXED_3+,0.932,MIXED_3+
147,0,0,MIXED_3+,0.932,MIXED_3+
148,0,0,MIXED_3+,0.932,MIXED_3+
149,1,1,MIXED_3+,0.932,MIXED_3+
150,1,1,SINGLE_BALL,0.836,SINGLE_BALL
151,1,1,SINGLE_BALL,0.836,SINGLE_BALL
152,1,1,SINGLE_BALL,0.836,SINGLE_BALL
153,1,0,SINGLE_BALL,0.836,SINGLE_BALL
154,1,0,SINGLE_BALL,0.836,SINGLE_BALL
156,0,0,SINGLE_BALL,0.836,SINGLE_BALL
157,0,0,TWO_BALL,0.886,TWO_BALL
158,0,0,TWO_BALL,0.886,TWO_BALL
159,0,1,TWO_BALL,0.886,TWO_BALL
160,0,1,TWO_BALL,0.886,TWO_BALL
