chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,tok_age,h3_confirmed,first_frame,last_frame,n_pts,chain_quality,chain_classification
31,68,chain31_ball0,False,CATCH_AND_THROW,right,?,False,970,1015,37,0.40530035335689046,UNCERTAIN
31,71,chain31_ball0,False,CATCH_AND_THROW,right,14,False,1029,1074,43,0.40530035335689046,UNCERTAIN
32,56,chain32_ball0,False,CHAIN_START,,,False,814,829,15,1.0,CONFIDENT
33,57,chain33_ball0,False,CHAIN_START,,,False,839,880,37,0.9442508710801394,CONFIDENT
34,58,chain34_ball0,False,CHAIN_START,,,False,855,856,2,1.0,CONFIDENT
35,61,chain35_ball0,False,CHAIN_START,,,False,883,885,3,1.0,CONFIDENT
36,62,chain36_ball0,False,CHAIN_START,,,False,885,948,50,0.58,UNCERTAIN
36,66,chain36_ball0,False,CATCH_AND_THROW,right,?,False,957,965,6,0.58,UNCERTAIN
37,65,chain37_ball0,False,CHAIN_START,,,False,956,970,14,1.0,CONFIDENT
38,67,chain38_ball0,False,CHAIN_START,,,False,968,1020,48,0.32363636363636367,LOW
38,70,chain38_ball0,False,BALLISTIC_CONTINUATION,unknown,?,False,1029,1050,19,0.32363636363636367,LOW
38,74,chain38_ball0,False,CATCH_AND_THROW,left,6,False,1056,1078,22,0.32363636363636367,LOW
39,69,chain39_ball0,False,CHAIN_START,,,False,977,1011,32,0.9663865546218487,CONFIDENT
40,72,chain40_ball0,False,CHAIN_START,,,False,1029,1050,22,0.6612903225806452,UNCERTAIN
40,73,chain40_ball0,False,CATCH_AND_THROW,right,4,False,1054,1060,6,0.6612903225806452,UNCERTAIN
41,75,chain41_ball0,False,CHAIN_START,,,False,1070,1077,8,1.0,CONFIDENT
42,76,chain42_ball0,False,CHAIN_START,,,False,1077,1077,1,1.0,CONFIDENT
