pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.63,v5_confident,True,False,True,45,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,46,MIXED_3+_UNCONFIRMED,0.234,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.494,agree,True,False,False,47,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,True,False,False,48,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,True,False,False,49,TWO_BALL,0.489,TWO_BALL,0.5,2,2
TWO_BALL,0.494,agree,True,False,False,50,TWO_BALL,0.489,TWO_BALL,0.5,2,2
CASCADE_3+,0.63,v5_confident,True,False,True,51,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,52,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,53,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,54,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,55,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,56,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.617,agree,True,True,False,57,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,58,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,59,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,60,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,61,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,62,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,True,True,False,63,TWO_BALL,0.735,TWO_BALL,0.5,2,2
CASCADE_3+,0.63,v5_confident,True,False,True,64,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,65,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,66,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,67,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,68,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,69,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,70,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,71,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
