kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_inhand,src_inhand_count,src_inhand_min_d,tgt_inhand,tgt_inhand_count,tgt_inhand_min_d,in_hand_px,min_in_hand_frames,gap_dist,gap_vel,apex_src_dist,rejected_inhand,rejected_vel,rejected_apex,h20_reject_inhand,h20_keep,max_gap_vel,apex_src_dist_reject
e6c_not_in_h7v2,identical_balls_trick_000_018,73,75,10,V_DEEP,35.2,3.474,left,False,1060,749.5,453.6,False,0,,False,0,,30,3,68.55,13.71,158.52,False,False,False,False,True,70.0,20.0
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,V_DEEP,8.19,19.604,left,False,107,638.3,432.7,True,3,8.19,False,0,,30,3,127.51,12.75,0.01,False,False,True,True,False,70.0,20.0
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,V_DEEP,4.69,38.56,right,False,236,554.0,439.7,False,2,16.59,False,0,,30,3,207.08,34.51,51.42,False,False,False,False,True,70.0,20.0
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,V_DEEP,5.32,17.308,right,False,469,539.5,455.1,True,3,8.0,False,0,,30,3,85.69,9.52,31.55,False,False,False,False,True,70.0,20.0
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,V_DEEP,7.8,4.276,right,False,589,561.8,453.3,False,2,21.77,True,3,11.87,30,3,59.21,5.92,39.47,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,1,6,10,V_DEEP,41.88,4.792,right,False,26,561.3,492.9,False,0,,False,0,,30,3,284.47,56.89,189.66,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,1,7,22,V_DEEP,45.58,3.698,right,False,37,425.9,495.5,False,0,,False,0,,30,3,280.86,16.52,234.01,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,2,7,22,V_DEEP,14.34,26.331,right,False,37,482.5,476.3,False,0,,False,0,,30,3,520.25,30.6,433.53,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,3,7,8,V_DEEP,22.33,10.255,right,False,41,446.8,462.3,False,0,,False,0,,30,3,295.84,98.61,246.58,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,3,9,20,V_DEEP,31.58,4.93,left,False,51,724.5,452.2,False,0,,False,0,,30,3,53.4,3.56,44.51,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,4,7,6,V_SHALLOW,58.18,2.59,right,False,33,477.9,422.8,False,0,,False,0,,30,3,80.66,80.66,148.05,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,4,8,10,V_DEEP,2.97,96.221,right,False,40,462.1,476.7,False,0,,False,0,,30,3,438.16,87.63,146.09,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,4,9,18,V_DEEP,35.31,11.539,left,False,51,730.9,446.0,False,0,,False,0,,30,3,402.04,30.93,402.06,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,5,7,17,V_DEEP,10.3,8.173,right,False,32,481.4,473.4,False,0,,False,0,,30,3,170.05,13.08,84.98,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,5,9,29,V_DEEP,35.31,6.236,left,False,51,730.9,446.0,False,0,,False,0,,30,3,171.27,6.85,171.29,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,6,14,4,V_SHALLOW,54.75,2.998,right,False,126,577.0,447.6,False,0,,False,0,,30,3,97.11,,97.11,False,False,False,False,True,70.0,20.0
