frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
110,3,0,0,3,0.515,CASCADE_3+,0.515,0
111,3,0,0,3,0.515,CASCADE_3+,0.515,0
112,3,0,0,3,0.515,CASCADE_3+,0.515,0
113,3,0,0,3,0.515,CASCADE_3+,0.515,0
114,4,0,0,4,0.519,CASCADE_3+,0.519,0
115,4,0,0,4,0.519,CASCADE_3+,0.519,0
116,4,0,0,4,0.519,CASCADE_3+,0.519,0
117,5,0,0,5,0.609,CASCADE_3+,0.609,0
118,5,0,0,5,0.609,CASCADE_3+,0.609,0
119,5,0,0,5,0.609,CASCADE_3+,0.609,0
120,5,0,0,5,0.609,CASCADE_3+,0.609,0
121,5,0,0,5,0.609,CASCADE_3+,0.609,0
122,5,0,0,5,0.609,CASCADE_3+,0.609,0
123,5,0,0,5,0.609,CASCADE_3+,0.609,0
124,5,0,0,5,0.609,CASCADE_3+,0.609,0
125,5,0,0,5,0.609,CASCADE_3+,0.609,0
126,5,0,0,5,0.609,CASCADE_3+,0.609,0
127,5,0,0,5,0.609,CASCADE_3+,0.609,0
128,5,0,0,5,0.609,CASCADE_3+,0.609,0
129,5,0,0,5,0.609,CASCADE_3+,0.609,0
130,5,0,0,5,0.609,CASCADE_3+,0.609,0
131,5,0,0,5,0.609,CASCADE_3+,0.609,0
132,5,0,0,5,0.609,CASCADE_3+,0.609,0
133,5,0,0,5,0.609,CASCADE_3+,0.609,0
134,5,0,0,5,0.609,CASCADE_3+,0.609,0
135,5,0,0,5,0.609,CASCADE_3+,0.609,0
136,5,0,0,5,0.609,CASCADE_3+,0.609,0
137,5,0,0,5,0.609,CASCADE_3+,0.609,0
138,5,0,0,5,0.609,CASCADE_3+,0.609,0
139,5,0,0,5,0.609,CASCADE_3+,0.609,0
140,5,0,0,5,0.609,CASCADE_3+,0.609,0
141,5,0,0,5,0.609,CASCADE_3+,0.609,0
142,5,0,0,5,0.609,CASCADE_3+,0.609,0
143,5,0,0,5,0.609,CASCADE_3+,0.609,0
144,5,0,0,5,0.609,CASCADE_3+,0.609,0
145,5,0,0,5,0.609,CASCADE_3+,0.609,0
146,5,0,0,5,0.609,CASCADE_3+,0.609,0
147,5,0,0,5,0.609,CASCADE_3+,0.609,0
148,5,0,0,5,0.609,CASCADE_3+,0.609,0
149,5,0,0,5,0.609,CASCADE_3+,0.609,0
150,5,0,0,5,0.609,CASCADE_3+,0.609,0
151,5,0,0,5,0.609,CASCADE_3+,0.609,0
152,5,0,0,5,0.609,CASCADE_3+,0.609,0
153,5,0,0,5,0.609,CASCADE_3+,0.609,0
154,5,0,0,5,0.609,CASCADE_3+,0.609,0
155,5,0,0,5,0.609,CASCADE_3+,0.609,0
156,5,0,0,5,0.609,CASCADE_3+,0.609,0
157,5,0,0,5,0.609,CASCADE_3+,0.609,0
158,5,0,0,5,0.609,CASCADE_3+,0.609,0
159,5,0,0,5,0.609,CASCADE_3+,0.609,0
160,5,0,0,5,0.609,CASCADE_3+,0.609,0
161,5,0,0,5,0.609,CASCADE_3+,0.609,0
162,5,0,0,5,0.609,CASCADE_3+,0.609,0
163,5,0,0,5,0.609,CASCADE_3+,0.609,0
164,5,0,0,5,0.609,CASCADE_3+,0.609,0
165,5,0,0,5,0.609,CASCADE_3+,0.609,0
166,5,0,0,5,0.609,CASCADE_3+,0.609,0
167,5,0,0,5,0.609,CASCADE_3+,0.609,0
168,5,0,0,5,0.609,CASCADE_3+,0.609,0
169,5,0,0,5,0.609,CASCADE_3+,0.609,0
170,5,0,0,5,0.609,CASCADE_3+,0.609,0
171,5,0,0,5,0.609,CASCADE_3+,0.609,0
172,5,0,0,5,0.609,CASCADE_3+,0.609,0
173,5,0,0,5,0.609,CASCADE_3+,0.609,0
174,5,0,0,5,0.609,CASCADE_3+,0.609,0
175,5,0,0,5,0.609,CASCADE_3+,0.609,0
176,5,0,0,5,0.609,CASCADE_3+,0.609,0
177,5,0,0,5,0.609,CASCADE_3+,0.609,0
178,5,0,0,5,0.609,CASCADE_3+,0.609,0
