pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.63,v5_confident,True,False,True,52,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,53,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,54,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,55,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,56,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,57,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,58,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.63,v5_confident,True,False,True,59,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.63,v5_confident,True,False,True,60,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.63,v5_confident,True,False,True,61,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.63,v5_confident,True,False,True,62,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.63,v5_confident,True,False,True,63,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,64,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,65,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,66,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,67,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,68,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,69,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
