video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,36,533,578,40,501.41,113.95,489.23,434.69,right,99.14,1.017,5,0.157,right,406.95,-10.359,5,0.157
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,533,534,2,716.76,480.89,716.18,477.79,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,533,534,2,618.64,508.07,618.33,501.99,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,545,676,127,614.79,400.37,557.05,198.09,left,174.1,-7.042,5,0.152,right,62.73,4.596,5,0.152
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,549,582,33,687.75,406.55,628.51,344.77,right,62.99,-1.392,5,0.223,left,93.97,3.947,5,0.223
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,591,608,14,626.68,343.39,622.22,335.5,right,45.23,-0.202,5,0.166,right,50.85,-0.188,5,0.166
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,42,593,598,4,483.61,519.56,475.15,529.33,left,43.8,0.584,4,0.17,left,40.05,0.584,4,0.17
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,43,621,622,2,625.13,322.18,624.79,321.63,,,,2,,,,,2,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,44,623,780,140,435.91,537.84,446.91,615.32,left,32.2,-7.436,5,0.298,left,66.11,0.314,5,0.298
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,631,670,40,619.27,313.04,609.06,389.01,left,81.89,-0.966,5,0.169,right,60.86,1.718,5,0.169
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,46,679,716,30,607.69,430.31,584.5,597.36,right,19.21,0.435,5,0.251,left,89.36,2.313,5,0.251
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,47,685,766,72,553.2,269.58,621.86,506.46,left,30.51,2.733,5,0.421,left,109.2,-8.051,5,0.421
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,48,691,700,10,57.94,674.74,57.93,674.95,right,521.2,1.862,5,0.152,right,508.87,1.159,5,0.152
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,49,697,697,1,129.73,662.3,129.73,662.3,,,,1,,,,,1,
