frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
346,5,0,0,5,5,3.59,2,CASCADE_3+_DETECTOR,0.7
347,5,0,0,5,5,2.61,2,CASCADE_3+_DETECTOR,0.7
348,5,0,0,5,5,3.61,2,CASCADE_3+_DETECTOR,0.7
349,5,0,0,5,5,3.1,2,CASCADE_3+_DETECTOR,0.7
350,5,0,0,5,5,2.88,2,CASCADE_3+_DETECTOR,0.7
351,5,0,0,5,5,2.68,2,CASCADE_3+_DETECTOR,0.7
352,5,0,0,5,5,2.48,2,CASCADE_3+_DETECTOR,0.7
353,5,0,0,5,5,3.24,2,CASCADE_3+_DETECTOR,0.7
354,5,0,0,5,5,1.22,2,CASCADE_3+_DETECTOR,0.7
355,5,0,0,5,5,2.88,2,CASCADE_3+_DETECTOR,0.7
356,5,0,0,5,5,2.48,1,FOUNTAIN_3+_DETECTOR,0.7
