stem,src,tgt,edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,gap,spatial_jump,v_jump,label,h93_phase_key,drop_at_20,drop_at_25,drop_at_30,drop_at_40,drop_at_50,drop_at_60,drop_at_80,drop_at_100
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,RECLASSIFIED_HAND_TRANSITION,right,right,False,12.41,13.49,9,63.6,7.07,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,RECLASSIFIED_HAND_TRANSITION,right,right,False,16.22,21.72,12,83.15,6.93,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_339_374,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,RECLASSIFIED_HAND_TRANSITION,left,left,False,17.73,21.67,6,85.01,14.17,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,RECLASSIFIED_HAND_TRANSITION,left,left,False,6.63,4.99,11,40.06,3.64,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,RECLASSIFIED_HAND_TRANSITION,right,right,False,6.74,13.87,9,23.32,2.59,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,RECLASSIFIED_HAND_TRANSITION,right,right,False,27.49,34.96,6,94.5,15.75,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,RECLASSIFIED_HAND_TRANSITION,right,right,False,12.89,34.5,12,92.64,7.72,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,RECLASSIFIED_HAND_TRANSITION,left,left,False,18.79,32.85,8,94.68,11.83,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,RECLASSIFIED_HAND_TRANSITION,right,right,False,10.58,33.66,12,80.83,6.74,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,RECLASSIFIED_HAND_TRANSITION,left,left,False,21.97,11.52,6,60.65,10.11,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,RECLASSIFIED_HAND_TRANSITION,left,left,False,11.72,50.19,14,119.89,8.56,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,RECLASSIFIED_HAND_TRANSITION,right,right,False,20.37,30.04,5,84.48,16.9,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,RECLASSIFIED_HAND_TRANSITION,right,right,False,13.57,4.45,8,39.38,4.92,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,RECLASSIFIED_HAND_TRANSITION,right,right,False,14.07,12.37,9,56.96,6.33,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,RECLASSIFIED_HAND_TRANSITION,right,right,False,16.11,23.3,11,78.49,7.14,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,RECLASSIFIED_HAND_TRANSITION,right,right,False,24.95,10.11,7,50.13,7.16,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,RECLASSIFIED_HAND_TRANSITION,left,left,False,23.14,16.76,7,79.68,11.38,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,V_RECLASSIFIED_HAND_TRANSITION,,left,False,,108.06,8,97.88,12.24,correct,,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,H22_RECLASSIFIED_HAND_TRANSITION,right,right,False,5.56,35.34,12,71.18,5.93,correct,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,False,False,False,False,False,False,False,False
