frame,L40v2,R40v2,h12_pattern,h12_conf
169,0,0,TWO_BALL,0.738
170,0,0,TWO_BALL,0.738
171,0,0,TWO_BALL,0.738
172,0,0,TWO_BALL,0.738
173,0,0,TWO_BALL,0.738
174,1,1,MIXED_3+,0.643
175,1,1,MIXED_3+,0.643
176,1,1,MIXED_3+,0.643
177,1,1,MIXED_3+,0.643
178,1,1,MIXED_3+,0.643
179,1,1,MIXED_3+,0.643
180,1,1,MIXED_3+,0.643
181,1,1,MIXED_3+,0.643
182,1,0,MIXED_3+,0.643
183,1,0,MIXED_3+,0.643
184,0,0,MIXED_3+,0.643
185,0,0,MIXED_3+,0.643
186,1,0,MIXED_3+,0.643
187,1,0,MIXED_3+,0.643
188,1,1,MIXED_3+,0.643
189,1,1,MIXED_3+,0.643
190,1,1,MIXED_3+,0.643
191,0,1,MIXED_3+,0.643
192,1,1,MIXED_3+,0.643
193,1,1,MIXED_3+,0.643
194,1,1,MIXED_3+,0.643
195,1,1,MIXED_3+,0.643
196,1,1,TWO_BALL,0.738
197,1,1,TWO_BALL,0.738
198,1,1,TWO_BALL,0.738
199,1,1,TWO_BALL,0.738
200,1,1,TWO_BALL,0.738
201,1,1,TWO_BALL,0.738
202,1,1,MIXED_3+,0.643
203,1,1,MIXED_3+,0.643
204,1,1,MIXED_3+,0.643
205,1,1,MIXED_3+,0.643
206,1,1,MIXED_3+,0.643
207,1,1,TWO_BALL_ONE_HAND,0.479
208,1,1,SINGLE_BALL,0.454
209,1,1,,0.0
210,1,1,,0.0
211,1,1,,0.0
212,1,1,SINGLE_BALL,0.316
213,1,1,SINGLE_BALL,0.316
214,0,1,,0.0
215,0,0,,0.0
216,0,0,,0.0
217,0,0,,0.0
220,0,0,SINGLE_BALL,0.316
221,0,0,SINGLE_BALL,0.316
222,0,0,SINGLE_BALL,0.316
223,0,0,SINGLE_BALL,0.316
224,0,0,SINGLE_BALL,0.316
225,0,0,SINGLE_BALL,0.316
227,0,0,SINGLE_BALL,0.316
228,0,0,SINGLE_BALL,0.316
229,0,0,SINGLE_BALL,0.316
230,0,0,SINGLE_BALL,0.316
231,0,0,SINGLE_BALL,0.316
232,1,1,FOUNTAIN_3+,0.593
233,1,1,FOUNTAIN_3+,0.593
234,1,1,FOUNTAIN_3+,0.593
235,1,1,FOUNTAIN_3+,0.593
236,1,1,TWO_BALL,0.637
237,1,1,TWO_BALL,0.637
238,1,1,TWO_BALL,0.637
239,0,1,TWO_BALL,0.637
240,0,0,TWO_BALL,0.637
242,0,0,TWO_BALL,0.637
243,0,0,FOUNTAIN_3+,0.593
244,0,1,FOUNTAIN_3+,0.593
245,0,1,FOUNTAIN_3+,0.593
246,0,1,FOUNTAIN_3+,0.593
247,0,1,FOUNTAIN_3+,0.593
248,0,1,FOUNTAIN_3+,0.593
249,1,1,FOUNTAIN_3+,0.593
250,1,1,FOUNTAIN_3+,0.593
251,1,1,FOUNTAIN_3+,0.593
252,1,1,FOUNTAIN_3+,0.593
253,1,1,TWO_BALL,0.731
254,0,1,TWO_BALL,0.731
255,0,1,TWO_BALL,0.731
256,0,1,SINGLE_BALL,0.958
257,1,1,TWO_BALL,0.935
258,1,1,TWO_BALL,0.935
259,1,1,TWO_BALL,0.935
260,1,1,TWO_BALL,0.935
261,0,0,TWO_BALL,0.935
262,0,0,TWO_BALL,0.935
263,0,0,FOUNTAIN_3+,0.728
264,0,0,FOUNTAIN_3+,0.728
265,0,0,FOUNTAIN_3+,0.728
266,0,0,FOUNTAIN_3+,0.728
267,1,0,FOUNTAIN_3+,0.728
268,1,0,FOUNTAIN_3+,0.728
269,1,0,FOUNTAIN_3+,0.728
270,1,0,FOUNTAIN_3+,0.728
271,1,0,FOUNTAIN_3+,0.728
272,1,0,FOUNTAIN_3+,0.728
273,1,0,FOUNTAIN_3+,0.728
274,1,0,FOUNTAIN_3+,0.728
275,1,1,FOUNTAIN_3+,0.728
276,1,1,FOUNTAIN_3+,0.728
277,0,1,FOUNTAIN_3+,0.728
278,0,1,FOUNTAIN_3+,0.728
279,1,0,FOUNTAIN_3+,0.728
280,1,1,FOUNTAIN_3+,0.728
281,1,1,FOUNTAIN_3+,0.728
282,1,1,FOUNTAIN_3+,0.728
283,1,1,FOUNTAIN_3+,0.728
284,1,1,FOUNTAIN_3+,0.728
285,1,1,FOUNTAIN_3+,0.728
286,1,1,FOUNTAIN_3+,0.728
287,1,1,FOUNTAIN_3+,0.728
288,1,1,FOUNTAIN_3+,0.728
289,0,1,FOUNTAIN_3+,0.728
290,0,1,FOUNTAIN_3+,0.728
291,0,0,FOUNTAIN_3+,0.728
292,0,0,FOUNTAIN_3+,0.728
293,0,1,FOUNTAIN_3+,0.728
294,0,1,FOUNTAIN_3+,0.728
295,0,1,FOUNTAIN_3+,0.728
296,0,1,FOUNTAIN_3+,0.728
297,1,1,FOUNTAIN_3+,0.728
298,1,1,FOUNTAIN_3+,0.728
299,1,1,FOUNTAIN_3+,0.728
300,1,1,FOUNTAIN_3+,0.728
301,1,1,FOUNTAIN_3+,0.728
302,1,1,FOUNTAIN_3+,0.728
303,1,1,FOUNTAIN_3+,0.728
304,1,1,FOUNTAIN_3+,0.728
305,1,1,FOUNTAIN_3+,0.728
306,1,1,FOUNTAIN_3+,0.728
307,1,1,FOUNTAIN_3+,0.728
308,1,0,FOUNTAIN_3+,0.728
309,1,0,FOUNTAIN_3+,0.728
310,0,0,FOUNTAIN_3+,0.728
311,0,0,FOUNTAIN_3+,0.728
312,0,0,FOUNTAIN_3+,0.728
313,0,0,TWO_BALL,0.935
314,0,0,TWO_BALL,0.935
315,0,0,TWO_BALL,0.935
316,0,0,TWO_BALL,0.935
317,0,1,TWO_BALL,0.935
318,0,1,TWO_BALL,0.935
319,0,1,TWO_BALL,0.935
320,0,1,TWO_BALL,0.935
321,0,1,TWO_BALL,0.935
322,0,1,TWO_BALL,0.935
323,0,1,TWO_BALL,0.935
324,0,1,TWO_BALL,0.935
325,0,1,TWO_BALL,0.935
326,0,1,TWO_BALL,0.935
327,0,1,TWO_BALL,0.935
328,0,1,TWO_BALL,0.935
329,0,1,SINGLE_BALL,0.911
330,0,1,SINGLE_BALL,0.911
331,0,1,SINGLE_BALL,0.911
332,0,1,SINGLE_BALL,0.911
333,0,1,TWO_BALL,0.757
334,0,1,TWO_BALL,0.757
336,0,0,SINGLE_BALL,0.602
337,0,0,SINGLE_BALL,0.602
338,0,0,SINGLE_BALL,0.602
339,0,0,SINGLE_BALL,0.602
340,0,0,SINGLE_BALL,0.602
343,0,0,SINGLE_BALL,0.602
344,0,0,SINGLE_BALL,0.602
345,0,0,SINGLE_BALL,0.602
346,0,0,SINGLE_BALL,0.602
347,0,0,SINGLE_BALL,0.602
348,0,0,SINGLE_BALL,0.602
349,0,0,SINGLE_BALL,0.602
350,0,0,SINGLE_BALL,0.602
351,0,0,SINGLE_BALL,0.602
352,0,0,SINGLE_BALL,0.602
361,0,0,SINGLE_BALL,0.602
362,0,0,SINGLE_BALL,0.602
363,0,0,SINGLE_BALL,0.602
364,0,0,SINGLE_BALL,0.602
365,0,0,SINGLE_BALL,0.602
366,0,0,SINGLE_BALL,0.602
367,0,0,SINGLE_BALL,0.602
368,0,0,SINGLE_BALL,0.602
369,0,0,SINGLE_BALL,0.602
370,0,0,SINGLE_BALL,0.602
371,0,0,SINGLE_BALL,0.602
372,0,0,SINGLE_BALL,0.602
373,0,0,SINGLE_BALL,0.602
