T_D_B,T_J_B,T_D_C,T_J_C,n_fires_h17,n_fires_h17_in_h7v3,n_qa_in_fires,n_real_qa,n_real_partial_qa,n_false_qa
50,80,40,60,97,1,9,3,4,4
50,80,40,80,90,0,7,3,3,3
50,80,40,100,90,0,7,3,3,3
50,80,40,150,79,0,5,2,2,3
50,80,50,60,99,0,8,2,3,4
50,80,50,80,93,0,7,2,3,3
50,80,50,100,92,0,7,2,3,3
50,80,50,150,79,0,5,2,2,3
50,80,60,60,100,1,8,2,3,4
50,80,60,80,95,1,7,2,3,3
50,80,60,100,93,1,7,2,3,3
50,80,60,150,80,1,5,2,2,3
50,80,80,60,80,0,7,2,2,4
50,80,80,80,76,0,6,2,2,3
50,80,80,100,75,0,6,2,2,3
50,80,80,150,71,0,5,2,2,3
50,100,40,60,97,1,9,3,4,4
50,100,40,80,90,0,7,3,3,3
50,100,40,100,90,0,7,3,3,3
50,100,40,150,79,0,5,2,2,3
50,100,50,60,99,0,8,2,3,4
50,100,50,80,93,0,7,2,3,3
50,100,50,100,92,0,7,2,3,3
50,100,50,150,79,0,5,2,2,3
50,100,60,60,100,1,8,2,3,4
50,100,60,80,95,1,7,2,3,3
50,100,60,100,93,1,7,2,3,3
50,100,60,150,80,1,5,2,2,3
50,100,80,60,80,0,7,2,2,4
50,100,80,80,76,0,6,2,2,3
50,100,80,100,75,0,6,2,2,3
50,100,80,150,71,0,5,2,2,3
50,150,40,60,96,1,9,3,4,4
50,150,40,80,89,0,7,3,3,3
50,150,40,100,89,0,7,3,3,3
50,150,40,150,78,0,5,2,2,3
50,150,50,60,98,0,8,2,3,4
50,150,50,80,92,0,7,2,3,3
50,150,50,100,91,0,7,2,3,3
50,150,50,150,78,0,5,2,2,3
50,150,60,60,100,1,8,2,3,4
50,150,60,80,95,1,7,2,3,3
50,150,60,100,93,1,7,2,3,3
50,150,60,150,79,1,5,2,2,3
50,150,80,60,79,0,7,2,2,4
50,150,80,80,75,0,6,2,2,3
50,150,80,100,74,0,6,2,2,3
50,150,80,150,70,0,5,2,2,3
50,200,40,60,94,1,9,3,4,4
50,200,40,80,87,0,7,3,3,3
50,200,40,100,87,0,7,3,3,3
50,200,40,150,76,0,5,2,2,3
50,200,50,60,96,0,8,2,3,4
50,200,50,80,90,0,7,2,3,3
50,200,50,100,89,0,7,2,3,3
50,200,50,150,76,0,5,2,2,3
50,200,60,60,98,1,8,2,3,4
50,200,60,80,93,1,7,2,3,3
50,200,60,100,91,1,7,2,3,3
50,200,60,150,77,1,5,2,2,3
50,200,80,60,77,0,7,2,2,4
50,200,80,80,73,0,6,2,2,3
50,200,80,100,72,0,6,2,2,3
50,200,80,150,68,0,5,2,2,3
