frame,pattern,confidence,new_pattern
82,CASCADE_3+,0.681,CASCADE_3+
83,MIXED_3+,0.663,MIXED_3+
84,MIXED_3+,0.663,MIXED_3+
85,MIXED_3+,0.663,MIXED_3+
86,MIXED_3+,0.663,MIXED_3+
87,MIXED_3+,0.663,MIXED_3+
88,MIXED_3+,0.663,MIXED_3+
89,MIXED_3+,0.663,MIXED_3+
90,MIXED_3+,0.663,MIXED_3+
91,MIXED_3+,0.663,MIXED_3+
92,MIXED_3+,0.663,MIXED_3+
93,MIXED_3+,0.663,MIXED_3+
94,MIXED_3+,0.663,MIXED_3+
95,MIXED_3+,0.663,MIXED_3+
96,MIXED_3+,0.663,MIXED_3+
97,MIXED_3+,0.663,MIXED_3+
98,MIXED_3+,0.684,MIXED_3+
99,MIXED_3+,0.684,MIXED_3+
100,MIXED_3+,0.684,MIXED_3+
101,MIXED_3+,0.684,MIXED_3+
102,CASCADE_3+,0.684,CASCADE_3+
103,CASCADE_3+,0.688,CASCADE_3+
104,CASCADE_3+,0.688,CASCADE_3+
105,CASCADE_3+,0.688,CASCADE_3+
106,CASCADE_3+,0.688,CASCADE_3+
107,CASCADE_3+,0.688,CASCADE_3+
108,CASCADE_3+,0.688,CASCADE_3+
109,CASCADE_3+,0.688,CASCADE_3+
110,CASCADE_3+,0.688,CASCADE_3+
111,CASCADE_3+,0.688,CASCADE_3+
112,CASCADE_3+,0.688,CASCADE_3+
113,CASCADE_3+,0.688,CASCADE_3+
114,MIXED_3+,0.684,MIXED_3+
115,MIXED_3+,0.684,MIXED_3+
116,MIXED_3+,0.684,MIXED_3+
117,MIXED_3+,0.715,MIXED_3+
118,MIXED_3+,0.715,MIXED_3+
119,MIXED_3+,0.715,MIXED_3+
120,MIXED_3+,0.715,MIXED_3+
121,MIXED_3+,0.715,MIXED_3+
122,MIXED_3+,0.715,MIXED_3+
123,MIXED_3+,0.715,MIXED_3+
124,MIXED_3+,0.715,MIXED_3+
125,MIXED_3+,0.715,MIXED_3+
126,MIXED_3+,0.715,MIXED_3+
127,MIXED_3+,0.715,MIXED_3+
128,MIXED_3+,0.715,MIXED_3+
129,MIXED_3+,0.715,MIXED_3+
130,MIXED_3+,0.715,MIXED_3+
131,MIXED_3+,0.715,MIXED_3+
132,MIXED_3+,0.715,MIXED_3+
133,MIXED_3+,0.715,MIXED_3+
134,MIXED_3+,0.715,MIXED_3+
135,MIXED_3+,0.715,MIXED_3+
136,MIXED_3+,0.715,MIXED_3+
137,MIXED_3+,0.715,MIXED_3+
138,MIXED_3+,0.715,MIXED_3+
139,MIXED_3+,0.715,MIXED_3+
140,MIXED_3+,0.715,MIXED_3+
141,MIXED_3+,0.715,MIXED_3+
142,MIXED_3+,0.715,MIXED_3+
143,MIXED_3+,0.715,MIXED_3+
144,MIXED_3+,0.715,MIXED_3+
145,MIXED_3+,0.715,MIXED_3+
146,MIXED_3+,0.715,MIXED_3+
147,MIXED_3+,0.715,MIXED_3+
148,MIXED_3+,0.715,MIXED_3+
149,MIXED_3+,0.715,MIXED_3+
150,MIXED_3+,0.715,MIXED_3+
151,MIXED_3+,0.715,MIXED_3+
152,MIXED_3+,0.715,MIXED_3+
153,MIXED_3+,0.715,MIXED_3+
154,MIXED_3+,0.715,MIXED_3+
155,MIXED_3+,0.715,MIXED_3+
156,MIXED_3+,0.715,MIXED_3+
157,MIXED_3+,0.715,MIXED_3+
158,MIXED_3+,0.715,MIXED_3+
159,MIXED_3+,0.715,MIXED_3+
160,MIXED_3+,0.715,MIXED_3+
161,MIXED_3+,0.715,MIXED_3+
162,MIXED_3+,0.715,MIXED_3+
163,MIXED_3+,0.715,MIXED_3+
164,MIXED_3+,0.715,MIXED_3+
165,MIXED_3+,0.715,MIXED_3+
166,MIXED_3+,0.715,MIXED_3+
167,MIXED_3+,0.715,MIXED_3+
168,MIXED_3+,0.715,MIXED_3+
169,MIXED_3+,0.715,MIXED_3+
170,MIXED_3+,0.715,MIXED_3+
171,MIXED_3+,0.715,MIXED_3+
172,MIXED_3+,0.715,MIXED_3+
173,MIXED_3+,0.715,MIXED_3+
174,MIXED_3+,0.715,MIXED_3+
175,MIXED_3+,0.715,MIXED_3+
176,MIXED_3+,0.715,MIXED_3+
177,MIXED_3+,0.715,MIXED_3+
178,MIXED_3+,0.715,MIXED_3+
179,MIXED_3+,0.715,MIXED_3+
