frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
89,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
90,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
91,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
92,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
93,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
94,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
95,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
96,MIXED_3+_UNCONFIRMED,0.25,4,2,0,2,False,n_far=2
97,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
98,TWO_BALL,0.5,4,2,1,1,False,n_far=2
99,SINGLE_BALL,0.5,4,2,1,1,False,n_far=2
100,SINGLE_BALL,0.5,4,2,1,1,False,n_far=2
101,SINGLE_BALL,0.5,4,2,1,1,False,n_far=2
102,SINGLE_BALL,0.5,4,2,1,1,False,n_far=2
103,SINGLE_BALL,0.5,4,2,1,1,False,n_far=2
104,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
105,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
106,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
107,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
108,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
109,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
110,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
111,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
112,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
113,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
114,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
115,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
116,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
117,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
118,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
119,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
120,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
121,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
122,MIXED_3+_UNCONFIRMED,0.25,4,2,1,1,False,n_far=2
