T_d,T_j,n_kept,n_rejected,n_kept_qa,n_kept_real,n_kept_true,n_kept_false,n_rej_real,n_rej_true,n_rej_false,n_rej_in_h7v3plus3,precision_kept_true,precision_rej_real,precision_rej_false,recall_kept_real,recall_kept_true
20,100,57,51,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.0392156862745098,1.0,0.8888888888888888
20,150,67,41,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.04878048780487805,1.0,1.0
20,200,76,32,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.0625,1.0,1.0
20,250,87,21,15,6,9,5,0,0,1,0,0.6,0.0,0.047619047619047616,1.0,1.0
20,300,93,15,15,6,9,5,0,0,1,0,0.6,0.0,0.06666666666666667,1.0,1.0
20,400,102,6,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
25,100,62,46,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.043478260869565216,1.0,0.8888888888888888
25,150,71,37,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.05405405405405406,1.0,1.0
25,200,78,30,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.06666666666666667,1.0,1.0
25,250,89,19,15,6,9,5,0,0,1,0,0.6,0.0,0.05263157894736842,1.0,1.0
25,300,94,14,15,6,9,5,0,0,1,0,0.6,0.0,0.07142857142857142,1.0,1.0
25,400,103,5,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
30,100,63,45,13,6,8,4,0,1,2,1,0.6153846153846154,0.0,0.044444444444444446,1.0,0.8888888888888888
30,150,72,36,14,6,9,4,0,0,2,1,0.6428571428571429,0.0,0.05555555555555555,1.0,1.0
30,200,78,30,14,6,9,4,0,0,2,0,0.6428571428571429,0.0,0.06666666666666667,1.0,1.0
30,250,89,19,15,6,9,5,0,0,1,0,0.6,0.0,0.05263157894736842,1.0,1.0
30,300,94,14,15,6,9,5,0,0,1,0,0.6,0.0,0.07142857142857142,1.0,1.0
30,400,103,5,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
40,100,84,24,14,6,8,5,0,1,1,1,0.5714285714285714,0.0,0.041666666666666664,1.0,0.8888888888888888
40,150,90,18,15,6,9,5,0,0,1,1,0.6,0.0,0.05555555555555555,1.0,1.0
40,200,92,16,15,6,9,5,0,0,1,0,0.6,0.0,0.0625,1.0,1.0
40,250,100,8,15,6,9,5,0,0,1,0,0.6,0.0,0.125,1.0,1.0
40,300,100,8,15,6,9,5,0,0,1,0,0.6,0.0,0.125,1.0,1.0
40,400,106,2,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
50,100,90,18,15,6,9,5,0,0,1,1,0.6,0.0,0.05555555555555555,1.0,1.0
50,150,93,15,15,6,9,5,0,0,1,1,0.6,0.0,0.06666666666666667,1.0,1.0
50,200,95,13,15,6,9,5,0,0,1,0,0.6,0.0,0.07692307692307693,1.0,1.0
50,250,101,7,15,6,9,5,0,0,1,0,0.6,0.0,0.14285714285714285,1.0,1.0
50,300,101,7,15,6,9,5,0,0,1,0,0.6,0.0,0.14285714285714285,1.0,1.0
50,400,106,2,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,100,104,4,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,150,104,4,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,200,104,4,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,250,106,2,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,300,106,2,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
80,400,107,1,16,6,9,6,0,0,0,0,0.5625,0.0,0.0,1.0,1.0
