kind,stem,src,tgt,vshape,in_hand_px,min_hand_dist,gap_dist,gap_vel,apex_src_dist,h20_keep,end_d,start_d,end_side,start_side,spatial_jump,h114_v1_default_fires,visual_qa_verdict,in_h7v3plus3,rule_a,rule_b,rule_c,fires_any
h20_kept,identical_balls_trick_000_018,66,69,V_DEEP,30.0,18.3,136.65,17.08,68.33,True,32.65,75.57,left,left,116.43451764833313,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,67,72,V_DEEP,30.0,26.14,279.85,69.96,279.81,True,272.56,16.95,left,left,244.29262780526147,False,FALSE,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,68,70,V_DEEP,30.0,12.95,466.65,51.85,162.56,True,12.16,197.05,right,left,315.43566221973066,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,73,75,V_DEEP,30.0,35.2,68.55,13.71,158.52,True,34.05,71.05,left,left,142.00647626076773,False,FALSE,False,False,False,True,True
h20_kept,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,30.0,4.69,207.08,34.51,51.42,True,2.24,120.71,right,left,175.18421846730368,False,PARTIAL,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,1,6,V_DEEP,30.0,41.88,284.47,56.89,189.66,True,77.85,96.15,right,right,248.5006086511661,False,FALSE,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,1,7,V_DEEP,30.0,45.58,280.86,16.52,234.01,True,77.85,66.22,right,right,248.30077748569371,False,,False,True,False,False,True
h20_kept,identical_balls_trick_000_018,2,7,V_DEEP,30.0,14.34,520.25,30.6,433.53,True,91.93,66.22,left,right,491.13876705061676,True,,False,True,True,False,True
h20_kept,identical_balls_trick_000_018,4,9,V_DEEP,30.0,35.31,402.04,30.93,402.06,True,55.99,31.19,right,left,254.04705863284465,False,,False,True,True,True,True
h20_kept,identical_balls_trick_000_018,6,14,V_SHALLOW,30.0,54.75,97.11,,97.11,True,47.25,51.55,right,right,127.43942600310156,False,FALSE,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,8,9,V_DEEP,30.0,10.13,98.18,,65.45,True,50.3,31.19,left,left,127.53728003999464,False,PARTIAL,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,9,12,V_DEEP,30.0,15.43,66.35,66.35,76.84,True,13.75,119.4,left,left,161.75545771317886,False,FALSE,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,9,14,V_DEEP,30.0,15.43,161.05,7.0,76.84,True,13.75,51.55,left,right,160.28151889722037,False,,False,False,False,True,True
h20_kept,identical_balls_trick_000_018,10,11,V_DEEP,30.0,34.72,44.93,14.98,37.43,True,87.39,29.53,right,right,155.7615023040032,False,PARTIAL,False,False,False,True,True
