frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
267,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
268,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
269,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
270,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
271,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
272,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
273,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
274,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
275,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
276,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
277,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
278,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
279,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
280,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
281,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
282,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
283,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
284,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
285,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
286,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
287,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
288,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
289,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
290,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
291,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
292,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
293,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
294,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
295,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
296,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
297,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
298,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
299,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
300,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
301,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
302,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
303,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
304,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
305,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
306,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
307,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
308,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
309,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
310,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
311,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
312,0,0,3,HOLD,3,0,0,3,FOUNTAIN_3+,0.728,True,True,True
313,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
314,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
315,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
316,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
317,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
318,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
319,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
320,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
321,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
322,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
323,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
324,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
325,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
326,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
327,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
328,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.935,True,True,True
329,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.911,True,True,True
330,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.911,True,True,True
331,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.911,True,True,True
332,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.911,True,True,True
333,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.757,True,True,True
334,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.757,True,True,True
335,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
336,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
337,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
338,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
339,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
340,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
341,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.602,True,True,True
