start_frame,end_frame,pattern,n_frames,avg_confidence
2,2,TWO_BALL,1,0.962
3,17,MIXED_3+_UNCONFIRMED,15,0.42
18,20,SINGLE_BALL,3,0.598
21,22,MIXED_3+_UNCONFIRMED,2,0.378
23,26,TWO_BALL,4,0.799
27,30,MIXED_3+_UNCONFIRMED,4,0.378
31,31,CASCADE_3+,1,0.755
32,33,TWO_BALL,2,0.834
34,38,SINGLE_BALL,5,0.668
39,42,TWO_BALL,4,0.834
43,46,MIXED_3+,4,0.755
47,50,TWO_BALL,4,0.834
51,56,MIXED_3+,6,0.877
57,63,TWO_BALL,7,0.816
64,79,MIXED_3+,16,0.877
80,86,TWO_BALL,7,0.816
87,97,MIXED_3+,11,0.822
98,98,TWO_BALL,1,0.816
99,103,SINGLE_BALL,5,0.668
104,122,MIXED_3+,19,0.844
123,125,TWO_BALL,3,0.932
126,133,MIXED_3+,8,0.9
134,137,TWO_BALL,4,0.899
138,149,MIXED_3+,12,0.933
150,156,SINGLE_BALL,7,0.836
157,160,TWO_BALL,4,0.886
161,164,SINGLE_BALL,4,0.937
165,165,TWO_BALL,1,0.72
166,166,MIXED_3+,1,0.804
167,173,TWO_BALL,7,0.738
174,195,MIXED_3+,22,0.643
196,201,TWO_BALL,6,0.738
202,206,MIXED_3+,5,0.643
207,207,TWO_BALL_ONE_HAND,1,0.479
208,231,SINGLE_BALL,24,0.325
232,234,FOUNTAIN_3+,3,0.593
235,235,MIXED_3+,1,0.593
236,242,TWO_BALL,7,0.637
243,251,MIXED_3+,9,0.593
252,252,CASCADE_3+,1,0.593
253,255,TWO_BALL,3,0.731
256,256,SINGLE_BALL,1,0.958
257,262,TWO_BALL,6,0.935
263,312,MIXED_3+,50,0.728
313,328,TWO_BALL,16,0.935
329,332,SINGLE_BALL,4,0.911
333,334,TWO_BALL,2,0.757
335,398,SINGLE_BALL,64,0.602
399,410,TWO_BALL,12,0.735
411,450,MIXED_3+,40,0.797
451,470,TWO_BALL,20,0.821
471,472,CASCADE_3+,2,0.792
473,506,SINGLE_BALL,34,0.908
507,532,TWO_BALL,26,0.733
533,534,MIXED_3+,2,0.704
535,544,SINGLE_BALL,10,0.908
545,548,TWO_BALL,4,0.776
549,578,MIXED_3+,30,0.704
579,582,TWO_BALL,4,0.602
583,590,SINGLE_BALL,8,0.645
591,592,TWO_BALL,2,0.602
593,598,MIXED_3+,6,0.696
599,608,TWO_BALL,10,0.602
609,620,SINGLE_BALL,12,0.645
621,630,TWO_BALL,10,0.754
631,669,FOUNTAIN_3+,39,0.714
670,670,MIXED_3+,1,0.714
671,676,TWO_BALL,6,0.792
677,678,SINGLE_BALL,2,0.938
679,684,TWO_BALL,6,0.748
685,716,CASCADE_3+,32,0.738
717,732,TWO_BALL,16,0.792
733,765,CASCADE_3+,33,0.751
766,766,MIXED_3+,1,0.745
767,774,TWO_BALL,8,0.803
775,780,MIXED_3+,6,0.778
781,790,SINGLE_BALL,10,0.668
791,796,TWO_BALL,6,0.537
797,805,MIXED_3+,9,0.6
806,810,TWO_BALL,5,0.566
811,811,MIXED_3+,1,0.6
812,813,TWO_BALL,2,0.566
814,829,MIXED_3+,16,0.711
830,830,TWO_BALL_ONE_HAND,1,0.566
831,838,SINGLE_BALL,8,0.405
839,839,TWO_BALL_ONE_HAND,1,0.675
840,854,SINGLE_BALL,15,0.944
855,855,TWO_BALL,1,0.972
856,856,FOUNTAIN_3+,1,0.89
857,859,TWO_BALL,3,0.835
860,872,FOUNTAIN_3+,13,0.692
873,880,TWO_BALL,8,0.675
881,882,SINGLE_BALL,2,0.405
883,884,TWO_BALL,2,0.703
885,885,FOUNTAIN_3+,1,0.662
886,889,TWO_BALL,4,0.493
890,936,FOUNTAIN_3+,47,0.571
937,943,TWO_BALL,7,0.653
944,945,FOUNTAIN_3+,2,0.571
946,948,TWO_BALL,3,0.493
949,955,SINGLE_BALL,7,0.405
956,956,TWO_BALL,1,0.703
957,964,FOUNTAIN_3+,8,0.662
965,965,TWO_BALL,1,0.79
966,967,SINGLE_BALL,2,1.0
968,969,TWO_BALL,2,0.662
970,970,FOUNTAIN_3+,1,0.576
971,976,TWO_BALL,6,0.364
977,1011,FOUNTAIN_3+,35,0.565
1012,1014,TWO_BALL,3,0.364
1015,1015,TWO_BALL_ONE_HAND,1,0.364
1016,1028,SINGLE_BALL,13,0.324
1029,1049,FOUNTAIN_3+,21,0.463
1050,1050,CASCADE_3+,1,0.463
1051,1054,TWO_BALL_ONE_HAND,4,0.533
1055,1055,TWO_BALL,1,0.533
1056,1060,MIXED_3+,5,0.463
1061,1069,TWO_BALL,9,0.364
1070,1074,MIXED_3+,5,0.576
1075,1076,TWO_BALL,2,0.662
1077,1077,MIXED_3+,1,0.775
1078,1078,SINGLE_BALL,1,0.324
