frame,L40,R40,A40,n_dets,L36,R36,A36,h12_pattern,h12_conf
88,0,2,2,4,0,0,5,MIXED_3+,0.665
89,0,1,1,2,0,0,5,MIXED_3+,0.665
90,1,1,2,4,0,0,5,MIXED_3+,0.665
91,2,0,3,5,0,0,5,MIXED_3+,0.665
92,2,0,3,5,0,0,5,MIXED_3+,0.665
93,2,0,3,5,0,0,5,MIXED_3+,0.665
94,2,0,2,4,0,0,5,MIXED_3+,0.665
95,2,0,3,5,0,0,5,MIXED_3+,0.665
96,2,0,1,3,0,0,5,MIXED_3+,0.665
97,1,0,1,2,0,0,5,MIXED_3+,0.665
98,1,0,1,2,0,0,5,MIXED_3+,0.687
99,1,0,0,1,0,0,5,MIXED_3+,0.687
100,1,0,1,2,0,0,5,MIXED_3+,0.687
101,0,0,1,1,0,0,5,MIXED_3+,0.687
102,1,0,3,4,1,0,4,CASCADE_3+,0.687
103,1,0,1,2,1,0,4,CASCADE_3+,0.688
104,1,0,2,3,1,0,4,CASCADE_3+,0.688
105,1,0,2,3,1,0,4,CASCADE_3+,0.688
106,1,0,2,3,1,0,4,CASCADE_3+,0.688
107,1,0,2,3,1,0,4,CASCADE_3+,0.688
108,0,0,2,2,1,0,4,CASCADE_3+,0.688
109,0,0,3,3,1,0,4,CASCADE_3+,0.688
110,0,1,2,3,1,0,4,CASCADE_3+,0.688
111,0,1,2,3,1,0,4,CASCADE_3+,0.688
112,0,1,2,3,1,0,4,CASCADE_3+,0.688
113,0,1,2,3,1,0,4,CASCADE_3+,0.688
114,1,1,2,4,0,0,5,MIXED_3+,0.687
115,0,1,2,3,0,0,5,MIXED_3+,0.687
116,2,0,2,4,0,0,5,MIXED_3+,0.687
117,2,0,3,5,0,0,5,MIXED_3+,0.718
118,2,0,2,4,0,0,5,MIXED_3+,0.718
119,1,0,3,4,0,0,5,MIXED_3+,0.718
120,0,0,2,2,0,0,5,MIXED_3+,0.718
121,1,0,3,4,0,0,5,MIXED_3+,0.718
122,2,0,3,5,0,0,5,MIXED_3+,0.718
123,2,0,3,5,0,0,5,MIXED_3+,0.718
124,1,0,0,1,0,0,5,MIXED_3+,0.718
125,1,1,0,2,0,0,5,MIXED_3+,0.718
126,2,1,1,4,0,0,5,MIXED_3+,0.718
127,2,0,2,4,0,0,5,MIXED_3+,0.718
128,2,0,2,4,0,0,5,MIXED_3+,0.718
129,1,0,2,3,0,0,5,MIXED_3+,0.718
130,1,1,2,4,0,0,5,MIXED_3+,0.718
131,1,0,3,4,0,0,5,MIXED_3+,0.718
132,1,0,3,4,0,0,5,MIXED_3+,0.718
133,1,0,3,4,0,0,5,MIXED_3+,0.718
134,2,0,3,5,0,0,5,MIXED_3+,0.718
135,2,0,3,5,0,0,5,MIXED_3+,0.718
136,2,0,3,5,0,0,5,MIXED_3+,0.718
137,2,0,3,5,0,0,5,MIXED_3+,0.718
138,2,0,3,5,0,0,5,MIXED_3+,0.718
139,0,0,3,3,0,0,5,MIXED_3+,0.718
140,0,1,2,3,0,0,5,MIXED_3+,0.718
141,0,1,2,3,0,0,5,MIXED_3+,0.718
142,1,2,2,5,0,0,5,MIXED_3+,0.718
143,1,2,2,5,0,0,5,MIXED_3+,0.718
144,0,1,3,4,0,0,5,MIXED_3+,0.718
145,0,1,3,4,0,0,5,MIXED_3+,0.718
146,1,1,3,5,0,0,5,MIXED_3+,0.718
147,1,0,3,4,0,0,5,MIXED_3+,0.718
148,2,0,3,5,0,0,5,MIXED_3+,0.718
149,2,0,3,5,0,0,5,MIXED_3+,0.718
150,2,0,3,5,0,0,5,MIXED_3+,0.718
151,2,0,2,4,0,0,5,MIXED_3+,0.718
152,2,0,2,4,0,0,5,MIXED_3+,0.718
153,1,1,1,3,0,0,5,MIXED_3+,0.718
154,1,0,2,3,0,0,5,MIXED_3+,0.718
155,2,0,2,4,0,0,5,MIXED_3+,0.718
156,2,0,2,4,0,0,5,MIXED_3+,0.718
157,2,0,1,3,0,0,5,MIXED_3+,0.718
158,1,1,3,5,0,0,5,MIXED_3+,0.718
159,1,0,2,3,0,0,5,MIXED_3+,0.718
160,1,1,2,4,0,0,5,MIXED_3+,0.718
161,1,1,2,4,0,0,5,MIXED_3+,0.718
162,1,0,3,4,0,0,5,MIXED_3+,0.718
163,2,0,3,5,0,0,5,MIXED_3+,0.718
164,2,0,3,5,0,0,5,MIXED_3+,0.718
165,2,0,3,5,0,0,5,MIXED_3+,0.718
166,2,0,2,4,0,0,5,MIXED_3+,0.718
167,1,0,3,4,0,0,5,MIXED_3+,0.718
168,1,1,2,4,0,0,5,MIXED_3+,0.718
169,0,2,2,4,0,0,5,MIXED_3+,0.718
170,0,1,2,3,0,0,5,MIXED_3+,0.718
171,0,1,1,2,0,0,5,MIXED_3+,0.718
172,0,2,2,4,0,0,5,MIXED_3+,0.718
173,0,1,1,2,0,0,5,MIXED_3+,0.718
174,1,0,3,4,0,0,5,MIXED_3+,0.718
175,1,0,3,4,0,0,5,MIXED_3+,0.718
176,2,0,3,5,0,0,5,MIXED_3+,0.718
177,1,0,2,3,0,0,5,MIXED_3+,0.718
178,1,0,3,4,0,0,5,MIXED_3+,0.718
179,2,0,3,5,0,0,5,MIXED_3+,0.718
180,2,0,3,5,0,0,5,MIXED_3+,0.718
181,1,1,3,5,0,0,5,MIXED_3+,0.718
182,1,1,2,4,0,0,5,MIXED_3+,0.718
183,1,0,0,1,0,0,5,MIXED_3+,0.718
184,2,0,2,4,0,0,5,MIXED_3+,0.718
185,2,0,2,4,0,0,5,MIXED_3+,0.718
186,2,0,1,3,0,0,5,MIXED_3+,0.718
187,0,0,2,2,0,0,5,MIXED_3+,0.718
188,1,1,3,5,0,0,5,MIXED_3+,0.718
189,1,1,3,5,0,0,5,MIXED_3+,0.718
190,1,0,3,4,0,0,5,MIXED_3+,0.718
191,0,0,3,3,0,0,5,MIXED_3+,0.718
192,1,0,3,4,0,0,5,MIXED_3+,0.718
193,2,0,3,5,0,0,5,MIXED_3+,0.718
194,2,0,3,5,0,0,5,MIXED_3+,0.718
195,1,0,3,4,0,0,5,MIXED_3+,0.718
196,1,0,3,4,0,0,5,MIXED_3+,0.718
197,0,2,1,3,0,0,5,MIXED_3+,0.718
198,0,2,2,4,0,0,5,MIXED_3+,0.718
199,0,2,2,4,0,0,5,MIXED_3+,0.718
200,0,2,2,4,0,0,5,MIXED_3+,0.718
201,0,2,1,3,0,0,5,MIXED_3+,0.718
202,0,1,2,3,0,0,5,MIXED_3+,0.718
203,0,1,3,4,0,0,5,MIXED_3+,0.718
204,0,1,3,4,0,0,5,MIXED_3+,0.718
205,1,0,3,4,0,0,5,MIXED_3+,0.718
206,1,1,3,5,0,0,5,MIXED_3+,0.718
207,1,0,2,3,0,0,5,MIXED_3+,0.718
208,2,0,2,4,0,0,5,MIXED_3+,0.718
209,1,1,1,3,0,0,5,MIXED_3+,0.718
210,1,1,2,4,0,0,5,MIXED_3+,0.718
211,2,1,2,5,0,0,5,MIXED_3+,0.718
212,2,1,2,5,0,0,5,MIXED_3+,0.718
213,2,1,2,5,0,0,5,MIXED_3+,0.718
214,2,1,2,5,0,0,5,MIXED_3+,0.718
215,1,1,3,5,0,0,5,MIXED_3+,0.718
216,1,1,3,5,0,0,5,MIXED_3+,0.718
217,1,1,3,5,0,0,5,MIXED_3+,0.718
218,1,1,3,5,0,0,5,MIXED_3+,0.718
219,1,0,3,4,0,0,5,MIXED_3+,0.718
220,2,0,3,5,0,0,5,MIXED_3+,0.718
221,1,0,3,4,0,0,5,MIXED_3+,0.718
222,1,0,3,4,0,0,5,MIXED_3+,0.718
223,1,0,2,3,0,0,5,MIXED_3+,0.718
