frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
60,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
61,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
62,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
63,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
64,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
65,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
66,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
67,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
68,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
69,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
70,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
71,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
72,5,0,1,5,0.665,CASCADE_3+,0.665,CASCADE_3+
73,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
74,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
75,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
76,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
77,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
78,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
79,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
80,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
81,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
82,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
83,5,0,1,5,0.665,MIXED_3+,0.665,MIXED_3+
84,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
85,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
86,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
87,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
88,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
89,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
90,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
91,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
92,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
93,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
94,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
95,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
96,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
97,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
98,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
99,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
100,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
101,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
102,4,1,0,4,0.687,CASCADE_3+,0.687,CASCADE_3+
103,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
104,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
105,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
106,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
107,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
108,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
109,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
110,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
111,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
112,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
113,3,0,0,3,0.688,CASCADE_3+,0.688,CASCADE_3+
114,4,1,0,4,0.687,MIXED_3+,0.687,MIXED_3+
115,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
116,4,0,0,4,0.687,MIXED_3+,0.687,MIXED_3+
117,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
118,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
119,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
120,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
121,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
122,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
123,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
124,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
125,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
126,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
127,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
128,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
129,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
130,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
131,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
132,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
133,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
134,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
135,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
136,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
137,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
138,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
139,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
140,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
141,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
142,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
143,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
144,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
145,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
146,5,0,0,5,0.718,MIXED_3+,0.718,MIXED_3+
