frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
90,3,0,0,3,3,14.91,2,CASCADE_3+_DETECTOR,0.7
91,3,0,0,3,3,11.99,2,CASCADE_3+_DETECTOR,0.7
92,3,0,0,3,3,7.24,2,CASCADE_3+_DETECTOR,0.7
93,3,0,0,3,3,4.32,2,CASCADE_3+_DETECTOR,0.7
94,3,0,0,3,3,5.18,2,CASCADE_3+_DETECTOR,0.7
95,3,0,0,3,3,10.28,2,CASCADE_3+_DETECTOR,0.7
96,3,0,0,3,3,14.6,2,CASCADE_3+_DETECTOR,0.7
97,2,0,1,3,0,0.0,0,NO_BALL,0.0
98,2,0,0,2,3,8.67,2,TWO_BALL,0.5
99,1,0,0,1,3,8.66,2,SINGLE_BALL,0.5
100,1,0,0,1,3,8.76,2,SINGLE_BALL,0.5
101,1,0,0,1,3,8.33,1,SINGLE_BALL,0.5
102,1,0,0,1,3,8.15,1,SINGLE_BALL,0.5
103,1,0,0,1,2,3.01,1,SINGLE_BALL,0.5
104,3,0,0,3,3,0.56,0,MIXED_3+,0.4
105,3,0,0,3,3,26.94,1,FOUNTAIN_3+_DETECTOR,0.7
106,3,0,0,3,3,31.07,1,FOUNTAIN_3+_DETECTOR,0.7
107,3,0,0,3,3,32.87,1,FOUNTAIN_3+_DETECTOR,0.7
108,3,0,0,3,3,23.72,1,FOUNTAIN_3+_DETECTOR,0.7
109,3,0,0,3,3,23.98,1,FOUNTAIN_3+_DETECTOR,0.7
110,3,0,0,3,3,23.95,1,FOUNTAIN_3+_DETECTOR,0.7
111,3,0,0,3,3,24.41,2,CASCADE_3+_DETECTOR,0.7
112,3,0,0,3,3,17.05,1,FOUNTAIN_3+_DETECTOR,0.7
113,3,0,0,3,3,15.5,1,FOUNTAIN_3+_DETECTOR,0.7
114,3,0,0,3,3,18.3,1,FOUNTAIN_3+_DETECTOR,0.7
115,3,0,0,3,3,8.42,1,FOUNTAIN_3+_DETECTOR,0.7
116,3,0,0,3,3,6.01,1,FOUNTAIN_3+_DETECTOR,0.7
117,3,0,0,3,3,6.2,1,FOUNTAIN_3+_DETECTOR,0.7
118,3,0,0,3,3,8.25,1,FOUNTAIN_3+_DETECTOR,0.7
119,3,0,0,3,3,11.62,2,CASCADE_3+_DETECTOR,0.7
120,3,0,0,3,3,14.54,2,CASCADE_3+_DETECTOR,0.7
121,3,0,0,3,3,17.17,2,CASCADE_3+_DETECTOR,0.7
122,3,0,0,3,3,19.93,2,CASCADE_3+_DETECTOR,0.7
123,2,0,0,2,3,26.64,2,TWO_BALL,0.5
124,2,0,0,2,3,30.94,2,TWO_BALL,0.5
125,2,0,0,2,3,33.77,2,TWO_BALL,0.5
126,2,0,1,3,0,0.0,0,NO_BALL,0.0
127,3,0,0,3,4,6.87,2,CASCADE_3+_DETECTOR,0.7
128,3,0,0,3,3,29.79,2,CASCADE_3+_DETECTOR,0.7
129,3,0,0,3,3,29.88,2,CASCADE_3+_DETECTOR,0.7
130,3,0,0,3,3,29.92,2,CASCADE_3+_DETECTOR,0.7
131,3,0,0,3,3,29.28,2,CASCADE_3+_DETECTOR,0.7
132,3,0,0,3,3,27.91,2,CASCADE_3+_DETECTOR,0.7
133,3,0,0,3,3,25.49,1,FOUNTAIN_3+_DETECTOR,0.7
134,2,0,0,2,3,27.35,2,TWO_BALL,0.5
135,2,0,0,2,3,24.7,1,TWO_BALL,0.5
136,2,0,0,2,3,26.66,1,TWO_BALL,0.5
137,2,0,0,2,3,26.65,1,TWO_BALL,0.5
138,3,0,0,3,4,2.75,1,FOUNTAIN_3+_DETECTOR,0.7
139,3,0,0,3,3,6.3,2,CASCADE_3+_DETECTOR,0.7
140,3,0,0,3,3,6.04,2,CASCADE_3+_DETECTOR,0.7
141,3,0,0,3,3,5.35,2,CASCADE_3+_DETECTOR,0.7
142,3,0,0,3,3,5.99,2,CASCADE_3+_DETECTOR,0.7
143,3,0,0,3,3,8.36,2,CASCADE_3+_DETECTOR,0.7
144,3,0,0,3,3,9.93,2,CASCADE_3+_DETECTOR,0.7
145,3,0,0,3,3,10.56,2,CASCADE_3+_DETECTOR,0.7
146,3,0,0,3,3,10.72,2,CASCADE_3+_DETECTOR,0.7
147,3,0,0,3,3,9.97,2,CASCADE_3+_DETECTOR,0.7
148,3,0,0,3,3,9.41,2,CASCADE_3+_DETECTOR,0.7
149,3,0,0,3,3,9.64,2,CASCADE_3+_DETECTOR,0.7
150,1,0,0,1,3,8.17,2,SINGLE_BALL,0.5
151,1,0,0,1,3,8.37,2,SINGLE_BALL,0.5
152,1,0,0,1,3,7.94,2,SINGLE_BALL,0.5
153,1,0,0,1,3,8.17,2,SINGLE_BALL,0.5
154,1,0,0,1,3,8.17,2,SINGLE_BALL,0.5
155,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
156,1,0,0,1,1,0.0,1,SINGLE_BALL,0.5
157,2,0,0,2,2,1.73,1,TWO_BALL,0.5
158,2,0,0,2,2,2.06,1,TWO_BALL,0.5
159,2,0,0,2,2,1.92,1,TWO_BALL,0.5
160,2,0,0,2,2,1.38,1,TWO_BALL,0.5
161,1,0,0,1,2,1.86,1,SINGLE_BALL,0.5
162,1,0,0,1,2,1.66,1,SINGLE_BALL,0.5
163,1,0,0,1,2,1.69,1,SINGLE_BALL,0.5
164,1,0,0,1,2,1.76,1,SINGLE_BALL,0.5
165,2,0,0,2,3,1.94,1,TWO_BALL,0.5
