kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y
adjacent,identical_balls_trick_000_018,4,8,10,V_DEEP,2.97,96.221,right,False,40,462.1,476.7
adjacent,identical_balls_trick_000_018,4,9,18,V_DEEP,35.31,11.539,left,False,51,730.9,446.0
adjacent,identical_balls_trick_000_018,5,7,17,V_DEEP,10.3,8.173,right,False,32,481.4,473.4
adjacent,identical_balls_trick_000_018,5,9,29,V_DEEP,35.31,6.236,left,False,51,730.9,446.0
adjacent,identical_balls_trick_000_018,6,14,4,V_SHALLOW,54.75,2.998,right,False,126,577.0,447.6
adjacent,identical_balls_trick_000_018,6,15,16,V_DEEP,2.1,46.6,right,False,140,527.2,527.2
adjacent,identical_balls_trick_000_018,7,10,8,V_SHALLOW,57.35,2.239,left,False,56,735.0,425.1
adjacent,identical_balls_trick_000_018,8,9,5,V_DEEP,10.13,15.36,left,False,55,737.8,478.0
adjacent,identical_balls_trick_000_018,8,10,18,V_DEEP,41.25,2.177,left,False,63,826.6,522.6
adjacent,identical_balls_trick_000_018,9,12,6,V_DEEP,15.43,14.396,left,False,99,726.2,492.5
adjacent,identical_balls_trick_000_018,9,13,6,V_DEEP,15.43,8.169,left,False,99,726.2,492.5
adjacent,identical_balls_trick_000_018,9,14,28,V_DEEP,15.43,17.167,left,False,99,726.2,492.5
adjacent,identical_balls_trick_000_018,10,11,8,V_DEEP,34.72,2.714,right,False,89,442.2,464.6
adjacent,identical_balls_trick_000_018,11,12,7,V_DEEP,40.62,8.78,right,False,103,518.1,444.5
adjacent,identical_balls_trick_000_018,11,13,7,V_DEEP,34.51,8.073,right,False,103,501.6,456.7
adjacent,identical_balls_trick_000_018,12,16,8,V_DEEP,38.25,8.854,left,False,151,781.0,539.6
adjacent,identical_balls_trick_000_018,12,17,16,V_DEEP,38.25,4.488,left,False,151,781.0,539.6
adjacent,identical_balls_trick_000_018,12,18,17,V_DEEP,38.25,11.247,left,False,151,781.0,539.6
adjacent,identical_balls_trick_000_018,12,19,25,V_DEEP,35.97,3.211,left,False,170,565.2,528.2
adjacent,identical_balls_trick_000_018,13,15,5,V_DEEP,2.1,56.641,right,False,140,527.2,527.2
adjacent,identical_balls_trick_000_018,13,16,24,V_DEEP,44.59,5.473,right,False,134,526.2,438.2
adjacent,identical_balls_trick_000_018,14,17,5,V_DEEP,18.24,9.61,right,False,170,568.1,401.5
adjacent,identical_balls_trick_000_018,14,19,14,V_SHALLOW,54.08,3.241,right,False,160,508.3,447.4
adjacent,identical_balls_trick_000_018,15,16,8,V_DEEP,46.6,5.237,right,False,157,599.0,416.8
adjacent,identical_balls_trick_000_018,15,17,16,V_DEEP,27.68,3.371,right,False,162,592.1,419.8
adjacent,identical_balls_trick_000_018,15,18,17,V_SHALLOW,50.94,6.131,right,False,150,588.6,554.8
adjacent,identical_balls_trick_000_018,17,21,5,V_DEEP,22.44,7.957,right,False,208,606.1,505.6
adjacent,identical_balls_trick_000_018,17,22,13,V_DEEP,22.44,17.243,right,False,208,606.1,505.6
adjacent,identical_balls_trick_000_018,17,24,25,V_DEEP,22.44,7.281,right,False,208,606.1,505.6
adjacent,identical_balls_trick_000_018,18,21,6,V_DEEP,46.78,6.287,left,False,208,745.9,548.6
adjacent,identical_balls_trick_000_018,18,22,14,V_DEEP,46.78,10.843,left,False,208,745.9,548.6
adjacent,identical_balls_trick_000_018,18,24,26,V_DEEP,28.77,3.95,left,False,231,494.9,524.0
adjacent,identical_balls_trick_000_018,18,23,26,V_DEEP,46.78,3.842,left,False,208,745.9,548.6
adjacent,identical_balls_trick_000_018,20,23,24,V_SHALLOW,65.59,4.809,right,False,229,565.3,337.2
adjacent,identical_balls_trick_000_018,21,23,19,V_SHALLOW,68.87,2.593,right,False,232,602.1,366.1
adjacent,identical_balls_trick_000_018,24,28,5,V_SHALLOW,59.53,4.388,right,False,334,586.9,367.1
adjacent,identical_balls_trick_000_018,28,30,17,V_SHALLOW,99.55,3.34,right,False,400,664.0,263.5
adjacent,identical_balls_trick_000_018,29,33,1,V_DEEP,5.63,16.183,left,False,469,699.7,489.7
adjacent,identical_balls_trick_000_018,31,39,23,V_SHALLOW,66.15,7.404,right,False,545,614.8,400.4
adjacent,identical_balls_trick_000_018,31,40,27,V_SHALLOW,94.49,5.004,left,False,549,687.7,406.5
adjacent,identical_balls_trick_000_018,35,36,11,V_DEEP,15.27,29.629,left,False,527,725.7,507.5
adjacent,identical_balls_trick_000_018,35,38,11,V_DEEP,6.99,13.619,left,False,528,707.8,507.6
adjacent,identical_balls_trick_000_018,35,39,23,V_DEEP,14.06,10.991,left,False,530,707.2,489.6
adjacent,identical_balls_trick_000_018,35,40,27,V_DEEP,15.27,7.486,left,False,527,725.7,507.5
adjacent,identical_balls_trick_000_018,39,46,3,V_SHALLOW,51.9,3.355,left,False,685,590.2,363.4
adjacent,identical_balls_trick_000_018,40,42,11,V_DEEP,19.22,9.886,right,False,588,600.1,372.6
adjacent,identical_balls_trick_000_018,41,45,23,V_DEEP,43.62,1.646,right,False,619,619.9,325.6
adjacent,identical_balls_trick_000_018,44,53,11,V_SHALLOW,55.9,3.487,left,False,780,446.9,615.3
adjacent,identical_balls_trick_000_018,44,54,17,V_SHALLOW,51.67,8.242,right,False,797,588.0,340.1
adjacent,identical_balls_trick_000_018,46,50,17,V_DEEP,19.9,3.157,right,False,718,581.9,600.8
adjacent,identical_balls_trick_000_018,54,57,9,V_DEEP,8.51,38.118,right,False,831,576.4,496.7
adjacent,identical_balls_trick_000_018,54,58,25,V_DEEP,8.51,23.391,right,False,831,576.4,496.7
adjacent,identical_balls_trick_000_018,54,60,30,V_DEEP,8.51,33.41,right,False,831,576.4,496.7
adjacent,identical_balls_trick_000_018,56,57,10,V_DEEP,7.11,65.473,left,False,830,684.7,521.5
adjacent,identical_balls_trick_000_018,56,58,26,V_DEEP,7.11,13.656,left,False,830,684.7,521.5
adjacent,identical_balls_trick_000_018,56,59,27,V_DEEP,7.11,29.519,left,False,830,684.7,521.5
adjacent,identical_balls_trick_000_018,57,62,5,V_DEEP,12.52,26.954,left,False,885,679.3,543.8
adjacent,identical_balls_trick_000_018,57,63,10,V_DEEP,42.64,7.894,right,False,890,597.9,493.0
adjacent,identical_balls_trick_000_018,58,60,4,V_DEEP,40.46,7.031,right,False,861,449.8,464.2
adjacent,identical_balls_trick_000_018,58,62,29,V_DEEP,12.52,11.289,left,False,885,679.3,543.8
adjacent,identical_balls_trick_000_018,59,61,11,V_DEEP,18.94,5.303,right,False,879,624.5,648.6
adjacent,identical_balls_trick_000_018,59,62,13,V_DEEP,12.52,12.529,left,False,885,679.3,543.8
adjacent,identical_balls_trick_000_018,60,65,20,FLAT,101.56,5.334,left,False,956,723.6,456.9
adjacent,identical_balls_trick_000_018,61,63,5,V_DEEP,24.97,6.34,right,False,895,587.1,429.6
adjacent,identical_balls_trick_000_018,62,65,8,V_DEEP,32.58,11.688,right,False,948,580.7,556.4
adjacent,identical_balls_trick_000_018,62,67,20,V_DEEP,32.58,11.665,right,False,948,580.7,556.4
adjacent,identical_balls_trick_000_018,62,68,22,V_DEEP,24.72,4.667,right,False,968,567.1,643.0
adjacent,identical_balls_trick_000_018,62,69,29,V_DEEP,32.58,5.706,right,False,948,580.7,556.4
adjacent,identical_balls_trick_000_018,63,65,11,V_DEEP,39.9,5.315,left,False,954,748.2,542.8
adjacent,identical_balls_trick_000_018,63,68,25,V_DEEP,34.83,8.014,right,False,973,561.3,572.4
adjacent,identical_balls_trick_000_018,66,67,3,V_DEEP,38.32,6.048,left,False,966,742.7,506.6
adjacent,identical_balls_trick_000_018,66,68,5,V_DEEP,10.86,19.129,left,False,970,725.3,531.5
adjacent,identical_balls_trick_000_018,66,69,12,V_DEEP,18.3,9.55,left,False,975,689.9,500.1
adjacent,identical_balls_trick_000_018,67,72,9,V_DEEP,26.14,11.886,left,False,1029,704.7,473.7
adjacent,identical_balls_trick_000_018,67,71,9,V_DEEP,20.36,19.756,right,False,1030,520.3,513.4
adjacent,identical_balls_trick_000_018,68,70,14,V_DEEP,12.95,21.896,right,False,1015,507.2,578.0
adjacent,identical_balls_trick_000_018,68,72,14,V_DEEP,12.95,16.569,right,False,1015,507.2,578.0
adjacent,identical_balls_trick_000_018,69,72,18,V_DEEP,26.14,6.064,left,False,1029,704.7,473.7
adjacent,identical_balls_trick_000_018,69,71,18,V_DEEP,20.36,15.447,right,False,1030,520.3,513.4
adjacent,identical_balls_trick_000_018,70,73,4,V_DEEP,21.49,8.735,left,False,1056,711.3,496.4
adjacent,identical_balls_trick_000_018,70,75,20,V_DEEP,22.21,3.341,left,False,1055,745.7,503.4
adjacent,identical_balls_trick_000_018,72,74,6,V_DEEP,30.89,9.946,right,False,1056,497.9,466.5
adjacent,identical_balls_trick_000_018,73,75,10,V_DEEP,35.2,3.474,left,False,1060,749.5,453.6
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,V_DEEP,8.19,19.604,left,False,107,638.3,432.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,21,V_DEEP,38.51,3.397,right,False,83,580.6,390.5
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,19,V_DEEP,11.39,13.734,left,False,426,639.0,464.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,V_DEEP,4.69,38.56,right,False,236,554.0,439.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,29,V_DEEP,4.69,32.169,right,False,236,554.0,439.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,20,V_DEEP,6.86,23.297,left,False,309,649.6,436.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,25,24,V_DEEP,4.56,21.365,right,False,580,549.9,439.2
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,V_DEEP,5.32,17.308,right,False,469,539.5,455.1
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,V_DEEP,7.8,4.276,right,False,589,561.8,453.3
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,25,28,V_DEEP,10.42,8.167,left,False,608,621.6,437.5
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,26,3,V_DEEP,1.06,133.217,left,False,654,646.1,437.3
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,27,17,V_DEEP,1.06,24.88,left,False,654,646.1,437.3
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,28,25,V_DEEP,1.06,173.333,left,False,654,646.1,437.3
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,34,20,V_DEEP,9.9,11.771,right,False,769,569.9,450.9
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,33,17,V_DEEP,14.38,8.637,left,False,755,619.9,421.7
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,32,40,5,V_DEEP,21.28,4.026,right,False,883,579.8,416.0
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,40,21,V_DEEP,21.28,5.879,right,False,883,579.8,416.0
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,39,40,1,V_DEEP,21.28,6.222,right,False,883,579.8,416.0
