frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
64,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
65,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
66,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
67,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
68,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
69,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
70,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
71,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
72,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
73,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
74,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
75,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
76,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
77,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
78,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
79,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
80,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
81,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
82,4,0,0,4,0.506,MIXED_3+_UNCONFIRMED,0.253,0,0,0,0.0,0.0
83,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
84,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
85,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
86,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
87,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
88,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
89,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
90,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
91,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
92,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
93,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
94,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
95,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
96,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
97,5,0,0,5,0.517,MIXED_3+_UNCONFIRMED,0.259,0,0,0,0.0,0.0
98,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
99,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
100,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
101,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
102,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
103,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
104,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
105,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
106,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
107,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
108,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
109,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
110,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
111,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
112,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
113,3,0,0,3,0.515,MIXED_3+_UNCONFIRMED,0.258,0,0,0,0.0,0.0
114,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
115,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
116,4,0,0,4,0.519,MIXED_3+_UNCONFIRMED,0.26,0,0,0,0.0,0.0
117,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
118,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
119,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
120,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
121,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
122,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
123,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
124,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
125,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
126,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
127,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
128,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
129,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
130,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
131,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
132,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
133,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
134,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
135,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
136,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
137,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
138,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
139,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
140,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
141,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
142,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,0,0,0.0,0.0
