stem,from_tid,to_tid,edge_type,source,end_d,start_d,sj,h59_label,visual_verdict,drop_reason
identical_balls_trick_000_018,73,75,BALLISTIC,h125_v3,34.05,71.05,142.00647626076773,correct,FALSE,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,12,HAND_TRANSITION,h7v3plus3,2.24,48.63,91.27450465491442,not_in_review,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,28.96,10.08,94.80784988596673,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,8.16,38.17,88.81770656800362,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,9.76,5.62,47.84906686655447,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,6.85,10.38,28.64009951100024,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,13.47,18.7,78.07259442339546,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,12.41,13.49,63.598887568887484,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,16.22,21.72,83.14614182269676,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,17.73,21.67,85.01105163447866,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,6.63,4.99,40.063913937607225,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,6.74,13.87,23.32147936988558,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,27.49,34.96,94.4974311820168,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,12.89,34.5,92.63785241465821,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,18.79,32.85,94.67817752787599,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,10.58,33.66,80.83093467231467,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,21.97,11.52,60.6533098849519,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,11.72,50.19,119.89321290214889,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,20.37,30.04,84.48261596328564,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,13.57,4.45,39.375916497270275,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,14.07,12.37,56.96055213917783,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,16.11,23.3,78.48700911615883,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,24.95,10.11,50.12998304408253,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,RECLASSIFIED_HAND_TRANSITION,h7v3plus3,23.14,16.76,79.67881085960056,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,V_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,999.0,108.06,97.88293875849865,correct,,h112
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,H22_RECLASSIFIED_HAND_TRANSITION,h7v3plus3,5.56,35.34,71.17550280819941,correct,,kept
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,BALLISTIC,h125_v3,2.24,120.71,175.18421846730368,wrong,FALSE,h126
