pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.7,agree,51,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,52,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,53,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,54,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,55,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,56,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.617,agree,57,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,58,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,59,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,60,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,61,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,62,TWO_BALL,0.735,TWO_BALL,0.5,2,2
TWO_BALL,0.617,agree,63,TWO_BALL,0.735,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,64,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,65,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,66,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,67,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,68,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,69,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,70,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,71,MIXED_3+_UNCONFIRMED,0.317,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
FOUNTAIN_3+,0.7,agree,72,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,73,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,74,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,75,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,76,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,77,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,78,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,79,MIXED_3+_UNCONFIRMED,0.317,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
TWO_BALL,0.617,agree,80,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,81,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,82,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,83,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,84,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,85,TWO_BALL,0.735,TWO_BALL,0.5,1,2
TWO_BALL,0.617,agree,86,TWO_BALL,0.735,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,87,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,88,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,89,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,90,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,91,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,92,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,93,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,94,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,95,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,96,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,97,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.617,agree,98,TWO_BALL,0.735,TWO_BALL,0.5,2,2
SINGLE_BALL,0.524,agree,99,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,100,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,101,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,102,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,103,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
FOUNTAIN_3+,0.7,agree,104,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,105,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,106,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,107,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,108,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,109,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,110,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,111,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,112,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,113,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,114,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,115,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,116,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,117,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
CASCADE_3+,0.7,agree,118,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,119,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,120,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,121,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,122,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.465,agree,123,TWO_BALL,0.429,TWO_BALL,0.5,2,2
TWO_BALL,0.465,agree,124,TWO_BALL,0.429,TWO_BALL,0.5,2,2
TWO_BALL,0.465,agree,125,TWO_BALL,0.429,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,126,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,127,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,128,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,129,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,130,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,131,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
