frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
110,3,0,0,3,,c1|c3|c4,0.515
111,3,0,0,3,,c1|c3|c4,0.515
112,3,0,0,3,,c1|c3|c4,0.515
113,3,0,0,3,,c1|c3|c4,0.515
114,4,0,0,4,,c0|c1|c3|c4,0.519
115,4,0,0,4,,c0|c1|c3|c4,0.519
116,4,0,0,4,,c0|c1|c3|c4,0.519
117,5,0,0,5,,c0|c1|c3|c4|c6,0.609
118,5,0,0,5,,c0|c1|c3|c4|c6,0.609
119,5,0,0,5,,c0|c1|c3|c4|c6,0.609
120,5,0,0,5,,c0|c1|c3|c4|c6,0.609
121,5,0,0,5,,c0|c1|c3|c4|c6,0.609
122,5,0,0,5,,c0|c1|c3|c4|c6,0.609
123,5,0,0,5,,c0|c1|c3|c4|c6,0.609
124,5,0,0,5,,c0|c1|c3|c4|c6,0.609
125,5,0,0,5,,c0|c1|c3|c4|c6,0.609
126,5,0,0,5,,c0|c1|c3|c4|c6,0.609
127,5,0,0,5,,c0|c1|c3|c4|c6,0.609
128,5,0,0,5,,c0|c1|c3|c4|c6,0.609
129,5,0,0,5,,c0|c1|c3|c4|c6,0.609
130,5,0,0,5,,c0|c1|c3|c4|c6,0.609
131,5,0,0,5,,c0|c1|c3|c4|c6,0.609
132,5,0,0,5,,c0|c1|c3|c4|c6,0.609
133,5,0,0,5,,c0|c1|c3|c4|c6,0.609
134,5,0,0,5,,c0|c1|c3|c4|c6,0.609
135,5,0,0,5,,c0|c1|c3|c4|c6,0.609
136,5,0,0,5,,c0|c1|c3|c4|c6,0.609
137,5,0,0,5,,c0|c1|c3|c4|c6,0.609
138,5,0,0,5,,c0|c1|c3|c4|c6,0.609
139,5,0,0,5,,c0|c1|c3|c4|c6,0.609
140,5,0,0,5,,c0|c1|c3|c4|c6,0.609
141,5,0,0,5,,c0|c1|c3|c4|c6,0.609
142,5,0,0,5,,c0|c1|c3|c4|c6,0.609
143,5,0,0,5,,c0|c1|c3|c4|c6,0.609
144,5,0,0,5,,c0|c1|c3|c4|c6,0.609
145,5,0,0,5,,c0|c1|c3|c4|c6,0.609
146,5,0,0,5,,c0|c1|c3|c4|c6,0.609
147,5,0,0,5,,c0|c1|c3|c4|c6,0.609
148,5,0,0,5,,c0|c1|c3|c4|c6,0.609
149,5,0,0,5,,c0|c1|c3|c4|c6,0.609
150,5,0,0,5,,c0|c1|c3|c4|c6,0.609
151,5,0,0,5,,c0|c1|c3|c4|c6,0.609
152,5,0,0,5,,c0|c1|c3|c4|c6,0.609
153,5,0,0,5,,c0|c1|c3|c4|c6,0.609
154,5,0,0,5,,c0|c1|c3|c4|c6,0.609
155,5,0,0,5,,c0|c1|c3|c4|c6,0.609
156,5,0,0,5,,c0|c1|c3|c4|c6,0.609
157,5,0,0,5,,c0|c1|c3|c4|c6,0.609
158,5,0,0,5,,c0|c1|c3|c4|c6,0.609
159,5,0,0,5,,c0|c1|c3|c4|c6,0.609
160,5,0,0,5,,c0|c1|c3|c4|c6,0.609
161,5,0,0,5,,c0|c1|c3|c4|c6,0.609
162,5,0,0,5,,c0|c1|c3|c4|c6,0.609
163,5,0,0,5,,c0|c1|c3|c4|c6,0.609
164,5,0,0,5,,c0|c1|c3|c4|c6,0.609
165,5,0,0,5,,c0|c1|c3|c4|c6,0.609
166,5,0,0,5,,c0|c1|c3|c4|c6,0.609
167,5,0,0,5,,c0|c1|c3|c4|c6,0.609
168,5,0,0,5,,c0|c1|c3|c4|c6,0.609
169,5,0,0,5,,c0|c1|c3|c4|c6,0.609
170,5,0,0,5,,c0|c1|c3|c4|c6,0.609
171,5,0,0,5,,c0|c1|c3|c4|c6,0.609
172,5,0,0,5,,c0|c1|c3|c4|c6,0.609
173,5,0,0,5,,c0|c1|c3|c4|c6,0.609
174,5,0,0,5,,c0|c1|c3|c4|c6,0.609
175,5,0,0,5,,c0|c1|c3|c4|c6,0.609
176,5,0,0,5,,c0|c1|c3|c4|c6,0.609
177,5,0,0,5,,c0|c1|c3|c4|c6,0.609
178,5,0,0,5,,c0|c1|c3|c4|c6,0.609
179,5,0,0,5,,c0|c1|c3|c4|c6,0.609
180,5,0,0,5,,c0|c1|c3|c4|c6,0.609
181,5,0,0,5,,c0|c1|c3|c4|c6,0.609
182,5,0,0,5,,c0|c1|c3|c4|c6,0.609
183,5,0,0,5,,c0|c1|c3|c4|c6,0.609
184,5,0,0,5,,c0|c1|c3|c4|c6,0.609
185,5,0,0,5,,c0|c1|c3|c4|c6,0.609
186,5,0,0,5,,c0|c1|c3|c4|c6,0.609
187,5,0,0,5,,c0|c1|c3|c4|c6,0.609
188,5,0,0,5,,c0|c1|c3|c4|c6,0.609
189,5,0,0,5,,c0|c1|c3|c4|c6,0.609
190,5,0,0,5,,c0|c1|c3|c4|c6,0.609
191,5,0,0,5,,c0|c1|c3|c4|c6,0.609
192,5,0,0,5,,c0|c1|c3|c4|c6,0.609
193,5,0,0,5,,c0|c1|c3|c4|c6,0.609
194,5,0,0,5,,c0|c1|c3|c4|c6,0.609
195,5,0,0,5,,c0|c1|c3|c4|c6,0.609
196,5,0,0,5,,c0|c1|c3|c4|c6,0.609
197,5,0,0,5,,c0|c1|c3|c4|c6,0.609
198,5,0,0,5,,c0|c1|c3|c4|c6,0.609
199,5,0,0,5,,c0|c1|c3|c4|c6,0.609
200,5,0,0,5,,c0|c1|c3|c4|c6,0.609
201,5,0,0,5,,c0|c1|c3|c4|c6,0.609
202,5,0,0,5,,c0|c1|c3|c4|c6,0.609
203,5,0,0,5,,c0|c1|c3|c4|c6,0.609
204,5,0,0,5,,c0|c1|c3|c4|c6,0.609
205,5,0,0,5,,c0|c1|c3|c4|c6,0.609
206,5,0,0,5,,c0|c1|c3|c4|c6,0.609
207,5,0,0,5,,c0|c1|c3|c4|c6,0.609
208,5,0,0,5,,c0|c1|c3|c4|c6,0.609
209,5,0,0,5,,c0|c1|c3|c4|c6,0.609
210,5,0,0,5,,c0|c1|c3|c4|c6,0.609
211,5,0,0,5,,c0|c1|c3|c4|c6,0.609
212,5,0,0,5,,c0|c1|c3|c4|c6,0.609
213,5,0,0,5,,c0|c1|c3|c4|c6,0.609
214,5,0,0,5,,c0|c1|c3|c4|c6,0.609
215,5,0,0,5,,c0|c1|c3|c4|c6,0.609
216,5,0,0,5,,c0|c1|c3|c4|c6,0.609
217,5,0,0,5,,c0|c1|c3|c4|c6,0.609
218,5,0,0,5,,c0|c1|c3|c4|c6,0.609
219,5,0,0,5,,c0|c1|c3|c4|c6,0.609
220,5,0,0,5,,c0|c1|c3|c4|c6,0.609
221,5,0,0,5,,c0|c1|c3|c4|c6,0.609
222,5,0,0,5,,c0|c1|c3|c4|c6,0.609
223,5,0,0,5,,c0|c1|c3|c4|c6,0.609
224,5,0,0,5,,c0|c1|c3|c4|c6,0.609
225,5,0,0,5,,c0|c1|c3|c4|c6,0.609
226,5,0,0,5,,c0|c1|c3|c4|c6,0.609
227,5,0,0,5,,c0|c1|c3|c4|c6,0.609
228,5,0,0,5,,c0|c1|c3|c4|c6,0.609
229,4,0,0,4,,c0|c1|c3|c6,0.654
230,4,0,0,4,,c0|c1|c3|c6,0.654
231,4,0,0,4,,c0|c1|c3|c6,0.654
232,4,0,0,4,,c0|c1|c3|c6,0.654
233,4,0,0,4,,c0|c1|c3|c6,0.654
234,4,0,0,4,,c0|c1|c3|c6,0.654
235,4,0,0,4,,c0|c1|c3|c6,0.654
236,4,0,0,4,,c0|c1|c3|c6,0.654
237,4,0,0,4,,c0|c1|c3|c6,0.654
238,3,0,1,4,c6,c0|c1|c3,0.654
239,3,0,0,3,,c0|c1|c3,0.549
240,3,0,0,3,,c0|c1|c3,0.549
241,3,0,0,3,,c0|c1|c3,0.549
242,3,0,0,3,,c0|c1|c3,0.549
243,3,0,0,3,,c0|c1|c3,0.549
244,3,0,0,3,,c0|c1|c3,0.549
245,3,0,0,3,,c0|c1|c3,0.549
246,3,0,0,3,,c0|c1|c3,0.549
247,4,0,0,4,,c0|c1|c3|c7,0.548
248,4,0,0,4,,c0|c1|c3|c7,0.548
249,4,0,0,4,,c0|c1|c3|c7,0.548
