chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,n_h3_confirmed,tids
0,4,2,468,0,3,0,"1,9,13,16"
1,2,2,426,0,1,0,"2,8"
2,2,2,97,0,1,0,"3,6"
3,4,2,899,0,3,0,"4,18,30,37"
4,1,2,228,0,0,0,5
5,1,58,62,0,0,0,7
6,2,117,309,1,0,1,"10,12"
7,4,247,653,0,3,0,"11,14,17,24"
8,4,329,899,0,3,0,"15,25,33,36"
9,6,445,899,0,5,0,"19,22,26,31,35,38"
10,4,466,899,0,3,0,"20,21,29,34"
11,1,578,578,0,0,0,23
12,3,670,878,0,2,0,"27,28,32"
13,1,878,882,0,0,0,39
14,1,883,899,0,0,0,40
