frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
46,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
47,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
48,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
49,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
50,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
51,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
52,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
53,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
54,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
55,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
56,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
57,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
58,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED,False
59,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED,False
60,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED,False
61,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED,False
62,0,0,5,HOLD,6,0,0,6,MIXED_3+_UNCONFIRMED,0.33,True,True,True,MIXED_3+_UNCONFIRMED,False
63,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
64,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
65,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
66,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
67,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
68,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
69,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
70,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
71,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
72,0,1,4,CATCH,5,0,1,5,CASCADE_3+,0.665,True,True,True,CASCADE_3+,False
73,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
74,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False,CASCADE_3+,False
