phase_start,phase_end,n_frames,n_total,mean_confidence,mean_A,max_A,pct_A_ge2,threshold,h43_rejected,h66_rejected,h68_rejected
631,669,39,3,0.714,1.795,3,0.692,0.2,False,False,False
890,936,47,3,0.571,1.306,3,0.306,0.2,False,False,False
977,1011,35,3,0.565,0.68,2,0.12,0.2,False,True,True
1029,1049,21,3,0.463,0.846,1,0.0,0.2,True,True,True
