pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.7,agree,45,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,46,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,47,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,48,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,49,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,50,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,51,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,52,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,53,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,54,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,55,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,56,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,57,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,58,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.7,agree,59,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.7,agree,60,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.7,agree,61,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.7,agree,62,MIXED_3+_UNCONFIRMED,0.251,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,6
CASCADE_3+,0.7,agree,63,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,64,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,65,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,66,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,67,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,68,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,69,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,70,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,71,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,72,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.7,agree,73,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,74,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.7,agree,75,MIXED_3+_UNCONFIRMED,0.253,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
