frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
65,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
66,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
67,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
68,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
69,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
70,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
71,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
72,0,1,4,CATCH,5,0,1,5,CASCADE_3+,0.665,True,True,True
73,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
74,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
75,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
76,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
77,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
78,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
79,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
80,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
81,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
82,0,1,4,HOLD,4,0,0,4,CASCADE_3+,0.684,True,False,False
83,0,0,5,THROW,5,0,1,5,MIXED_3+,0.665,True,True,True
84,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
85,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
86,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
87,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
88,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
89,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
90,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
91,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
92,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
93,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
94,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
95,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
96,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
97,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.665,True,True,True
98,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
99,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
100,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
101,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
102,1,0,4,CATCH,4,1,0,4,CASCADE_3+,0.687,True,True,True
103,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
104,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
105,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
106,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
107,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
108,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
109,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
110,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
111,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
112,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
113,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False
114,0,0,5,THROW,4,1,0,4,MIXED_3+,0.687,True,True,True
115,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
116,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True
117,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
118,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
119,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
120,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
121,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
122,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
123,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
124,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
125,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
126,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
127,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
128,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
129,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
130,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
131,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
132,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
133,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
134,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
135,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
136,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
137,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
138,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
139,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
140,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
141,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
142,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
143,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
144,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
145,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
146,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
147,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
148,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
149,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
150,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
151,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
152,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
153,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
154,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
155,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
156,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
157,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
158,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
159,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
160,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
161,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
162,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
163,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
164,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
165,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
166,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
167,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
168,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
169,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
170,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
171,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
172,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
173,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
174,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
175,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
176,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
177,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
178,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
179,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
180,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
181,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
182,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
183,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
184,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
185,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
186,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
187,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
188,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
189,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
190,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
191,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
192,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
193,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
194,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
195,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
196,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
197,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
198,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
199,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
200,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
201,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
202,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
203,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
204,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
205,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
206,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
207,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
208,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
209,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
210,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True
