frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
54,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
55,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
56,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,3,0,0,3,CASCADE_3+,0.757,True,True,True,CASCADE_3+,False
57,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
58,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
59,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
60,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
61,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
62,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
63,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
64,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
65,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
66,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
67,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
68,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
69,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
70,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
71,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
72,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
73,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
74,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
75,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
76,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
77,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
78,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
79,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+,False
80,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
81,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
82,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
83,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
84,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
85,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
86,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL,False
87,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
88,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
89,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
90,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
91,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
92,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+,False
