frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
74,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
75,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
76,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
77,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
78,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
79,3,0,0,3,0.877,MIXED_3+,0.877,4,2,2,0.333,6.67
80,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
81,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
82,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
83,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
84,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
85,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
86,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
87,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
88,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
89,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
90,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
91,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
92,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
93,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
94,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
95,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
96,3,0,0,3,0.822,MIXED_3+,0.822,4,2,2,0.333,6.67
97,3,0,1,3,0.822,MIXED_3+,0.822,4,1,2,0.667,0.91
98,2,0,0,2,0.816,TWO_BALL,0.816,4,0,2,0.0,0.0
99,1,0,0,1,0.668,SINGLE_BALL,0.668,4,0,2,0.0,0.0
100,1,0,0,1,0.668,SINGLE_BALL,0.668,4,0,2,0.0,0.0
101,1,0,0,1,0.668,SINGLE_BALL,0.668,4,0,2,0.0,0.0
102,1,0,0,1,0.668,SINGLE_BALL,0.668,4,0,2,0.0,0.0
103,1,0,0,1,0.668,SINGLE_BALL,0.668,4,0,2,0.0,0.0
104,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
105,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
106,3,0,0,3,0.844,MIXED_3+,0.844,4,1,2,0.667,0.91
