chain_id,tid,ball_id,identity_ambiguous,hand_event,hand,h3_confirmed,first_frame,last_frame,n_pts,chain_quality,chain_classification
32,56,chain32_ball0,False,CHAIN_START,n/a,False,814,829,15,0.4286,UNCERTAIN
33,57,chain33_ball0,False,CHAIN_START,n/a,False,839,880,37,0.4286,UNCERTAIN
34,58,chain34_ball0,False,CHAIN_START,n/a,False,855,856,2,0.4286,UNCERTAIN
35,61,chain35_ball0,False,CHAIN_START,n/a,False,883,885,3,0.4286,UNCERTAIN
36,62,chain36_ball0,False,CHAIN_START,n/a,False,885,948,50,0.9436,CONFIDENT
36,66,chain36_ball0,False,,,False,957,965,6,0.9436,CONFIDENT
37,65,chain37_ball0,False,CHAIN_START,n/a,False,956,970,14,0.4286,UNCERTAIN
38,67,chain38_ball0,False,CHAIN_START,n/a,False,968,1020,48,0.3532,LOW
38,70,chain38_ball0,False,,,False,1029,1050,19,0.3532,LOW
38,74,chain38_ball0,False,CATCH_AND_THROW,left,False,1056,1078,22,0.3532,LOW
39,69,chain39_ball0,False,CHAIN_START,n/a,False,977,1011,32,0.4286,UNCERTAIN
40,72,chain40_ball0,False,CHAIN_START,n/a,False,1029,1050,22,0.6625,UNCERTAIN
40,73,chain40_ball0,False,CATCH_AND_THROW,right,False,1054,1060,6,0.6625,UNCERTAIN
41,75,chain41_ball0,False,CHAIN_START,n/a,False,1070,1077,8,0.4286,UNCERTAIN
42,76,chain42_ball0,False,CHAIN_START,n/a,False,1077,1077,1,0.4286,UNCERTAIN
