stem,src,tgt,gap,label,in_h7v3plus3,chain_edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,spatial_jump,v_jump,is_hand_edge,v1_d30_j80,v1_d30_j100,v1_d30_j120,v1_d30_j150,v1_d30_j200,v1_d40_j100,v1_d40_j150,v1_d40_j200,v1_d40_j250,v1_d50_j100,v1_d50_j150,v1_d50_j200,v1_d50_j250,v1_d60_j150,v1_d60_j200,v1_d60_j250,v1_d60_j300,v1_d80_j200,v1_d80_j250,v1_d80_j300,v2_d30,v2_d40,v2_d50,v2_d60,v2_d80,v2_d100
identical_balls_trick_000_018,20,22,6,wrong,False,NOT_IN_CHAIN,right,right,False,278.1,297.23,129.9,21.65,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,21,22,2,correct,True,BALLISTIC,,right,False,,297.23,187.56,93.78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,22,27,5,wrong,True,RECLASSIFIED_HAND_TRANSITION,left,right,True,46.69,56.25,190.35,38.07,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,23,25,2,correct,True,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,76.77,83.23,100.9,50.45,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
identical_balls_trick_000_018,25,27,6,correct,False,NOT_IN_CHAIN,right,right,False,64.9,56.25,10.54,1.76,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,25,26,0,wrong,False,NOT_IN_CHAIN,right,left,True,64.9,42.28,132.81,inf,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,28,29,3,correct,True,BALLISTIC,right,right,False,332.27,326.97,4.12,1.37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,29,34,5,correct,True,RECLASSIFIED_HAND_TRANSITION,left,,False,47.51,,72.58,14.52,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,30,33,5,correct,True,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,57.47,71.37,71.93,14.39,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,31,36,5,correct,True,BALLISTIC,left,right,True,468.66,406.95,37.6,7.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,31,38,5,wrong,False,NOT_IN_CHAIN,left,,False,468.66,,446.3,89.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,31,37,5,wrong,False,NOT_IN_CHAIN,left,,False,468.66,,456.52,91.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,35,37,5,correct,True,RECLASSIFIED_HAND_TRANSITION,left,,False,19.16,,40.78,8.16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,35,38,5,wrong,False,NOT_IN_CHAIN,left,,False,19.16,,108.24,21.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,35,36,5,wrong,False,NOT_IN_CHAIN,left,right,True,19.16,406.95,464.6,92.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,36,41,9,wrong,False,NOT_IN_CHAIN,right,right,False,99.14,50.85,165.01,18.33,False,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,37,40,10,correct,True,RECLASSIFIED_HAND_TRANSITION,,left,False,,93.97,76.7,7.67,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,37,39,6,wrong,False,NOT_IN_CHAIN,,right,False,,62.73,127.57,21.26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,38,39,6,correct,True,RECLASSIFIED_HAND_TRANSITION,,right,False,,62.73,101.68,16.95,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,38,40,10,wrong,False,NOT_IN_CHAIN,,left,False,,93.97,118.02,11.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,39,47,3,correct,True,V_RECLASSIFIED_HAND_TRANSITION,left,left,False,174.1,109.2,71.59,23.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
identical_balls_trick_000_018,39,48,9,wrong,False,NOT_IN_CHAIN,left,right,True,174.1,508.87,690.15,76.68,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
identical_balls_trick_000_018,40,41,3,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,62.99,50.85,2.29,0.76,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,40,42,5,wrong,False,NOT_IN_CHAIN,right,left,True,62.99,40.05,227.04,45.41,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,41,43,7,correct,True,BALLISTIC,right,,False,45.23,,13.63,1.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,41,44,9,wrong,False,NOT_IN_CHAIN,right,left,True,45.23,66.11,275.05,30.56,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
identical_balls_trick_000_018,43,45,4,correct,True,RECLASSIFIED_HAND_TRANSITION,,right,False,,60.86,10.21,2.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,44,53,5,correct,False,NOT_IN_CHAIN,left,left,False,32.2,69.51,53.64,10.73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,45,46,3,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,81.89,89.36,41.32,13.77,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False
identical_balls_trick_000_018,45,47,9,wrong,False,NOT_IN_CHAIN,left,left,False,81.89,109.2,131.85,14.65,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False
identical_balls_trick_000_018,47,52,3,correct,False,NOT_IN_CHAIN,left,right,True,30.51,94.24,71.42,23.81,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,50,55,0,correct,True,BALLISTIC,left,,False,258.74,,187.29,inf,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
