candidate_merge,cs_chain_id,cs_first_tid,cs_first_frame,cs_quality,event_chain_id,event_tid,event_frame,frame_diff,hand,h3_confirmed,spatial_dist_px,vel_diff_px_per_frame,velocity_coherent
chain6->chain2,6,8,43,0.4286,2,9,41,-2,left,True,72.2,28.41,False
chain11->chain8,11,15,138,0.4286,8,14,111,-27,right,True,51.5,22.12,False
chain32->chain30,32,56,814,0.4286,30,54,788,-26,right,True,58.8,38.63,False
chain32->chain30,32,56,814,0.4286,30,59,843,29,right,True,28.3,50.44,False
chain35->chain30,35,61,883,0.4286,30,63,881,-2,right,True,31.3,49.9,False
chain42->chain40,42,76,1077,0.4286,40,73,1052,-25,right,True,66.0,8.94,False
