stem,src,tgt,vshape,in_hand_px,min_hand_dist,gap_dist,gap_vel,apex_src_dist,h20_keep,end_d,start_d,end_side,start_side,spatial_jump,h114_v1_fires_TD40_TJ250,visual_qa_verdict,in_h7v3plus3
identical_balls_trick_000_018,12,18,V_DEEP,30,38.25,418.41,34.87,31.37,True,34.62,288.8,left,right,468.4836272485945,False,,False
identical_balls_trick_000_018,12,19,V_DEEP,30,35.97,317.74,15.89,211.86,True,34.62,68.92,left,left,325.27014449531026,False,,False
identical_balls_trick_000_018,13,15,V_DEEP,30,2.1,113.33,,133.22,True,45.03,15.21,right,right,60.96404350106706,False,REAL,False
identical_balls_trick_000_018,13,16,V_DEEP,30,44.59,216.19,11.38,104.46,True,45.03,131.07,right,right,136.8298918365428,False,,False
identical_balls_trick_000_018,14,17,V_DEEP,30,18.24,235.35,,196.13,True,52.69,60.22,right,right,110.53611626975142,False,,False
identical_balls_trick_000_018,14,19,V_SHALLOW,30,54.08,62.31,6.92,138.31,True,52.69,68.92,right,left,102.75790577858231,False,,False
identical_balls_trick_000_018,15,17,V_DEEP,30,27.68,168.38,15.31,112.29,True,38.27,60.22,right,right,196.26210969007752,False,,False
identical_balls_trick_000_018,15,18,V_SHALLOW,30,50.94,395.41,32.95,34.64,True,38.27,288.8,right,right,425.3689017782095,False,,False
identical_balls_trick_000_018,17,21,V_DEEP,30,22.44,82.96,,80.51,True,20.95,,right,,,False,,False
identical_balls_trick_000_018,17,22,V_DEEP,30,22.44,301.39,37.67,80.51,True,20.95,297.23,right,right,401.0382089028426,False,,False
identical_balls_trick_000_018,17,24,V_DEEP,30,22.44,177.67,8.88,80.51,True,20.95,71.53,right,left,166.2668869618963,False,,False
identical_balls_trick_000_018,18,22,V_DEEP,30,46.78,437.96,48.66,18.4,True,32.77,297.23,left,right,460.02983990171765,False,,False
identical_balls_trick_000_018,18,24,V_DEEP,30,28.77,310.2,14.77,258.53,True,32.77,71.53,left,left,299.9929647508421,False,,False
identical_balls_trick_000_018,18,23,V_DEEP,30,46.78,224.32,10.68,18.4,True,32.77,52.43,left,right,238.40199013431072,False,,False
identical_balls_trick_000_018,20,23,V_SHALLOW,30,65.59,140.34,7.39,93.56,True,278.1,52.43,right,right,205.43002945041897,False,,False
identical_balls_trick_000_018,21,23,V_SHALLOW,30,68.87,120.77,8.05,120.8,True,,52.43,,right,,False,,False
identical_balls_trick_000_018,24,28,V_SHALLOW,30,59.53,271.14,,45.15,True,60.58,238.21,right,right,234.3147737553055,False,,False
identical_balls_trick_000_018,28,30,V_SHALLOW,30,99.55,246.44,20.54,246.87,True,332.27,93.82,right,right,246.52067053291898,False,,False
identical_balls_trick_000_018,29,33,V_DEEP,30,5.63,87.96,,58.62,True,47.51,71.37,left,left,127.46689648689178,False,UNCLEAR,False
identical_balls_trick_000_018,31,39,V_SHALLOW,30,66.15,332.15,18.45,332.18,True,468.66,62.73,left,right,341.9989906417854,True,,False
identical_balls_trick_000_018,31,40,V_SHALLOW,30,94.49,368.56,16.75,368.49,True,468.66,93.97,left,left,377.31178248233914,True,,False
identical_balls_trick_000_018,35,39,V_DEEP,30,14.06,154.14,8.56,25.69,True,19.16,62.73,left,right,163.8637144092615,False,,False
identical_balls_trick_000_018,39,46,V_SHALLOW,30,51.9,207.37,,138.22,True,174.1,89.36,left,left,237.6773821801309,False,FALSE,False
identical_balls_trick_000_018,40,42,V_DEEP,30,19.22,225.0,37.5,37.47,True,62.99,40.05,right,left,227.0408643834849,False,,False
identical_balls_trick_000_018,41,45,V_DEEP,30,43.62,18.85,1.05,6.27,True,45.23,60.86,right,right,22.65290489098472,False,,False
identical_balls_trick_000_018,44,53,V_SHALLOW,30,55.9,178.03,29.67,183.27,True,32.2,69.51,left,left,53.64039615811951,False,,False
identical_balls_trick_000_018,44,54,V_SHALLOW,30,51.67,479.26,39.94,479.32,True,32.2,39.11,left,right,309.2191011241059,False,,False
identical_balls_trick_000_018,54,57,V_DEEP,30,8.51,208.97,52.24,89.72,True,9.61,202.48,right,right,320.8262372375426,False,,False
identical_balls_trick_000_018,54,58,V_DEEP,30,8.51,167.78,8.39,89.72,True,9.61,,right,,,False,,False
identical_balls_trick_000_018,54,60,V_DEEP,30,8.51,124.96,5.0,89.72,True,9.61,46.85,right,right,179.16344409504967,False,,False
identical_balls_trick_000_018,56,57,V_DEEP,30,7.11,300.47,60.09,41.0,True,7.01,202.48,left,right,346.46868617524444,False,,False
identical_balls_trick_000_018,56,58,V_DEEP,30,7.11,238.09,11.34,41.0,True,7.01,,left,,,False,,False
identical_balls_trick_000_018,56,59,V_DEEP,30,7.11,141.03,6.41,41.0,True,7.01,80.19,left,right,190.00204893632068,False,,False
identical_balls_trick_000_018,57,62,V_DEEP,30,12.52,344.65,,344.65,True,64.07,1.78,right,left,157.5555394138842,False,,False
identical_balls_trick_000_018,58,60,V_DEEP,30,40.46,85.09,,14.21,True,,46.85,,right,,False,FALSE,False
identical_balls_trick_000_018,58,62,V_DEEP,30,12.52,238.55,9.54,238.6,True,,1.78,,left,,False,,False
identical_balls_trick_000_018,59,61,V_DEEP,30,18.94,52.13,5.79,43.46,True,46.08,31.32,right,right,71.38829385830701,False,REAL,True
identical_balls_trick_000_018,59,62,V_DEEP,30,12.52,104.09,9.46,104.09,True,46.08,1.78,right,left,58.34457129845078,False,,False
identical_balls_trick_000_018,60,65,FLAT,30,101.56,468.56,31.24,468.58,True,436.11,98.22,left,left,472.94943535223723,True,,False
identical_balls_trick_000_018,61,63,V_DEEP,30,24.97,93.26,,77.76,True,8.21,37.24,right,right,182.37801210672296,False,,False
identical_balls_trick_000_018,62,65,V_DEEP,30,32.58,139.49,46.5,45.02,True,22.19,98.22,right,left,174.13722462471944,False,FALSE,False
identical_balls_trick_000_018,62,67,V_DEEP,30,32.58,246.14,16.41,45.02,True,22.19,228.42,right,left,290.7512450532242,False,,False
identical_balls_trick_000_018,62,68,V_DEEP,30,24.72,158.44,9.32,132.08,True,22.19,36.23,right,right,114.00316004392164,False,,False
identical_balls_trick_000_018,62,69,V_DEEP,30,32.58,31.04,1.29,45.02,True,22.19,75.57,right,left,72.8628108159437,False,,False
identical_balls_trick_000_018,63,65,V_DEEP,30,39.9,268.22,44.7,178.84,True,63.06,98.22,left,left,187.98746899727118,False,,False
identical_balls_trick_000_018,63,68,V_DEEP,30,34.83,240.64,12.03,275.75,True,63.06,36.23,left,right,181.86783882808973,False,,False
identical_balls_trick_000_018,66,67,V_DEEP,30,38.32,210.14,,15.63,True,32.65,228.42,left,left,210.31515399514134,False,UNCLEAR,False
identical_balls_trick_000_018,66,69,V_DEEP,30,18.3,136.65,17.08,68.33,True,32.65,75.57,left,left,116.43451764833313,False,,False
identical_balls_trick_000_018,67,72,V_DEEP,30,26.14,279.85,69.96,279.81,True,272.56,16.95,left,left,244.29262780526147,False,FALSE,False
identical_balls_trick_000_018,68,70,V_DEEP,30,12.95,466.65,51.85,162.56,True,12.16,197.05,right,left,315.43566221973066,False,,False
identical_balls_trick_000_018,68,72,V_DEEP,30,12.95,334.09,37.12,162.56,True,12.16,16.95,right,left,223.32090721649865,False,,False
identical_balls_trick_000_018,69,72,V_DEEP,30,26.14,79.91,6.15,79.92,True,44.29,16.95,left,left,22.271248281135897,False,,False
identical_balls_trick_000_018,69,71,V_DEEP,30,20.36,273.88,21.07,264.81,True,44.29,18.59,left,right,177.2914690559024,False,,False
identical_balls_trick_000_018,70,73,V_DEEP,30,21.49,210.35,,35.07,True,33.94,51.71,left,right,199.10099673281397,False,PARTIAL,False
identical_balls_trick_000_018,70,75,V_DEEP,30,22.21,133.76,8.92,0.06,True,33.94,71.05,left,left,169.99047061526707,False,,False
identical_balls_trick_000_018,73,75,V_DEEP,30,35.2,68.55,13.71,158.52,True,34.05,71.05,left,left,142.00647626076773,False,FALSE,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,V_DEEP,30,38.51,80.45,4.02,80.49,True,,38.17,,right,,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,V_DEEP,30,11.39,198.23,14.16,46.2,True,8.48,78.11,left,left,154.19866795793018,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,30,4.69,207.08,34.51,51.42,True,2.24,120.71,right,left,175.18421846730368,False,PARTIAL,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,V_DEEP,30,4.69,112.68,4.33,51.42,True,2.24,18.7,right,left,85.66363580890089,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,V_DEEP,30,6.86,169.44,11.3,47.41,True,1.07,78.09,left,left,124.90471408237562,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,25,V_DEEP,30,4.56,83.29,3.97,47.47,True,6.74,4.99,right,left,76.19389083122078,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,V_DEEP,30,5.32,85.69,9.52,31.55,True,5.56,35.34,right,right,71.17550280819941,False,,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,V_DEEP,30,7.8,59.21,5.92,39.47,True,,13.87,,right,,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,25,V_DEEP,30,10.42,84.01,3.36,72.08,True,,4.99,,left,,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,26,V_DEEP,30,1.06,106.53,,40.87,True,3.01,33.66,left,right,73.54846157466517,False,FALSE,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,28,V_DEEP,30,1.06,177.93,8.9,40.87,True,3.01,108.06,left,left,128.06484177946734,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,34,V_DEEP,30,9.9,81.82,5.45,81.88,True,21.97,4.45,left,right,71.08322586939902,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,33,V_DEEP,30,14.38,53.35,4.1,53.33,True,20.37,11.52,right,left,76.16918340116304,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,32,40,V_DEEP,30,21.28,84.71,,84.73,True,24.17,19.59,right,right,70.8359710881414,False,PARTIAL,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,40,V_DEEP,30,21.28,98.13,5.77,98.14,True,23.14,19.59,left,right,89.38788788197208,False,,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,39,40,V_DEEP,30,21.28,105.64,,105.64,True,19.28,19.59,left,right,100.77057358177545,False,PARTIAL,False
