pattern,phase_start,phase_end,n_frames,mean_confidence,mean_A,max_A,min_A,spectral_concentration,ac_peak_value,ac_peak_lag,h65_verdict
MIXED_3+,263,312,32,0.728,1.094,3,0,0.182,0.002,7,N/A
MIXED_3+,411,450,33,0.797,1.515,3,0,0.196,0.283,5,N/A
MIXED_3+,549,578,26,0.704,0.962,2,0,0.332,0.205,5,N/A
FOUNTAIN_3+,631,669,39,0.714,1.795,3,0,0.411,0.339,5,FOUNTAIN
CASCADE_3+,685,716,27,0.738,0.704,2,0,0.498,0.32,5,N/A
FOUNTAIN_3+,890,936,36,0.571,1.306,3,0,0.308,0.197,5,OTHER
FOUNTAIN_3+,977,1011,25,0.565,0.68,2,0,0.326,0.085,5,FOUNTAIN
