conf_min,spec>=0.05,spec>=0.08,spec>=0.10,spec>=0.13,spec>=0.15,spec>=0.20,spec>=0.25,spec>=0.30,spec>=0.40
conf>=0.20,6,5,3,1,1,1,0,0,0
conf>=0.30,6,5,3,1,1,1,0,0,0
conf>=0.35,6,5,3,1,1,1,0,0,0
conf>=0.40,6,5,3,1,1,1,0,0,0
conf>=0.42,6,5,3,1,1,1,0,0,0
conf>=0.44,5,4,3,1,1,1,0,0,0
conf>=0.46,1,0,0,0,0,0,0,0,0
conf>=0.48,0,0,0,0,0,0,0,0,0
conf>=0.50,0,0,0,0,0,0,0,0,0
conf>=0.55,0,0,0,0,0,0,0,0,0
