frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
70,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,2,1,0.0,0.0
71,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,2,1,0.0,0.0
72,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
73,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
74,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
75,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
76,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
77,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
78,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
79,3,0,0,3,0.633,MIXED_3+_UNCONFIRMED,0.317,2,0,1,0.0,0.0
80,2,0,0,2,0.735,TWO_BALL,0.735,2,0,0,0.0,0.0
81,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
82,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
83,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
84,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
85,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
86,2,0,0,2,0.735,TWO_BALL,0.735,2,2,0,0.0,0.0
87,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
88,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
89,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
90,3,0,0,3,0.773,MIXED_3+_UNCONFIRMED,0.387,2,2,1,0.0,0.0
