stem,from,to,feat_n_pts,raw_n_pts,feat_last_frame,raw_last_frame,feat_last_xy,raw_last_xy,feat_end_dist,raw_end_dist,feat_end_slope,raw_end_slope,feat_start_dist,raw_start_dist,feat_start_slope,raw_start_slope,sj_raw,sj_orig,h7v2_orig,h7v2_raw,h7v2_raw_reason,verdict
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,50,58,299,304,"(543.8,475.6)","(557.3,509.9)",12.41,58.58749201618201,0.507,6.8489999999999895,13.49,16.697537715258093,10.758,-14.830999999999989,92.7346413159613,63.598887568887484,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,56,64,327,330,"(540.8,478.7)","(545.8,500.8)",16.22,36.651429761412736,1.536,7.359499999999997,21.72,28.424509718091173,11.721,-14.063500000000005,102.05635075290509,83.14614182269676,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,59,72,375,379,"(624.3,478.1)","(612.9,477.2)",17.73,39.46533416022481,2.148,-0.20849999999998658,21.67,28.15907889463351,11.313,-13.136500000000012,83.79324360591373,85.01105163447866,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,247,272,595,600,"(659.0,434.0)","(660.8,482.8)",6.63,30.101564879321664,-2.076,9.759500000000003,4.99,10.474754937510262,8.773,-9.585000000000008,43.49822604428827,40.063913937607225,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,184,205,582,585,"(549.8,455.9)","(548.3,486.6)",6.74,26.963866246226054,-4.906,10.245499999999993,13.87,20.41056334130684,5.28,-2.0720000000000027,22.746606010567778,23.32147936988558,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,260,294,709,713,"(555.7,484.8)","(565.6,487.0)",27.49,56.727335947631154,2.321,0.550500000000028,34.96,35.3034289419048,13.247,-10.401499999999999,95.41321879068961,94.4974311820168,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,51,59,498,503,"(544.8,480.7)","(549.6,513.7)",12.89,49.94166019564074,1.817,6.603000000000009,34.5,34.4961962152245,10.521,-13.357499999999987,122.64542938079681,92.63785241465821,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,191,217,693,698,"(624.2,476.4)","(608.7,488.5)",18.79,60.60576743258566,1.79,2.4225000000000136,32.85,35.05955770326192,13.031,-13.587000000000018,105.80157829163042,94.67817752787599,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,125,140,644,649,"(544.4,472.4)","(556.6,509.1)",10.58,51.49624712867632,-0.289,7.322500000000019,33.66,35.29446041734767,12.32,-13.982499999999987,112.27849860057803,80.83093467231467,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,122,149,749,754,"(634.6,480.5)","(621.0,514.9)",21.97,75.85985166517902,3.134,6.875999999999976,11.52,14.379970266455977,10.323,-13.766999999999996,93.22584867406673,60.6533098849519,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,57,67,717,722,"(624.5,475.0)","(625.1,507.5)",11.72,52.484805223771225,0.944,6.489500000000021,50.19,50.741907115177945,14.349,-15.94550000000001,152.1362884948887,119.89321290214889,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,53,65,738,742,"(565.3,474.8)","(583.7,460.9)",20.37,46.60559879441797,1.791,-3.4805000000000064,30.04,35.09151613059452,14.126,-13.705999999999989,69.96239990880817,84.48261596328564,True,True,src_catch_dist=46.6_slope=-3.48_side=right,STILL_RECLASSIFIED
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,48,66,761,766,"(543.0,479.6)","(557.5,512.7)",13.57,55.9754565542957,-0.08,6.619,4.45,9.899436140947135,9.056,-10.842000000000013,63.002919178399964,39.375916497270275,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,119,136,845,850,"(543.5,478.9)","(554.5,512.6)",14.07,52.38867214719706,1.094,6.736500000000007,12.37,12.36587563155418,10.982,-14.755499999999984,81.25130626026886,56.96055213917783,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,57,64,789,794,"(532.0,471.3)","(543.1,515.9)",16.11,56.668363827770335,1.814,8.914999999999992,23.3,24.532189242483465,11.204,-13.434499999999986,113.12074894554047,78.48700911615883,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,55,66,818,820,"(550.7,487.4)","(553.8,503.1)",24.95,41.929658173364885,2.935,7.828499999999991,10.11,10.112446218531796,10.379,-13.873000000000019,62.52639513037672,50.12998304408253,True,False,no_catch_throw_signature,RAW_REJECTS
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,55,67,862,866,"(639.5,482.5)","(626.2,502.5)",23.14,59.495480721227885,2.337,4.9894999999999925,16.76,24.024549451750843,11.956,-14.135500000000008,98.00104944846254,79.67881085960056,True,False,no_catch_throw_signature,RAW_REJECTS
