frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
66,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
67,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
68,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
69,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
70,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
71,5,0,0,5,0.663,MIXED_3+_UNCONFIRMED,0.398,2,2,1,0.0,0.0,12
72,5,0,0,5,0.663,CASCADE_3+,0.663,3,3,1,0.5,1.2,50
73,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
74,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
75,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
76,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
77,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
78,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
79,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
80,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
81,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
82,4,0,0,4,0.681,CASCADE_3+,0.681,3,3,1,0.5,1.2,50
83,5,0,0,5,0.663,MIXED_3+,0.663,4,3,2,0.333,1.2,61
84,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
85,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
86,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
87,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
88,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
89,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
90,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
91,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
92,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
93,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
94,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
95,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
96,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
97,5,0,0,5,0.663,MIXED_3+,0.663,4,4,2,0.333,1.2,61
98,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,0.333,1.2,61
99,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,0.333,1.2,61
100,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,0.333,1.2,61
101,4,0,0,4,0.684,MIXED_3+,0.684,4,4,2,0.333,1.2,61
102,4,0,0,4,0.684,CASCADE_3+,0.684,4,4,1,0.667,2.0,68
103,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
104,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
105,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
106,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
107,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
108,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
109,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
110,3,0,0,3,0.688,CASCADE_3+,0.688,4,3,1,0.667,2.0,68
