chain_id,n_tracklets,first_frame,last_frame,n_hand_edges,n_air_edges,tids
1,8,2,899,0,7,"1,9,13,16,20,21,29,34"
2,2,2,426,0,1,"2,8"
3,2,2,97,0,1,"3,6"
4,4,2,899,0,3,"4,18,30,37"
5,1,2,228,0,0,5
7,1,58,62,0,0,7
10,2,117,309,1,0,"10,12"
11,5,247,653,0,4,"11,14,17,23,24"
15,4,329,899,0,3,"15,25,33,36"
19,6,445,899,0,5,"19,22,26,31,35,38"
27,3,670,878,0,2,"27,28,32"
39,1,878,882,0,0,39
40,1,883,899,0,0,40
