frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
112,3,0,0,3,0.844,CASCADE_3+,0.844
113,3,0,0,3,0.844,CASCADE_3+,0.844
114,3,0,0,3,0.844,CASCADE_3+,0.844
115,3,0,0,3,0.844,CASCADE_3+,0.844
116,3,0,0,3,0.844,CASCADE_3+,0.844
117,3,0,0,3,0.844,CASCADE_3+,0.844
118,3,0,0,3,0.844,CASCADE_3+,0.844
119,3,0,0,3,0.844,CASCADE_3+,0.844
120,3,0,0,3,0.844,CASCADE_3+,0.844
121,3,0,0,3,0.844,CASCADE_3+,0.844
122,3,0,0,3,0.844,CASCADE_3+,0.844
123,2,0,0,2,0.932,TWO_BALL,0.932
124,2,0,0,2,0.932,TWO_BALL,0.932
125,2,0,0,2,0.932,TWO_BALL,0.932
126,3,0,1,3,0.9,MIXED_3+,0.9
127,3,0,0,3,0.9,MIXED_3+,0.9
128,3,0,0,3,0.9,MIXED_3+,0.9
129,3,0,0,3,0.9,MIXED_3+,0.9
130,3,0,0,3,0.9,MIXED_3+,0.9
131,3,0,0,3,0.9,MIXED_3+,0.9
132,3,0,0,3,0.9,MIXED_3+,0.9
133,3,0,0,3,0.9,MIXED_3+,0.9
134,2,0,0,2,0.899,TWO_BALL,0.899
135,2,0,0,2,0.899,TWO_BALL,0.899
136,2,0,0,2,0.899,TWO_BALL,0.899
137,2,0,0,2,0.899,TWO_BALL,0.899
138,3,0,0,3,0.932,MIXED_3+,0.932
139,3,0,0,3,0.932,MIXED_3+,0.932
140,3,0,0,3,0.932,MIXED_3+,0.932
141,3,0,0,3,0.932,MIXED_3+,0.932
142,3,0,0,3,0.932,MIXED_3+,0.932
143,3,0,0,3,0.932,MIXED_3+,0.932
144,3,0,0,3,0.932,MIXED_3+,0.932
145,3,0,0,3,0.932,MIXED_3+,0.932
146,3,0,0,3,0.932,MIXED_3+,0.932
147,3,0,0,3,0.932,MIXED_3+,0.932
148,3,0,0,3,0.932,MIXED_3+,0.932
149,3,0,0,3,0.932,MIXED_3+,0.932
150,1,0,0,1,0.836,SINGLE_BALL,0.836
151,1,0,0,1,0.836,SINGLE_BALL,0.836
152,1,0,0,1,0.836,SINGLE_BALL,0.836
153,1,0,0,1,0.836,SINGLE_BALL,0.836
154,1,0,0,1,0.836,SINGLE_BALL,0.836
155,1,0,0,1,0.836,SINGLE_BALL,0.836
156,1,0,0,1,0.836,SINGLE_BALL,0.836
157,2,0,0,2,0.886,TWO_BALL,0.886
158,2,0,0,2,0.886,TWO_BALL,0.886
159,2,0,0,2,0.886,TWO_BALL,0.886
