clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
15,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00015_source-20_candidate-21_gap-8_rank-1_error-139.18.mp4,20,21,8,139.183614,473,482,1
16,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00016_source-21_candidate-29_gap-2_rank-1_error-113.59.mp4,21,29,2,113.588933,698,701,1
17,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00017_source-22_candidate-26_gap-6_rank-1_error-161.59.mp4,22,26,6,161.590726,649,656,1
18,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00018_source-23_candidate-24_gap-9_rank-1_error-36.88.mp4,23,24,9,36.875325,581,591,1
19,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00019_source-25_candidate-33_gap-0_rank-1_error-100.11.mp4,25,33,0,100.10758,754,755,1
20,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00020_source-26_candidate-31_gap-8_rank-1_error-210.34.mp4,26,31,8,210.341113,722,731,1
21,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00021_source-27_candidate-28_gap-4_rank-1_error-68.51.mp4,27,28,4,68.508623,673,678,1
22,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00022_source-28_candidate-32_gap-0_rank-1_error-67.08.mp4,28,32,0,67.083823,742,743,1
23,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00023_source-29_candidate-34_gap-2_rank-1_error-81.71.mp4,29,34,2,81.708283,766,769,1
24,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00024_source-30_candidate-37_gap-3_rank-1_error-105.33.mp4,30,37,3,105.333452,850,854,1
25,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00025_source-31_candidate-35_gap-5_rank-1_error-162.26.mp4,31,35,5,162.260696,794,800,1
26,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00026_source-33_candidate-36_gap-4_rank-1_error-98.14.mp4,33,36,4,98.136715,820,825,1
27,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090/00027_source-35_candidate-38_gap-2_rank-1_error-113.14.mp4,35,38,2,113.144917,866,869,1
