video,stem,source_tracklet,candidate_tracklet,gap_frames,original_rank,label,gfix3,gfix4,gfix6,gfix8,gfix10,gfix12,bal3,bal4,bal6,bal8,bal10,bal12
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1,6,4,1,correct,,320.5721346376525,320.57355789028566,304.07045872763325,302.8329496156655,315.96932439194416,320.5721313916678,320.572131391676,320.5697484242157,364.98032519341615,327.97180522533466,278.7223357931874
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,2,6,4,1,wrong,,421.2262644456464,421.22706598237454,408.50859049332445,405.0088944935842,414.4761546546854,421.2249633154615,421.22144239107024,421.2270639943285,419.091936237865,400.5571838048402,400.8284693287136
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,8,6,1,correct,,49.81162076866356,49.80904642005029,55.579112376676456,58.822380364359155,55.0779490094112,49.811617369846395,49.81161736985067,49.8128101092156,39.79383308555017,41.25296123553578,62.68974235114039
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,7,2,2,wrong,,305.32305276162054,305.32366785872205,306.70308371081165,307.3843137124549,306.48606654848425,305.3230523232731,305.3230523232734,305.3242355294524,302.71720227333236,303.6410110605534,307.82926265523275
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,7,0,1,correct,,107.3908559655035,107.39132064239458,104.84064287454234,105.97192626799304,109.51237267632364,107.39106905604402,107.39138844228816,107.39132095741168,106.89866292793809,107.62293846579087,108.51948376241968
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,8,4,2,wrong,,578.0734234819396,578.0748141203217,572.1505905601964,574.7996375148091,581.6030883939745,578.0740025723355,578.0769095667122,578.0748155575134,579.590239495762,579.8260888211552,578.9633295544851
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,5,6,0,1,correct,,78.07964746458232,73.95428440678731,73.95428440678731,73.95428440678731,73.95428440678731,78.07811237472364,78.07964706951552,84.25933114230008,84.25933114230008,84.25933114230008,84.25933114230008
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,6,15,10,1,wrong,,149.40261991351053,149.40261950424414,156.97734023531197,162.38962614106677,159.43791752300308,149.4026225204872,149.40262252048413,149.4026225204924,195.59448411891645,148.2658977824966,206.15067857434292
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,7,10,2,1,correct,,153.844831956851,153.84548797093808,152.60027887562984,154.33042395620964,158.4320249666824,153.8401323813496,153.84483280126682,153.84548918571062,159.76037976411894,157.71044387218944,153.43909201019716
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,12,0,1,correct,,47.55760489799094,47.55763512118919,40.748647617406164,38.23590681920048,43.1814356825734,47.55952400939217,47.55884421232866,47.557634387527926,54.46058251346277,49.230791142651505,37.881297774012886
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,13,0,2,wrong,,108.41233213308368,108.41255850100865,109.99531784901792,110.54879825691985,109.30008975703564,108.41136481476511,108.41203087440299,108.41255867935446,106.6711366454928,107.50495231894232,110.91482334956268
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,10,11,2,1,correct,,108.3700983432791,108.36997665484562,109.59224740527468,113.14834570877905,116.6377856775513,108.3701501465119,108.36761883275909,108.36997778611187,115.59572196618478,115.0761307353014,111.11100309868097
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,13,1,1,correct,,145.41318357588887,145.41330806354466,136.93768840492436,136.0656954159499,143.52023535020268,145.41304711751286,145.41318337155676,145.41323520022829,139.3005703891631,137.0323220856222,141.87386013203596
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,12,1,2,wrong,,263.37270314801765,263.37280855647947,254.67559863596273,253.8142199665402,261.5325382165621,263.37184318943457,263.3727027925448,263.37268179688385,258.61834850667043,255.51768737671435,258.40631066766315
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,17,10,1,correct,,179.16960439886515,179.16960472281622,169.71953039371735,169.40152054000458,175.42151799159558,179.16960233532967,179.16960233533385,179.1696023353297,212.98890754796906,185.75544087891976,174.9976080924076
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,16,2,2,wrong,,254.98696867954206,254.9869691305289,248.03412873693514,246.47574102437298,250.84700089855667,254.98696765129003,254.9869676512922,254.98696765129057,262.89100932851017,256.5814867968823,247.78851526496936
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,19,8,1,correct,,297.0876726270239,297.0876967361048,308.2460728967299,313.8105737214197,313.853560728454,297.0875809635609,297.08766401971724,297.08768652315683,248.7460800755659,265.0040929866332,292.556096248041
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,18,0,2,wrong,,485.53121572632955,485.53121001445567,488.36419198479615,490.02583401826075,490.0610576667167,485.5312455847833,485.5312153366149,485.531209286988,482.52532344048325,483.93146790197966,486.84561512141687
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,17,10,1,wrong,,138.38110207588127,138.37940896800345,112.91702311639074,114.24456562167916,134.91806039926414,138.33218163457104,138.3810934069495,138.38843809086336,305.4427929672546,182.55044703771205,113.74585273653776
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,16,2,2,correct,,213.24703749225083,213.24632585051557,198.97937557423106,197.62430122107506,210.63158841931116,213.23998847021704,213.24703602202936,213.24822982896382,239.72240801626174,217.36140761816165,182.40617914557717
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,16,19,2,1,wrong,,571.3764411919133,571.3767513629718,566.9639563407902,568.4335797634955,574.746152617436,571.3848753196042,571.3810715791454,571.3772291274556,579.3473536384261,568.1071314416176,556.4345902433976
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,22,7,1,correct,,144.93240780803202,144.9324092378842,123.24101650982458,121.1831303569858,135.57271546433725,144.93240086675527,144.93240086675723,144.93240086674774,229.04175078148407,164.92825441491956,87.74899191054769
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,21,0,1,wrong,,238.08546241834742,238.0857648209117,234.16960294939915,233.07456992698616,235.44983317210924,238.086503171525,238.08546211497276,238.08525390426425,238.79555847086726,236.37656601349047,234.8576088527714
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,22,8,2,wrong,,401.1036036058339,401.10526917578056,386.3938091764827,382.8302203140834,389.0687519673718,401.146408948716,401.1035959322484,401.09705460173564,441.1389464043973,413.4309303478203,384.56396082366115
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,19,20,1,1,correct,,107.20337726172414,107.20321994281255,103.8622894808934,103.30279851727187,105.01515345584733,107.20727994870494,107.20337813357362,107.20322131663615,110.41139685200702,107.39412687995218,102.42891163819158
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,20,22,6,1,wrong,,283.3754416811802,283.37455783827903,291.78962980001495,294.2459548779944,288.74061494236446,283.3458661702662,283.37543633988344,283.380472197257,253.72422785960583,270.01357208631606,302.3326503587321
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,21,22,2,1,correct,,70.58332587109412,61.26917812628925,61.26917812628925,61.26917812628925,61.26917812628925,70.58225090472651,70.57858468057165,97.90017494174221,97.90017494174221,97.90017494174221,97.90017494174221
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,22,27,5,1,wrong,,149.0106343652503,149.01171557875668,147.42657578788464,152.75523052454204,158.75695709351385,149.01061212442022,149.0106300075643,149.00552183865867,153.75299355135647,131.602325277543,124.52828519187696
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,23,25,2,1,correct,,89.17172139543972,89.1708330738589,87.44326063470298,87.8240945935149,87.8240945935149,89.17172290025458,89.17172290025577,89.17278617988123,91.99801750034906,89.2894163320723,89.2894163320723
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,27,6,1,correct,,92.18938357515634,112.17175304605917,120.35213709919233,126.91744886824463,139.12254263013952,342.4055418843524,36.656503289088135,16.450732936832967,61.59400127358899,75.83899068334394,67.52802127413526
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,26,0,2,wrong,,153.3748301259584,158.2928806731092,160.66661526453373,162.9072992438633,167.69448696908364,163.66893603484402,149.71118062811018,148.68275509684247,152.77092930123894,154.3684935715259,153.50489653301415
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,28,29,3,1,correct,,3.65409007910628,3.6541256021327597,3.5358239362447925,3.37406178438803,3.138307698309323,3.6540732105114833,3.654092375679604,3.6541287169943852,3.945711008818887,4.085190374074788,4.256319810128214
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,29,34,5,1,correct,,27.426698362589175,27.427010977534565,27.158313639045744,27.631078976153763,27.92860488596541,27.447942181525764,27.426694610362592,27.428071939796965,24.25961230831592,25.008478028954176,26.682387072108682
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,30,33,5,1,correct,,7.003922947193718,7.003678347428898,7.041596478552572,6.279751144740079,5.341028564625075,7.004217540961655,7.00392720193539,7.003683711168567,9.34939434197278,10.99948522419792,11.482479086727508
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,36,5,1,correct,,13.207594552831349,13.207593417005592,12.947875141688819,12.718677247902635,12.713091093925648,13.207598911231505,13.207598911233081,13.207598911232829,14.91040491235477,14.666243703281737,13.768843260476366
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,38,5,2,wrong,,423.9339525594796,423.9339514679307,423.7031087321803,423.4752254566385,423.4423264300012,423.93395674798086,423.93395674798217,423.933956747982,425.58947864435,425.3470887861738,424.4568866207713
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,37,5,3,wrong,,437.03241738539793,437.03241639723325,436.8412679802813,436.62771664856143,436.5720766397821,437.0324211771926,437.03242117719356,437.03242117719344,438.54946769262403,438.322624036265,437.4905862390222
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,37,5,1,correct,,13.666773941816963,13.666870747918354,11.910841003496444,12.181570078980979,13.838680583357045,13.667551830075071,13.677704186470676,13.671787919856552,20.37766972076166,13.471609206048354,9.081101113854123
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,38,5,2,wrong,,107.65881621564982,107.66003333134644,107.72549053213962,107.52481971536483,107.36596204293903,107.65719576984982,107.65673324419772,107.65909583500752,106.48177663051678,107.26391124460947,108.63765355206371
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,36,5,3,wrong,,439.0333954315138,439.033335394846,437.1241731901152,437.46475806021203,439.2475272472412,439.0344335516614,439.0452240422573,439.0386577665667,445.68674165014687,438.8753489170302,433.1858738406798
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,36,41,9,1,wrong,,256.45509382090944,259.55334413464595,259.4270332828028,256.92345911282996,254.63601740827863,256.5053143712563,256.4550850983919,222.79557762763267,253.55342508554696,269.5170653676586,271.09092626272604
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,40,10,1,correct,,46.567118664977976,44.76174243697952,44.76174243697952,44.76174243697952,44.76174243697952,46.62889147299168,46.56710790086919,60.24010395634886,60.24010395634886,60.24010395634886,60.24010395634886
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,39,6,2,wrong,,111.54957059574548,110.73171497482481,110.73171497482481,110.73171497482481,110.73171497482481,111.56483277449047,111.54956781633342,115.01425543276866,115.01425543276866,115.01425543276866,115.01425543276866
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,39,6,1,correct,,57.36458467732155,54.909309189879544,54.909309189879544,54.909309189879544,54.909309189879544,57.36691224138796,57.38232475809491,70.9775196454397,70.9775196454397,70.9775196454397,70.9775196454397
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,40,10,2,wrong,,80.55704332407728,79.2103436439175,79.2103436439175,79.2103436439175,79.2103436439175,80.55646159957827,80.57391870241693,97.15365008670386,97.15365008670386,97.15365008670386,97.15365008670386
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,47,3,1,correct,,14.711432932277726,14.711732131776731,14.800053144316827,14.080599444999628,13.817542286700869,14.699676459023422,14.71143522740016,14.711735244695449,14.584920793093964,17.207857350640616,15.987225204456795
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,48,9,2,wrong,,624.4812876846113,624.4825589302163,624.7398743644878,623.9341556028891,623.4623864291143,624.4426129669529,624.4812940358175,624.482566364195,624.2825778932827,630.0173297090718,627.3458848909515
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,41,3,1,correct,,7.5278790920094485,7.529011596038828,6.546442142540919,6.577118277767048,7.891956027795482,7.5278795155074825,7.527879515507538,7.529012170351894,6.893956471666273,6.88569803154871,7.838052068265521
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,42,5,2,wrong,,222.70779656004484,222.70682996720492,223.00893182941135,222.65254757713268,222.02642723418026,222.70780004750776,222.70780004750623,222.70683436353835,224.87055226077828,224.52223659925917,221.3308439147422
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,43,7,1,correct,,9.008248033030402,9.007937283364342,8.45634830050153,9.00337642759533,9.678344050628981,8.993791469677744,9.00824500388727,9.011227274904725,12.66988310079811,8.950982250066124,8.764553068052926
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,44,9,2,wrong,,279.24019335175615,279.24133660377686,280.5031179419284,279.7191275282498,278.4612980214904,279.2832695060627,279.24020128062676,279.2329822213804,272.87685498172135,279.88263871649696,284.2188163477496
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,43,45,4,1,correct,,6.348428461247609,6.1482956257121115,6.1482956257121115,6.1482956257121115,6.1482956257121115,6.348115319616049,6.348425742655423,6.921490661834093,6.921490661834093,6.921490661834093,6.921490661834093
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,44,53,5,1,correct,,393.60754772945876,393.6083286912118,403.3814308940025,413.4102721446094,412.51018457443126,393.60565552216633,393.5939269511368,393.60219289381763,357.78225868366115,358.33689444336073,393.7415880530916
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,46,3,1,correct,,8.484107661285366,8.48375922363457,8.33024370474379,7.913994320544684,7.891713456861549,8.471009975205716,8.476859968319479,8.4830599610341,9.662270249268742,10.142513700552884,9.15964285767109
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,47,9,2,wrong,,182.16414576739308,182.1648893560281,182.49106844401615,183.2488566272054,183.21172527824461,182.2236842043225,182.19543912623746,182.16749486248773,178.07812264597382,176.53614840393047,179.68008387339424
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,47,52,3,1,correct,,25.0738987262394,25.073893254364457,25.59263740433637,24.443874758288054,23.71390353472142,25.074530890150616,25.07989535928218,25.073890675081774,23.807972395812104,26.88224635425505,28.126435050479785
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,55,0,1,correct,,90.85268688381221,90.8526865404373,86.81519293204,85.60781889012371,88.98997317344882,90.85268728001395,90.85268728001404,90.85268728001384,94.98015728105652,91.56994650690831,84.47889780378624
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,56,3,2,correct,,157.39429852424388,157.39429770691373,149.06852335042421,146.78086480327946,152.56539686849,157.39430081804144,157.39430081804193,157.394300818041,176.78411728137317,164.09439947473183,140.94004061397118
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,52,4,1,correct,,59.25897599195822,58.33904605517195,58.33904605517195,58.33904605517195,58.33904605517195,59.25842681847534,59.25897291457344,62.85119194532381,62.85119194532381,62.85119194532381,62.85119194532381
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,53,5,1,wrong,,358.013223863623,358.01282026658475,356.2666784433701,359.3727533338338,361.8256512556177,358.0106664165168,358.0002998602937,358.0128254334264,361.2935730373122,345.4069650683177,340.2869366770993
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,58,10,1,correct,,487.5363839841614,487.5366146538537,504.9490435396661,506.43190732092387,495.6685926400624,487.60491040606024,487.5363720918733,487.53970086168374,398.9809344725587,471.34475747309733,541.2110396334155
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,57,3,1,correct,,119.94577320971591,119.94584901741968,103.56270410499249,100.05124508465333,112.41542154786443,119.94557407841279,119.94577093403575,119.94584593086665,157.52925046758764,130.43623662780195,84.46143123123191
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,57,4,1,wrong,,256.47286672974826,256.47276340404943,240.61508560135832,235.3459255936717,245.19618330212901,256.47157132928237,256.4636051365025,256.4727595857122,297.7576809246724,272.56889482617765,225.88281970713697
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,57,63,4,1,wrong,,669.9759526055932,669.9769985650803,672.9147945180346,675.3754437830901,668.9674153661423,669.9929292679134,669.9759493787843,669.973211602751,647.8319571927008,659.2237994738178,685.4989373943694
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,61,8,1,correct,,248.762259581808,225.13114003628473,202.9544154647699,195.1558952472236,188.67580413931347,210.93658526387546,136.9142676318042,327.29676946998643,352.04973044766103,296.6449769700299,268.5737142333587
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,62,10,2,wrong,,405.93266338746315,375.8249004710737,347.373340977231,336.9803220268747,328.39930453561567,357.0708949365575,133.36159683474713,519.2682221061522,553.1951955881492,475.50276941210086,436.38036642359
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,60,64,2,1,correct,,112.14323318516725,112.14301796062814,106.89513679181456,105.32633602360158,108.36393306442103,112.15053578908035,112.14323469108592,112.14302012703743,122.11437107208405,115.53669938919302,103.99610214994958
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,66,3,1,correct,,80.10961424799025,80.10987228345365,81.56246618362343,83.26300817714727,82.53707836312506,80.11006164247492,80.10733931003158,80.10987326211252,75.74770331268823,78.7010742072138,87.0957176563564
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,65,2,2,wrong,,121.98187047346357,121.98218596084043,119.94909110444968,120.47990836555857,122.62093686631867,121.9828669244621,121.98311955628242,121.98218539100473,124.53969586891307,123.07420645014611,120.80080269411259
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,63,66,6,1,wrong,,362.3335624558059,362.3339945155801,355.2547308748893,356.5844455731289,362.9799228472349,362.33119861821405,362.31846716778654,362.3339886307006,350.0378555178236,347.35788701074455,364.3695574835165
