video,stem,source_tracklet,candidate_tracklet,gap_frames,original_rank,label,cv2,cvls3,cvls4,cvls6,cvls8,cvls10,cvls12,bal3,bal4,bal6,bal8,bal10,bal12,kalman
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1,6,4,1,correct,320.572131,320.57213139167317,320.57213139167294,320.57355366787414,304.0704534247154,302.83294312605767,315.96931660874975,320.5721313916678,320.572131391676,320.5697484242157,364.98032519341615,327.97180522533466,278.7223357931874,340.3249202756999
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,2,6,4,1,wrong,421.227317,421.22496331546085,421.2262629173306,421.22706399432724,408.50858799946576,405.0088913454908,414.47615083126635,421.2249633154615,421.22144239107024,421.2270639943285,419.091936237865,400.5571838048402,400.8284693287136,440.153680473484
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,8,6,1,correct,49.811617,49.81161736984626,49.811617369846964,49.80904223938528,55.579106564989935,58.8223731514038,55.07794110881303,49.811617369846395,49.81161736985067,49.8128101092156,39.79383308555017,41.25296123553578,62.68974235114039,39.79057785894151
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,7,2,2,wrong,305.323052,305.32305232327303,305.3230523232729,305.3236672281244,306.70308281540275,307.3843125223381,306.486065097254,305.3230523232731,305.3230523232734,305.3242355294524,302.71720227333236,303.6410110605534,307.82926265523275,303.73128385074926
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,7,0,1,correct,107.391069,107.39106905604393,107.39085613426302,107.39132095741154,104.84064336673552,105.97192696676275,109.51237365302428,107.39106905604402,107.39138844228816,107.39132095741168,106.89866292793809,107.62293846579087,108.51948376241968,105.40884557159633
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,8,4,2,wrong,578.074003,578.0740025723351,578.0734245867818,578.0748155575133,572.1505923321911,574.7996396504082,581.6030909777508,578.0740025723355,578.0769095667122,578.0748155575134,579.590239495762,579.8260888211552,578.9633295544851,576.8934385893982
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,5,6,0,1,correct,78.079109,78.0797738733349,78.07964706951485,73.95428366954539,73.95428366954539,73.95428366954539,73.95428366954539,78.07811237472364,78.07964706951552,84.25933114230008,84.25933114230008,84.25933114230008,84.25933114230008,75.89818305586851
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,6,15,10,1,wrong,149.402623,149.40262252049087,149.4026225204887,149.40262252049018,156.97734692312574,162.38963407941486,159.43792361243555,149.4026225204872,149.40262252048413,149.4026225204924,195.59448411891645,148.2658977824966,206.15067857434292,145.3165959063765
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,7,10,2,1,correct,153.842117,153.84443120423808,153.84483280126787,153.84548918571102,152.6002804487033,154.33042595991228,158.43202754597377,153.8401323813496,153.84483280126682,153.84548918571062,159.76037976411894,157.71044387218944,153.43909201019716,150.08048632656332
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,12,0,1,correct,47.558532,47.55787106369592,47.55760450495806,47.557634387528154,40.74864644067877,38.23590509415055,43.181433300384526,47.55952400939217,47.55884421232866,47.557634387527926,54.46058251346277,49.230791142651505,37.881297774012886,49.335993498896556
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,13,0,2,wrong,108.411606,108.41176661435094,108.41233222862623,108.4125586793544,109.9953182053882,110.54879881649049,109.30009042829373,108.41136481476511,108.41203087440299,108.41255867935446,106.6711366454928,107.50495231894232,110.91482334956268,108.1508847848921
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,10,11,2,1,correct,108.371572,108.37015014651307,108.37009912964922,108.36997778611214,109.59224881147341,113.148347476332,116.63778802574784,108.3701501465119,108.36761883275909,108.36997778611187,115.59572196618478,115.0761307353014,111.11100309868097,99.7696580843855
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,13,1,1,correct,145.41375,145.41402358791862,145.4131833715564,145.41330774156717,136.93768796762913,136.06569482183636,143.52023452398174,145.41304711751286,145.41318337155676,145.41323520022829,139.3005703891631,137.0323220856222,141.87386013203596,148.07889781599988
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,12,1,2,wrong,263.373066,263.3735420032944,263.3727027925442,263.3728079963401,254.6755978305037,253.81421886976761,261.53253677829554,263.37184318943457,263.3727027925448,263.37268179688385,258.61834850667043,255.51768737671435,258.40631066766315,266.07892008949614
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,17,10,1,correct,179.169602,179.16960233532888,179.16960233533015,179.16960233532868,169.71952937492554,169.40152000977562,175.42151638519525,179.16960233532967,179.16960233533385,179.1696023353297,212.98890754796906,185.75544087891976,174.9976080924076,221.6307569648648
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,16,2,2,wrong,254.986968,254.9869676512899,254.98696765129029,254.98696765129006,248.03412676491078,246.47573848564798,250.8469976899532,254.98696765129003,254.9869676512922,254.98696765129057,262.89100932851017,256.5814867968823,247.78851526496936,261.2487925574118
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,19,8,1,correct,297.087982,297.08758096355655,297.0876640197143,297.08768652315047,308.2460609717458,313.81055997803173,313.85354506160246,297.0875809635609,297.08766401971724,297.08768652315683,248.7460800755659,265.0040929866332,292.556096248041,245.65352920545504
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,18,0,2,wrong,485.531125,485.53124558478316,485.53121533661476,485.53120928698746,488.36419081534933,490.0258323028923,490.0610553016929,485.5312455847833,485.5312153366149,485.531209286988,482.52532344048325,483.93146790197966,486.84561512141687,483.9195336165339
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,17,10,1,wrong,138.374729,138.38274331922898,138.38109340693993,138.3793989382218,112.9170146136425,114.24455685315736,134.9180475757714,138.33218163457104,138.3810934069495,138.38843809086336,305.4427929672546,182.55044703771205,113.74585273653776,223.47725069123854
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,16,2,2,correct,213.245485,213.2474733642167,213.24703602202825,213.24632373545822,198.9793727192785,197.62429752673515,210.63158377123693,213.23998847021704,213.24703602202936,213.24822982896382,239.72240801626174,217.36140761816165,182.40617914557717,220.61906745291273
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,16,19,2,1,wrong,571.379028,571.3774040825477,571.376442659452,571.3767534741677,566.9639591973835,568.4335834699157,574.746157279095,571.3848753196042,571.3810715791454,571.3772291274556,579.3473536384261,568.1071314416176,556.4345902433976,568.8178071091542
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,22,7,1,correct,144.932401,144.93240086674933,144.93240086674896,144.932400866749,123.24100667508164,121.183118907306,135.57270223026046,144.93240086675527,144.93240086675723,144.93240086674774,229.04175078148407,164.92825441491956,87.74899191054769,189.59189422285235
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,21,0,1,wrong,238.086167,238.08522729313208,238.0854621149726,238.0857642546113,234.16960203939968,233.07456859209472,235.44983133624217,238.086503171525,238.08546211497276,238.08525390426425,238.79555847086726,236.37656601349047,234.8576088527714,239.39527443009004
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,22,8,2,wrong,401.108582,401.10229321777297,401.1035959322482,401.1052600707239,386.3937985017614,382.8302079970714,389.0687379935711,401.146408948716,401.1035959322484,401.09705460173564,441.1389464043973,413.4309303478203,384.56396082366115,448.4824013307214
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,19,20,1,1,correct,107.20428,107.20311329291907,107.20337813357374,107.20322131663616,103.86229146237434,103.3028012120814,105.01515696965673,107.20727994870494,107.20337813357362,107.20322131663615,110.41139685200702,107.39412687995218,102.42891163819158,108.90912816748839
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,20,22,6,1,wrong,283.373597,283.3759226808488,283.3754363398848,283.3745512682482,291.7896218752905,294.24594550539143,288.7406040507089,283.3458661702662,283.37543633988344,283.380472197257,253.72422785960583,270.01357208631606,302.3326503587321,265.8841506592294
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,21,22,2,1,correct,70.582141,70.58225090472665,70.58332436843705,61.269175964988655,61.269175964988655,61.269175964988655,61.269175964988655,70.58225090472651,70.57858468057165,97.90017494174221,97.90017494174221,97.90017494174221,97.90017494174221,82.67100587138411
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,22,27,5,1,wrong,149.010697,149.01061212442056,149.0106300075602,149.01171008542713,147.42656907102423,152.7552224543554,158.7569475569703,149.01061212442022,149.0106300075643,149.00552183865867,153.75299355135647,131.602325277543,124.52828519187696,132.22254579981683
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,23,25,2,1,correct,89.171723,89.17172290025566,89.17172290025577,89.1708352386809,87.4432635652151,87.82409794649674,87.82409794649674,89.17172290025458,89.17172290025577,89.17278617988123,91.99801750034906,89.2894163320723,89.2894163320723,92.99701312073068
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,27,6,1,correct,109.135584,78.60770020099065,92.18937795087905,112.17174612648655,120.35212877869043,126.91743904141023,139.1225311929185,342.4055418843524,36.656503289088135,16.450732936832967,61.59400127358899,75.83899068334394,67.52802127413526,54.1189165787923
