video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
videos/AfNIkaVQNY4/07_0117_0123.mp4,0,0.000000,0,0.922749,167.693,810.885,479.281,0.997526,817.526,482.841,669.136,389.681,0.990492,661.175,393.409,767.421,659.222,0.993928,765.587,664.421,560.869,322.124,0.923615,526.250,338.398,616.999,747.317,0.994778,608.529,753.905,521.834,308.020,0.951948,517.222,375.404
videos/AfNIkaVQNY4/07_0117_0123.mp4,1,0.016683,0,0.925980,180.122,817.526,482.841,0.997308,821.416,482.962,661.175,393.409,0.994125,661.618,391.545,765.587,664.421,0.993165,766.504,665.585,526.250,338.398,0.950724,526.289,359.478,608.529,753.905,0.994112,608.779,754.313,507.189,375.652,0.958923,519.528,375.528
videos/AfNIkaVQNY4/07_0117_0123.mp4,2,0.033367,0,0.926410,184.492,825.306,483.083,0.995957,825.306,483.083,659.973,401.215,0.995323,662.061,390.893,764.945,666.750,0.989540,767.421,666.750,515.032,463.914,0.960438,526.328,380.557,603.206,755.051,0.990116,609.028,753.905,517.222,375.404,0.952932,521.834,375.652
videos/AfNIkaVQNY4/07_0117_0123.mp4,3,0.050050,0,0.924800,198.994,833.903,486.708,0.997324,833.903,486.708,662.061,386.363,0.995301,662.061,393.409,770.456,669.640,0.992865,770.456,669.640,526.328,380.557,0.929912,526.328,401.187,609.028,754.721,0.993162,609.028,753.905,566.817,521.511,0.895813,566.817,521.511
videos/AfNIkaVQNY4/07_0117_0123.mp4,4,0.066733,0,0.932338,197.506,841.560,487.913,0.996660,841.560,487.913,669.526,390.893,0.997240,666.569,395.498,780.549,670.529,0.993430,780.549,670.529,532.625,401.187,0.985551,532.625,435.366,617.892,751.994,0.993613,617.892,751.994,580.011,551.723,0.977825,580.011,551.723
videos/AfNIkaVQNY4/07_0117_0123.mp4,5,0.083417,0,0.932863,205.473,848.540,490.923,0.997160,848.540,490.923,666.569,395.498,0.996947,667.334,395.498,786.712,673.299,0.994554,786.712,673.299,538.156,435.366,0.988564,538.156,435.366,623.098,748.125,0.994571,623.098,748.125,599.136,590.295,0.988678,599.136,590.295
videos/AfNIkaVQNY4/07_0117_0123.mp4,6,0.100100,0,0.926027,208.413,854.756,496.299,0.997233,854.756,496.299,667.334,405.145,0.996584,669.512,405.145,791.446,677.722,0.993748,791.446,677.722,547.945,475.654,0.988427,547.945,475.654,628.815,746.180,0.992624,628.815,746.180,640.760,642.211,0.987039,640.760,642.211
videos/AfNIkaVQNY4/07_0117_0123.mp4,7,0.116783,0,0.911435,212.448,865.272,499.143,0.997221,865.272,499.143,669.512,416.607,0.995374,669.512,416.607,798.559,681.671,0.985835,798.559,679.357,569.156,509.249,0.984004,569.156,509.249,673.764,723.888,0.972144,673.764,729.215,663.284,665.317,0.985140,663.284,665.317
videos/AfNIkaVQNY4/07_0117_0123.mp4,8,0.133467,0,0.907239,211.205,872.855,500.385,0.996420,872.855,499.143,676.024,423.802,0.995953,676.024,423.802,804.177,679.357,0.982193,804.177,679.357,588.677,526.598,0.985014,588.677,526.598,674.795,729.215,0.974631,674.795,729.215,691.331,678.234,0.985484,691.331,678.234
videos/AfNIkaVQNY4/07_0117_0123.mp4,9,0.150150,0,0.916802,207.800,877.656,508.448,0.996131,877.656,499.143,682.391,437.368,0.995428,682.391,437.368,813.589,684.107,0.984254,813.589,679.357,624.389,572.185,0.985920,624.389,572.185,710.606,719.932,0.976581,710.606,729.215,716.238,698.470,0.984727,716.238,698.470
