video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,33,0.550550,0,0.902128,626.055115,452.243896,0.974719,537.680542,427.152344,0.947338
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,34,0.567233,0,0.904432,625.856628,443.959320,0.962316,538.217102,428.458344,0.948723
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,35,0.583917,0,0.900601,626.812988,438.846710,0.977972,537.552856,433.886444,0.950113
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,36,0.600600,0,0.898088,626.659729,431.692535,0.978686,538.542664,439.955353,0.930386
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,37,0.617283,0,0.888848,626.126221,427.222321,0.974271,567.630554,458.443146,0.728160
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,38,0.633967,0,0.889983,628.215393,416.185394,0.973192,548.156189,451.474854,0.749522
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,39,0.650650,0,0.894629,630.139709,410.396851,0.970614,556.245911,459.631683,0.754878
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,40,0.667333,0,0.874492,630.576233,407.853424,0.975868,555.107849,462.158356,0.867377
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,41,0.684017,0,0.898837,633.648804,401.565796,0.978261,550.971130,461.956543,0.970114
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,42,0.700700,0,0.908636,639.735901,399.845581,0.977971,554.467712,465.297119,0.963174
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,43,0.717383,0,0.914989,641.059021,397.948853,0.982352,554.652039,462.335815,0.982041
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,44,0.734067,0,0.910311,643.741516,401.296021,0.983668,555.820618,461.947845,0.982225
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,45,0.750750,0,0.908148,645.927185,405.319580,0.979118,557.905945,461.391571,0.982434
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,46,0.767433,0,0.896297,650.261841,396.450073,0.879680,557.967712,459.674713,0.980246
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,47,0.784117,0,0.897136,650.395325,415.369171,0.906788,560.468323,456.604218,0.978461
