video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,22,0.367033,botsort,,32,sports ball,0.248163,681.332,194.367,727.265,240.562,704.000,217.000,45.933,46.195
identical_balls_trick_000_018.mp4,22,0.367033,botsort,,32,sports ball,0.201477,543.725,500.329,586.852,543.350,565.000,522.000,43.127,43.020
identical_balls_trick_000_018.mp4,23,0.383717,botsort,,32,sports ball,0.181043,754.029,447.665,796.953,491.820,775.000,470.000,42.924,44.155
identical_balls_trick_000_018.mp4,23,0.383717,botsort,,32,sports ball,0.167686,680.373,206.538,726.195,252.341,703.000,229.000,45.823,45.804
identical_balls_trick_000_018.mp4,24,0.400400,botsort,,32,sports ball,0.554653,680.414,219.327,725.594,265.723,703.000,243.000,45.180,46.396
identical_balls_trick_000_018.mp4,25,0.417083,botsort,,32,sports ball,0.261601,680.166,234.531,724.804,281.175,702.000,258.000,44.638,46.644
identical_balls_trick_000_018.mp4,25,0.417083,botsort,,32,sports ball,0.251476,537.855,411.613,583.553,457.795,561.000,435.000,45.698,46.182
identical_balls_trick_000_018.mp4,25,0.417083,botsort,,32,sports ball,0.183873,693.896,425.940,737.915,469.768,716.000,448.000,44.020,43.828
identical_balls_trick_000_018.mp4,26,0.433767,botsort,,32,sports ball,0.752481,663.270,417.456,708.033,462.720,686.000,440.000,44.763,45.264
identical_balls_trick_000_018.mp4,26,0.433767,botsort,,32,sports ball,0.736478,536.897,385.519,581.759,431.820,559.000,409.000,44.861,46.301
identical_balls_trick_000_018.mp4,27,0.450450,botsort,,32,sports ball,0.891569,632.761,411.364,678.689,456.788,656.000,434.000,45.927,45.424
identical_balls_trick_000_018.mp4,27,0.450450,botsort,,32,sports ball,0.874979,535.689,361.066,580.232,407.905,558.000,384.000,44.542,46.840
identical_balls_trick_000_018.mp4,27,0.450450,botsort,,32,sports ball,0.615654,678.588,271.488,722.851,315.146,701.000,293.000,44.263,43.658
identical_balls_trick_000_018.mp4,28,0.467133,botsort,,32,sports ball,0.812657,600.997,407.235,648.510,452.359,625.000,430.000,47.513,45.124
identical_balls_trick_000_018.mp4,28,0.467133,botsort,,32,sports ball,0.798094,532.856,338.861,578.529,385.176,556.000,362.000,45.673,46.315
identical_balls_trick_000_018.mp4,28,0.467133,botsort,,32,sports ball,0.696052,677.602,290.985,721.690,337.030,700.000,314.000,44.088,46.045
identical_balls_trick_000_018.mp4,29,0.483817,botsort,44,32,sports ball,0.837010,532.013,322.862,577.020,368.574,555.000,346.000,45.008,45.712
