video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/identical_balls_trick_000_018.mp4,48,0.800800,0,0.939408,735.443298,498.553741,0.922791,499.275635,483.627350,0.993939
videos/identical_balls_trick_000_018.mp4,49,0.817483,0,0.934848,747.982666,495.829681,0.886236,505.566254,487.343994,0.993033
videos/identical_balls_trick_000_018.mp4,50,0.834167,0,0.937446,740.198425,492.919189,0.967898,507.679565,486.067841,0.992662
videos/identical_balls_trick_000_018.mp4,51,0.850850,0,0.936711,738.511169,480.481049,0.986449,511.554565,484.613892,0.993766
videos/identical_balls_trick_000_018.mp4,52,0.867533,0,0.939314,740.577087,475.651825,0.990859,517.572266,485.162598,0.993378
videos/identical_balls_trick_000_018.mp4,53,0.884217,0,0.938003,743.903259,474.403290,0.989816,521.762634,486.109894,0.991875
videos/identical_balls_trick_000_018.mp4,54,0.900900,0,0.938195,744.789978,474.318848,0.991259,524.569519,489.577606,0.991456
videos/identical_balls_trick_000_018.mp4,55,0.917583,0,0.937875,747.922913,477.601654,0.991060,517.085144,492.649689,0.987214
videos/identical_balls_trick_000_018.mp4,56,0.934267,0,0.934033,747.134094,481.190033,0.990093,520.695068,494.803711,0.982688
videos/identical_balls_trick_000_018.mp4,57,0.950950,0,0.932484,756.392761,484.422485,0.987146,524.426819,506.594727,0.985279
videos/identical_balls_trick_000_018.mp4,58,0.967633,0,0.901309,758.122314,491.010742,0.979392,527.756104,527.059814,0.965504
videos/identical_balls_trick_000_018.mp4,59,0.984317,0,0.931826,774.122803,490.903351,0.982032,522.631409,525.118042,0.973841
videos/identical_balls_trick_000_018.mp4,60,1.001000,0,0.928227,777.665100,488.614471,0.992087,528.297424,523.387329,0.991638
videos/identical_balls_trick_000_018.mp4,61,1.017683,0,0.926376,785.373718,492.356659,0.993947,530.346497,536.592834,0.990653
videos/identical_balls_trick_000_018.mp4,62,1.034367,0,0.927771,785.935059,496.556641,0.994279,531.554016,542.530640,0.990858
videos/identical_balls_trick_000_018.mp4,63,1.051050,0,0.921812,792.912170,498.794586,0.994603,533.033020,551.252563,0.989540
videos/identical_balls_trick_000_018.mp4,64,1.067733,0,0.922224,792.743713,499.878021,0.994600,535.163147,558.899170,0.989882
videos/identical_balls_trick_000_018.mp4,65,1.084417,0,0.922560,793.044373,501.612427,0.994460,536.211731,562.192322,0.989232
videos/identical_balls_trick_000_018.mp4,66,1.101100,0,0.922966,792.515137,502.392609,0.994968,538.611084,563.554932,0.989044
videos/identical_balls_trick_000_018.mp4,67,1.117783,0,0.922073,791.650146,502.716064,0.994675,541.725403,560.764099,0.988602
videos/identical_balls_trick_000_018.mp4,68,1.134467,0,0.921715,787.540344,501.852203,0.994755,541.705811,553.735168,0.989154
videos/identical_balls_trick_000_018.mp4,69,1.151150,0,0.922262,781.398499,500.261993,0.994689,542.270569,545.292236,0.990730
videos/identical_balls_trick_000_018.mp4,70,1.167833,0,0.921679,777.079407,497.606964,0.993648,539.195435,536.542969,0.991331
